Match Date,Home Team,Away Team,Kickoff Temp,Kickoff Humidity
2016-05-22,Portland Timbers,Vancouver Whitecaps FC,,
2016-05-22,LA Galaxy,San Jose Earthquakes,,
2016-05-25,Orlando City SC,Philadelphia Union,,
2016-05-27,Sporting Kansas City,D.C. United,,
2016-05-28,Vancouver Whitecaps FC,Houston Dynamo,,
2016-05-28,New York Red Bulls,Toronto FC,,
2016-05-28,Columbus Crew SC,Real Salt Lake,,
2016-05-28,New England Revolution,Seattle Sounders FC,,
2016-05-28,Montreal Impact,LA Galaxy,,
2016-05-28,Chicago Fire,Portland Timbers,,
2016-05-28,Colorado Rapids,Philadelphia Union,,
2016-05-28,San Jose Earthquakes,FC Dallas,,
2016-05-29,New York City FC,Orlando City SC,,
2016-06-01,Philadelphia Union,Columbus Crew SC,,
2016-06-01,D.C. United,Seattle Sounders FC,,
2016-06-01,Portland Timbers,San Jose Earthquakes,,
2016-06-02,New York City FC,Real Salt Lake,,
2016-06-02,FC Dallas,Houston Dynamo,,
2016-06-02,LA Galaxy,Sporting Kansas City,,
2016-06-18,New York City FC,Philadelphia Union,,
2016-06-18,Vancouver Whitecaps FC,New England Revolution,,
2016-06-18,Columbus Crew SC,Montreal Impact,,
2016-06-18,Toronto FC,LA Galaxy,,
2016-06-18,Orlando City SC,San Jose Earthquakes,,
2016-06-18,Houston Dynamo,D.C. United,,
2016-06-18,Colorado Rapids,Chicago Fire,,
2016-06-18,Real Salt Lake,Portland Timbers,,
2016-06-19,Sporting Kansas City,FC Dallas,,
2016-06-19,New York Red Bulls,Seattle Sounders FC,,
2016-06-22,Philadelphia Union,Chicago Fire,,
2016-06-22,Real Salt Lake,New York Red Bulls,,
2016-06-22,LA Galaxy,Colorado Rapids,,
2016-06-25,Seattle Sounders FC,New York City FC,,
2016-06-25,D.C. United,New England Revolution,,
2016-06-25,Philadelphia Union,Vancouver Whitecaps FC,,
2016-06-25,Montreal Impact,Sporting Kansas City,,
2016-06-25,Columbus Crew SC,New York Red Bulls,,
2016-06-25,Orlando City SC,Toronto FC,,
2016-06-25,FC Dallas,Real Salt Lake,,
2016-06-25,San Jose Earthquakes,LA Galaxy,,
2016-06-26,Portland Timbers,Houston Dynamo,,
2016-07-01,Chicago Fire,San Jose Earthquakes,,
2016-07-01,Real Salt Lake,D.C. United,,
2016-07-02,Montreal Impact,New England Revolution,,
2016-07-02,Toronto FC,Seattle Sounders FC,,
2016-07-02,Houston Dynamo,Philadelphia Union,,
2016-07-03,New York City FC,New York Red Bulls,,
2016-07-03,Sporting Kansas City,Columbus Crew SC,,
2016-07-04,FC Dallas,Orlando City SC,,
2016-07-04,Colorado Rapids,Portland Timbers,,
