Matchday,Home Team,Away Team,Kickoff Temp,Kickoff Humidity
12,Lanús,Gimnasia y Esgrima (LP),,
12,Unión,Rosario Central,,
12,Olimpo,San Lorenzo,,
12,Boca Juniors,Racing Club,,
12,Independiente,River Plate,,
12,Huracán,Colón,,
12,Newell's Old Boys,Banfield,,
12,Estudiantes (LP),Talleres (C),,
12,Arsenal,San Martín (SJ),,
12,Atlético de Rafaela,Defensa y Justicia,,
12,Patronato,Vélez Sarsfield,,
13,Aldosivi,Patronato,,
13,Vélez Sarsfield,Atlético de Rafaela,,
13,Defensa y Justicia,Arsenal,,
13,San Martín (SJ),Estudiantes (LP),,
13,Talleres (C),Newell's Old Boys,,
13,Banfield,Huracán,,
13,Colón,Independiente,,
13,River Plate,Boca Juniors,,
13,Racing Club,Olimpo,,
13,San Lorenzo,Unión,,
13,Rosario Central,Lanús,,
13,Gimnasia y Esgrima (LP),Belgrano,,
13,Temperley,Godoy Cruz,,
13,Atlético Tucumán,Quilmes,,
13,Sarmiento,Tigre,,
14,Sarmiento,Aldosivi,,
14,Tigre,Atlético Tucumán,,
14,Quilmes,Temperley,,
14,Godoy Cruz,Gimnasia y Esgrima (LP),,
14,Belgrano,Rosario Central,,
14,Lanús,San Lorenzo,,
14,Unión,Racing Club,,
14,Olimpo,River Plate,,
14,Boca Juniors,Colón,,
14,Independiente,Banfield,,
14,Huracán,Talleres (C),,
14,Newell's Old Boys,San Martín (SJ),,
14,Estudiantes (LP),Defensa y Justicia,,
14,Arsenal,Vélez Sarsfield,,
14,Atlético de Rafaela,Patronato,,
15,Aldosivi,Atlético de Rafaela,,
15,Patronato,Arsenal,,
15,Vélez Sarsfield,Estudiantes (LP),,
15,Defensa y Justicia,Newell's Old Boys,,
15,San Martín (SJ),Huracán,,
15,Talleres (C),Independiente,,
15,Banfield,Boca Juniors,,
15,Colón,Olimpo,,
15,River Plate,Unión,,
15,Racing Club,Lanús,,
15,San Lorenzo,Belgrano,,
15,Rosario Central,Godoy Cruz,,
15,Gimnasia y Esgrima (LP),Quilmes,,
15,Temperley,Tigre,,
15,Atlético Tucumán,Sarmiento,,
16,Atlético Tucumán,Aldosivi,,
16,Sarmiento,Temperley,,
16,Tigre,Gimnasia y Esgrima (LP),,
16,Quilmes,Rosario Central,,
16,Godoy Cruz,San Lorenzo,,
16,Belgrano,Racing Club,,
16,Lanús,River Plate,,
16,Unión,Colón,,
16,Olimpo,Banfield,,
16,Boca Juniors,Talleres (C),,
16,Independiente,San Martín (SJ),,
16,Huracán,Defensa y Justicia,,
16,Newell's Old Boys,Vélez Sarsfield,,
16,Estudiantes (LP),Patronato,,
16,Arsenal,Atlético de Rafaela,,
17,Aldosivi,Arsenal,,
17,Atlético de Rafaela,Estudiantes (LP),,
17,Patronato,Newell's Old Boys,,
17,Vélez Sarsfield,Huracán,,
17,Defensa y Justicia,Independiente,,
