matchday,home,away
31,FC Lorient,FC Nantes
31,Montpellier Hérault SC,SM Caen
31,Stade Rennais FC,Girondins de Bordeaux
31,AS Saint-Etienne,Dijon FCO
31,Olympique de Marseille,FC Metz
32,Toulouse FC,AS Monaco
32,OGC Nice,Olympique Lyonnais
32,AS Nancy Lorraine,Paris Saint-Germain
32,SC Bastia,Angers SCO
32,EA Guingamp,LOSC
32,FC Lorient,FC Nantes
32,Montpellier Hérault SC,SM Caen
32,Stade Rennais FC,Girondins de Bordeaux
32,AS Saint-Etienne,Dijon FCO
32,Olympique de Marseille,FC Metz
33,Toulouse FC,AS Monaco
33,OGC Nice,Olympique Lyonnais
33,AS Nancy Lorraine,Paris Saint-Germain
33,SC Bastia,Angers SCO
33,EA Guingamp,LOSC
33,FC Lorient,FC Nantes
33,Montpellier Hérault SC,SM Caen
33,Stade Rennais FC,Girondins de Bordeaux
33,AS Saint-Etienne,Dijon FCO
33,Olympique de Marseille,FC Metz
34,Toulouse FC,AS Monaco
34,OGC Nice,Olympique Lyonnais
34,AS Nancy Lorraine,Paris Saint-Germain
34,SC Bastia,Angers SCO
34,EA Guingamp,LOSC
34,FC Lorient,FC Nantes
34,Montpellier Hérault SC,SM Caen
34,Stade Rennais FC,Girondins de Bordeaux
34,AS Saint-Etienne,Dijon FCO
34,Olympique de Marseille,FC Metz
35,Toulouse FC,AS Monaco
35,OGC Nice,Olympique Lyonnais
35,AS Nancy Lorraine,Paris Saint-Germain
35,SC Bastia,Angers SCO
35,EA Guingamp,LOSC
35,FC Lorient,FC Nantes
35,Montpellier Hérault SC,SM Caen
35,Stade Rennais FC,Girondins de Bordeaux
35,AS Saint-Etienne,Dijon FCO
35,Olympique de Marseille,FC Metz
36,Toulouse FC,AS Monaco
36,OGC Nice,Olympique Lyonnais
36,AS Nancy Lorraine,Paris Saint-Germain
36,SC Bastia,Angers SCO
36,EA Guingamp,LOSC
36,FC Lorient,FC Nantes
36,Montpellier Hérault SC,SM Caen
36,Stade Rennais FC,Girondins de Bordeaux
36,AS Saint-Etienne,Dijon FCO
36,Olympique de Marseille,FC Metz
37,Toulouse FC,AS Monaco
37,OGC Nice,Olympique Lyonnais
37,AS Nancy Lorraine,Paris Saint-Germain
37,SC Bastia,Angers SCO
37,EA Guingamp,LOSC
37,FC Lorient,FC Nantes
37,Montpellier Hérault SC,SM Caen
37,Stade Rennais FC,Girondins de Bordeaux
37,AS Saint-Etienne,Dijon FCO
37,Olympique de Marseille,FC Metz
38,Toulouse FC,AS Monaco
38,OGC Nice,Olympique Lyonnais
38,AS Nancy Lorraine,Paris Saint-Germain
38,SC Bastia,Angers SCO
38,EA Guingamp,LOSC
38,FC Lorient,FC Nantes
38,Montpellier Hérault SC,SM Caen
38,Stade Rennais FC,Girondins de Bordeaux
38,AS Saint-Etienne,Dijon FCO
38,Olympique de Marseille,FC Metz
