Home Team,Away Team,Referee,YC,RC,Pen,P1,P2,P1 MTBF,P2 MTBF,P1 MTBS,P2 MTBS,EPT Lower,EPT Nominal,EPT Upper
Aldosivi,Talleres,Ariel Penel,6,0,1,121,281,198.2727272727,468.6,65.2142857143,60.9574468085,2988,3253,3465
Banfield,San Martín (SJ),Germán Delfino,4,0,0,179,200,298,229.3636363636,67.7317073171,65.5454545455,2760,2962,3126
Colón,Def. y Justicia,Sergio Pezzotta,5,1,0,70,366,238.4,342.625,64.2682926829,81.2162162162,3229,3455,3636
River Plate,Vélez,Federico Rapallini,6,1,1,143,109,209.0769230769,218.6363636364,59.3260869565,52.1730769231,2579,2879,3116
Racing Club,Patronato,Saul Laverni,5,0,0,249,184,250.8,212.5384615385,61.2727272727,65.976744186,2526,2780,2983
San Lorenzo,Atlético Rafaela,Mauro Vigliano,5,0,0,120,247,195.8333333333,191.8571428571,59.652173913,49.9473684211,2431,2748,2998
Rosario Central,Arsenal,Néstor Fabián Pitana,5,2,2,186,5,210.9230769231,180.1666666667,64.8604651163,100.2692307692,2973,3089,3184
Gimnasia,Estudiantes,Darío Herrera,4,0,0,70,98,153.5,173.4,58.7954545455,55.52,2418,2701,2925
Temperley,Newell`s,Facundo Tello,4,0,0,65,173,160.125,152.0588235294,71.1842105263,64.7727272727,2833,3002,3140
Atlético Tucumán,Huracán,Jorge Baliño,6,0,0,112,312,227.1,270.0909090909,69.025,50.813559322,2398,2749,3024
Sarmiento,Independiente,Patricio Loustau,7,1,0,125,354,170.8666666667,205.6923076923,67.3658536585,50.3928571429,2774,3050,3270
Tigre,Boca Juniors,Federico Beligoy,4,0,0,123,188,267.1111111111,195.0714285714,64.756097561,50.8392857143,2317,2617,2854
Quilmes,Olimpo,Fernando Espinoza,7,0,0,132,259,213.3076923077,236,59.2553191489,41.6714285714,1790,2175,2476
Godoy Cruz,Unión,Silvio Trucco,8,0,0,76,290,184.7857142857,134.8571428571,58.847826087,46,2293,2615,2869
Belgrano,Lanús,Diego Abal,4,0,0,187,172,397.4285714286,286.5555555556,77.2777777778,71.1794871795,3113,3299,3450
Belgrano,Aldosivi,Néstor Fabián Pitana,3,0,0,70,202,153.6875,181.1428571429,49.0181818182,57.75,2184,2501,2750
Lanús,Godoy Cruz,Federico Beligoy,3,1,1,122,127,296.5714285714,409,81.2424242424,99.8076923077,3431,3557,3661
Unión,Quilmes,Federico Rapallini,8,1,1,140,242,135.2105263158,244,59.9333333333,58.9591836735,2217,2477,2684
Olimpo,Tigre,Mariano González,9,0,1,115,351,158.8125,187.2,62.9772727273,53.1071428571,2932,3151,3328
Boca Juniors,Sarmiento,Fernando Echenique,3,0,0,63,248,248.5,280.3333333333,68.8947368421,77.9722222222,2787,3007,3184
Independiente,Atlético Tucumán,Germán Delfino,8,1,0,142,202,282.1111111111,200.7857142857,66.5476190476,58.3265306122,2847,3061,3233
Huracán,Temperley,Silvio Trucco,4,0,0,61,303,154.625,184.8571428571,61.1395348837,50.0169491525,1894,2148,2351
Newell`s,Gimnasia,Jorge Baliño,3,1,0,52,175,231.4444444444,171.9375,79.0606060606,68.5365853659,2950,3137,3288
Estudiantes,Rosario Central,Diego Abal,3,2,1,158,310,139.9444444444,258.6363636364,64.7674418605,87.2352941176,2812,2992,3139
Arsenal,San Lorenzo,Saul Laverni,3,0,0,41,178,239.7272727273,196,77.5588235294,64.4047619048,3281,3445,3579
Atlético Rafaela,Racing Club,Darío Herrera,4,0,0,242,239,149.4444444444,186.6428571429,59.5510204082,54.4339622642,2125,2395,2611
Patronato,River Plate,Mauro Vigliano,10,1,0,54,423,202.3846153846,168.2352941176,77.3823529412,54.4181818182,2973,3160,3311
Vélez,Colón,Fernando Espinoza,2,0,0,124,285,218.7272727273,159.625,76.1388888889,46.9827586207,2452,2695,2889
Def. y Justicia,Banfield,Nicolás Lamolina,7,1,0,66,183,242.1,114.4347826087,71.3513513514,47.6166666667,2579,2839,3046
San Martín (SJ),Talleres,Patricio Loustau,4,0,1,153,254,191.4615384615,239.2,70.3513513514,70.027027027,3090,3270,3417
Aldosivi,San Martín (SJ),Héctor Paletta,7,1,0,80,355,149.3529411765,165.3125,50,58.68,2149,2419,2635
Talleres,Def. y Justicia,Pedro Argañaraz,5,0,0,68,185,362,251.8333333333,85.8709677419,60.3695652174,3203,3417,3590
Banfield,Vélez,Néstor Fabián Pitana,2,0,0,72,274,197.8461538462,203.5,86.3666666667,58.1428571429,2939,3165,3346
Colón,Patronato,Juan Pablo Pompei,6,0,0,125,303,294.625,137,74.7837837838,59.2653061224,3282,3508,3689
River Plate,Atlético Rafaela,Germán Delfino,9,1,0,75,246,119.7777777778,242.375,56.1914893617,64.3953488372,2859,3113,3316
Racing Club,Arsenal,Federico Rapallini,5,0,0,69,250,111.5416666667,280.8,51,94.8064516129,3110,3307,3467
San Lorenzo,Estudiantes,Patricio Loustau,8,1,0,57,239,130.4375,199.9230769231,56.2340425532,60.5833333333,2843,3074,3260
Rosario Central,Newell`s,Mauro Vigliano,6,0,0,131,308,164.75,156.0588235294,67.75,55.8823529412,2352,2578,2759
Gimnasia,Huracán,Andrés Merlos,4,0,1,62,330,358.6,422.1428571429,80.4838709677,107.0714285714,3851,4021,4159
Temperley,Independiente,Darío Herrera,4,0,0,312,264,219,196.9285714286,76.4,59.4166666667,2596,2827,3013
Atlético Tucumán,Boca Juniors,Diego Abal,3,1,0,68,166,187.7142857143,173.75,64.2619047619,59.1489361702,2603,2823,3000
Sarmiento,Olimpo,Silvio Trucco,2,0,1,87,178,301.4444444444,212.6153846154,65.3095238095,44.0615384615,2535,2852,3101
Tigre,Unión,Ariel Penel,5,1,2,122,214,225.5454545455,179.75,65.0476190476,75.6842105263,2585,2800,2972
Quilmes,Lanús,Facundo Tello,7,1,0,348,296,206.5,218.3846153846,71.5238095238,72.1951219512,2612,2832,3009
Godoy Cruz,Belgrano,Jorge Baliño,5,1,0,130,297,171,226.8181818182,65.5952380952,66.0909090909,3440,3643,3807
Godoy Cruz,Aldosivi,Patricio Loustau,1,0,0,58,182,159.4375,329.25,50.9803921569,68.5,2513,2779,2990
Belgrano,Quilmes,Mariano González,1,0,0,67,175,427.8333333333,298.75,58.7391304348,67.756097561,2997,3325,3583
Lanús,Tigre,Fernando Echenique,6,0,1,101,301,262.4444444444,230.9166666667,109.12,61.9574468085,3079,3254,3396
Unión,Sarmiento,Mauro Vigliano,3,0,0,131,185,208.3333333333,264.4,56.4680851064,58.7551020408,2435,2751,3001
Olimpo,Atlético Tucumán,Federico Rapallini,6,0,0,64,299,182.4166666667,182.25,53.4705882353,62.0425531915,2422,2671,2869
Boca Juniors,Temperley,Saul Laverni,5,0,0,50,60,503.2,158.6,71.0526315789,83.9677419355,3172,3326,3451
Independiente,Gimnasia,Silvio Trucco,4,0,0,61,183,183.3333333333,210.6923076923,56.5227272727,64.4651162791,2741,2989,3187
Huracán,Rosario Central,Héctor Paletta,5,0,0,124,248,315.125,215.3846153846,97.1428571429,61.7659574468,3911,4103,4259
Newell`s,San Lorenzo,Fernando Espinoza,2,0,0,121,255,224.6666666667,193.1428571429,66.1666666667,58.8510638298,3038,3303,3515
Estudiantes,Racing Club,Federico Beligoy,5,0,1,194,293,171.9375,223.5833333333,62.5227272727,57.0196078431,2732,2998,3209
Arsenal,River Plate,Jorge Baliño,7,1,0,135,251,143.4210526316,215.3846153846,49.5454545455,60.8695652174,2731,2997,3208
Atlético Rafaela,Colón,Néstor Fabián Pitana,7,0,0,393,322,179.625,249.1111111111,60.4693877551,50.1355932203,2466,2794,3052
Patronato,Banfield,Darío Herrera,2,0,0,134,162,195.3076923077,226.3636363636,66.5365853659,64.9152542373,2471,2782,3028
Vélez,Talleres,Germán Delfino,3,0,0,70,232,298.75,340.8571428571,90.25,68.8780487805,3140,3360,3537
Def. y Justicia,San Martín (SJ),Diego Abal,3,0,0,68,186,165.0666666667,150.7647058824,60.7209302326,48.7586206897,2405,2710,2952
Aldosivi,Def. y Justicia,Andrés Merlos,5,0,0,129,168,167.6428571429,203.0833333333,51.1111111111,47.4406779661,2018,2375,2654
San Martín (SJ),Vélez,Mauro Vigliano,4,0,1,126,263,160.5333333333,180.1428571429,65.825,77.6666666667,2913,3093,3240
Talleres,Patronato,Fernando Espinoza,6,0,0,134,250,212.25,215.9230769231,68.675,75.8648648649,2876,3096,3273
Banfield,Atlético Rafaela,Federico Rapallini,6,1,1,115,297,182.0833333333,225.5833333333,66.2,82.7222222222,3561,3735,3878
Colón,Arsenal,Saul Laverni,5,0,1,147,291,281,262.2,76.3055555556,60.2708333333,3412,3603,3759
River Plate,Estudiantes,Diego Abal,4,0,1,112,324,225.7777777778,164.3529411765,70.9736842105,48.5084745763,2557,2862,3103
Racing Club,Newell`s,Germán Delfino,3,0,0,133,285,269.8,171.4,74.3783783784,63.3260869565,2800,3032,3217
San Lorenzo,Huracán,Darío Herrera,2,1,1,185,196,278.2,206.8461538462,61.8444444444,75.0540540541,2368,2595,2775
Rosario Central,Independiente,Facundo Tello,8,2,0,57,244,204.4166666667,130.7058823529,57.4255319149,57.1568627451,2794,3030,3220
Gimnasia,Boca Juniors,Jorge Baliño,5,1,0,121,7,255.8,169.2666666667,68.875,62.5365853659,3096,3299,3463
Temperley,Olimpo,Fernando Echenique,3,0,0,63,301,175.7857142857,164.8235294118,44.5862068966,50.5084745763,2187,2555,2843
Atlético Tucumán,Unión,Nicolás Lamolina,4,0,0,136,196,192.5,217.6923076923,51.1509433962,54.9230769231,2062,2413,2688
Sarmiento,Lanús,Néstor Fabián Pitana,4,0,0,181,301,232.6666666667,321.8571428571,84.6060606061,70.8684210526,3136,3311,3454
Tigre,Belgrano,Patricio Loustau,1,0,1,241,331,244,347.625,76.4324324324,97.2068965517,3484,3636,3762
Quilmes,Godoy Cruz,Silvio Trucco,6,0,0,140,336,171.25,195.0666666667,60.8888888889,58.86,2299,2564,2776
Quilmes,Aldosivi,Néstor Fabián Pitana,3,0,1,59,302,371.8333333333,202.9166666667,75.4857142857,60.6530612245,2855,3132,3352
Godoy Cruz,Tigre,Andrés Merlos,7,0,0,66,363,210.9166666667,222.1666666667,62.3333333333,71.45,2762,2965,3129
Belgrano,Sarmiento,Federico Rapallini,7,0,1,188,241,261.5,190.9333333333,68.3658536585,70.1219512195,2647,2855,3024
Lanús,Atlético Tucumán,Juan Pablo Pompei,4,0,0,292,204,346.375,431.25,84.7575757576,82.5483870968,3493,3696,3860
Unión,Temperley,Fernando Espinoza,5,1,0,62,245,166.6666666667,157.7222222222,55.652173913,49.6271186441,2336,2618,2842
Olimpo,Gimnasia,Germán Delfino,2,0,0,84,140,261.1,179.6666666667,54.0980392157,57.2653061224,1795,2089,2321
Boca Juniors,Rosario Central,Darío Herrera,8,2,0,316,180,253.1818181818,174.3571428571,91.4516129032,73.6578947368,3369,3515,3636
Independiente,San Lorenzo,Jorge Baliño,4,0,1,64,254,214.1666666667,177.5,74.6666666667,59.1666666667,3126,3300,3443
Huracán,Racing Club,Mauro Vigliano,4,0,0,62,376,178.4,397.5714285714,75.5833333333,94.8709677419,2790,2942,3068
Newell`s,River Plate,Silvio Trucco,6,0,1,60,480,128.2105263158,183.3125,65.9512195122,58.2830188679,2714,2912,3072
Estudiantes,Colón,Patricio Loustau,5,2,1,50,180,319.5,253.9090909091,58.0869565217,54.7647058824,2692,3026,3289
Arsenal,Banfield,Diego Abal,4,1,0,182,179,195.3846153846,217.3076923077,61.652173913,58.8541666667,2736,2950,3123
Atlético Rafaela,Talleres,Federico Beligoy,9,1,1,301,239,220.5833333333,163.8823529412,65.6363636364,54.6274509804,2588,2813,2994
Patronato,San Martín (SJ),Ariel Penel,5,2,1,51,71,170.4666666667,213.75,56.5,69.3243243243,2868,3083,3255
Vélez,Def. y Justicia,Fernando Echenique,6,0,2,138,259,151.5,144.1111111111,54.54,54.0555555556,2110,2375,2587
Aldosivi,Vélez,Silvio Trucco,3,2,0,93,185,136.1111111111,183.9285714286,64.8048780488,62.5652173913,2930,3138,3307
Def. y Justicia,Patronato,Néstor Fabián Pitana,5,0,0,133,234,252,452.5,77.1944444444,115.6,3694,3869,4012
San Martín (SJ),Atlético Rafaela,Facundo Tello,6,1,0,68,88,357,189.8571428571,86.2580645161,49.6909090909,3173,3348,3490
Talleres,Arsenal,Nicolás Lamolina,8,0,1,192,299,172.5384615385,163.3529411765,71.4871794872,57.3137254902,2951,3177,3358
Banfield,Estudiantes,Juan Pablo Pompei,7,0,1,74,279,247,264.8181818182,89.5862068966,77.6315789474,3302,3449,3570
Colón,Newell`s,Fernando Echenique,5,0,1,67,237,162.25,214.3076923077,67,60.0208333333,2612,2844,3029
River Plate,Huracán,Federico Rapallini,2,1,0,204,360,278.8888888889,173.4,80.5,60.9591836735,3298,3507,3675
Racing Club,Independiente,Diego Abal,5,0,1,117,162,138.2222222222,307.5,54.4285714286,51.6111111111,2730,3001,3217
San Lorenzo,Boca Juniors,Fernando Espinoza,4,0,0,205,258,249.4545454545,354.8333333333,85.3939393939,68.8536585366,3445,3648,3812
Rosario Central,Olimpo,Héctor Paletta,4,0,0,146,193,241.5555555556,311.125,68.1463414634,61.3695652174,3006,3248,3442
Gimnasia,Unión,Patricio Loustau,4,0,0,7,198,348.4,167.9375,52.5833333333,46.6333333333,1942,2287,2558
Temperley,Lanús,Germán Delfino,5,0,2,115,180,210.3,355,83.7575757576,105.0833333333,3097,3238,3355
Atlético Tucumán,Belgrano,Mariano González,3,0,0,116,190,193.75,259.7777777778,61.1162790698,54.5094339623,2467,2789,3043
Sarmiento,Godoy Cruz,Jorge Baliño,5,1,1,124,251,243.3,164.7692307692,81.84375,67.4146341463,3556,3708,3833
Tigre,Quilmes,Saul Laverni,5,0,0,32,243,228.9090909091,214.5,48.4,66.1860465116,2503,2820,3070
Tigre,Aldosivi,Jorge Baliño,5,0,0,60,358,226,167.3888888889,49.5769230769,50.3666666667,2517,2862,3133
Quilmes,Sarmiento,Silvio Trucco,2,1,0,139,240,198.0833333333,177,53.0196078431,48.2333333333,1883,2246,2529
Godoy Cruz,Atlético Tucumán,Federico Rapallini,5,0,0,6,274,270.125,369.7142857143,77.7272727273,100.4137931034,3554,3706,3832
Belgrano,Temperley,Ariel Penel,3,0,1,61,213,217.0909090909,269.2,61.1818181818,63.7727272727,2388,2670,2894
Lanús,Gimnasia,Diego Abal,3,0,0,99,245,189.4615384615,147.7777777778,88,64.6136363636,3260,3384,3488
Unión,Rosario Central,Juan Pablo Pompei,4,1,0,151,139,283.125,186.6666666667,66.4,56.56,2500,2777,2997
Olimpo,San Lorenzo,Fernando Echenique,4,0,0,295,183,314.875,167.25,75.3157894737,71.1052631579,4068,4242,4385
Boca Juniors,Racing Club,Patricio Loustau,3,0,0,112,186,269.3333333333,155.7777777778,57.8888888889,62.8666666667,2542,2802,3008
Independiente,River Plate,Mauro Vigliano,5,0,0,90,246,194.4,248.2,54.12,52.7358490566,1971,2305,2567
Huracán,Colón,Héctor Paletta,2,0,1,184,264,275.1428571429,207.625,72.6666666667,76.2368421053,3898,4073,4215
Newell`s,Banfield,Néstor Fabián Pitana,6,2,0,236,361,236.5454545455,283.1,75.5789473684,97.6206896552,3137,3307,3445
Estudiantes,Talleres,Darío Herrera,4,0,0,121,270,179.2666666667,212.4615384615,63.023255814,64.2826086957,2672,2926,3129
Arsenal,San Martín (SJ),Pedro Argañaraz,3,0,0,215,196,188.3571428571,204.0833333333,64.2380952381,52.4528301887,2629,2934,3175
Atlético Rafaela,Def. y Justicia,Fernando Espinoza,3,0,0,140,254,177.3333333333,205.3076923077,53.3269230769,53.1272727273,2676,3004,3262
Patronato,Vélez,Germán Delfino,5,0,0,117,245,203,221.0909090909,69.9473684211,63.1956521739,2473,2705,2890
Aldosivi,Patronato,Patricio Loustau,4,0,0,136,201,144.5294117647,201.1538461538,46.7666666667,41.6231884058,1864,2232,2520
Vélez,Atlético Rafaela,Mauro Vigliano,4,0,0,152,319,826.6666666667,195.5454545455,118,57.9387755102,3362,3599,3788
Def. y Justicia,Arsenal,Juan Pablo Pompei,7,1,0,138,195,164.4166666667,173.1428571429,61.7441860465,55.3846153846,3009,3263,3465
San Martín (SJ),Estudiantes,Federico Beligoy,4,0,0,140,255,277.5,182.4666666667,89.5161290323,59.5306122449,3002,3166,3300
Talleres,Newell`s,Federico Rapallini,6,0,0,129,358,160.25,169.2857142857,70.9459459459,74.2,3581,3744,3878
Banfield,Huracán,Jorge Baliño,3,1,0,179,189,182.1666666667,206.4615384615,65.6341463415,53.7647058824,2031,2331,2568
Colón,Independiente,Facundo Tello,6,0,0,60,635,206.0769230769,158.8947368421,78.7941176471,66.5416666667,2962,3142,3289
River Plate,Boca Juniors,Diego Abal,7,0,0,124,276,222.25,137.6111111111,65.3170731707,51.0535714286,2515,2763,2962
Racing Club,Olimpo,Fernando Espinoza,7,0,1,186,293,177.0769230769,140.3684210526,64.3023255814,51.7719298246,2366,2603,2793
San Lorenzo,Unión,Saul Laverni,2,0,0,137,271,166,272.8888888889,81.3793103448,97.1724137931,3469,3583,3678
Rosario Central,Lanús,Nicolás Lamolina,6,0,0,6,248,240.1,262.1818181818,79.34375,79.0810810811,3625,3799,3942
Gimnasia,Belgrano,Fernando Echenique,3,0,0,177,177,215.2,147.3888888889,76.6216216216,54.0588235294,3221,3469,3668
Temperley,Godoy Cruz,Darío Herrera,4,0,0,150,189,203.8461538462,193.9230769231,58.8888888889,62.7674418605,2725,2945,3122
Atlético Tucumán,Quilmes,Andrés Merlos,3,0,0,122,126,295.6666666667,220.0909090909,71.8157894737,63.6666666667,2337,2563,2744
Sarmiento,Tigre,Néstor Fabián Pitana,6,0,1,150,196,177.5,338.5,57.5531914894,64.75,2614,2914,3151
Sarmiento,Aldosivi,Federico Rapallini,7,0,0,111,285,213.6,350,62.7906976744,108.1481481481,3287,3441,3566
Tigre,Atlético Tucumán,Diego Abal,2,0,0,66,245,170.3076923077,211.0833333333,47.0172413793,57.04,2565,2899,3161
Quilmes,Temperley,Fernando Echenique,9,0,0,162,469,131.3333333333,160.6666666667,62.5333333333,44.4428571429,2540,2886,3156
Godoy Cruz,Gimnasia,Néstor Fabián Pitana,3,0,0,68,192,166.75,137.2,55.7916666667,46.4516129032,2550,2810,3017
Belgrano,Rosario Central,Facundo Tello,9,1,0,59,173,220.1666666667,227.1666666667,59.0666666667,72.5128205128,2927,3136,3304
Lanús,San Lorenzo,Mauro Vigliano,9,0,1,75,190,170.1875,349,69.8205128205,79.6388888889,3081,3217,3329
Unión,Racing Club,Nicolás Lamolina,7,1,0,111,347,223.75,270.2,52.5660377358,73.6829268293,2426,2680,2882
Olimpo,River Plate,Jorge Baliño,5,0,1,129,240,288.625,253.4545454545,60.3953488372,66.1363636364,2924,3127,3291
Boca Juniors,Colón,Saul Laverni,5,0,0,230,24,298.75,213.7,74.4594594595,62.5365853659,2403,2600,2760
Independiente,Banfield,Fernando Espinoza,5,0,0,71,311,262.8,305.8888888889,53.6326530612,53.6545454545,2364,2675,2920
Huracán,Talleres,Federico Beligoy,4,0,0,123,245,188,195.7692307692,59.4680851064,59.7234042553,2322,2558,2748
Newell`s,San Martín (SJ),Ramiro López,2,0,0,78,120,258,205.3,97.4074074074,87.4838709677,3974,4077,4163
Estudiantes,Def. y Justicia,Mariano González,3,0,1,179,228,318.5,198.6666666667,69.4634146341,54.9038461538,2655,2966,3212
Arsenal,Vélez,Mario Ejarque,7,1,1,93,248,273.75,208.3076923077,70.9473684211,56.5192307692,2862,3099,3289
Atlético Rafaela,Patronato,Ariel Penel,2,0,1,134,114,199.2857142857,293.7142857143,93,66.7179487179,2543,2730,2881
