Home Team,Away Team,Referee,YC,RC,Pen,P1,P2,P1 MTBF,P2 MTBF,P1 MTBS,P2 MTBS,EPT Lower,EPT Nominal,EPT Upper
Aldosivi,Colón,Germán Delfino,3,0,0,62,186,154.5294117647,169.5333333333,55.4693877551,41.4492753623,1774,2097,2351
River Plate,Banfield,Federico Rapallini,3,0,0,68,121,139.2222222222,232.3,72.0810810811,59.4782608696,3461,3619,3749
Racing Club,Talleres,Sergio Pezzotta,4,0,0,180,178,151.5882352941,169.1875,47.6333333333,47.6949152542,2010,2321,2567
San Lorenzo,San Martín (SJ),Néstor Fabián Pitana,5,0,1,85,246,178.2666666667,178.1875,70.3684210526,59.3958333333,2845,3065,3242
Rosario Central,Def. y Justicia,Mauro Vigliano,4,0,0,82,240,142.0526315789,169.4117647059,52.9215686275,46.126984127,1918,2252,2514
Gimnasia,Vélez,Silvio Trucco,5,2,0,60,376,139.6923076923,176.4117647059,52.1818181818,68.1590909091,2815,3058,3252
Temperley,Patronato,Fernando Espinoza,7,0,0,63,251,116.2666666667,289.8888888889,47.5818181818,55.7884615385,2373,2684,2930
Atlético Tucumán,Atlético Rafaela,Facundo Tello,3,1,0,207,248,300.1428571429,277,102.7777777778,83.0571428571,3129,3298,3437
Sarmiento,Arsenal,Ariel Penel,5,1,1,81,244,222.6666666667,198.5,78.5882352941,59.2448979592,3061,3235,3378
Tigre,Estudiantes,Darío Herrera,3,0,0,62,188,299.2857142857,200.3076923077,62.2619047619,62.7209302326,3002,3268,3479
Quilmes,Newell`s,Jorge Baliño,9,1,1,61,246,153.1764705882,121.1304347826,56.9787234043,52.9454545455,2698,2901,3065
Godoy Cruz,Huracán,Federico Beligoy,7,0,0,100,264,136.1333333333,186.5333333333,61.6904761905,48.5833333333,2307,2618,2864
Belgrano,Independiente,Patricio Loustau,5,0,0,140,242,187.6428571429,106.45,64.5813953488,62.9130434783,2957,3166,3334
Lanús,Boca Juniors,Diego Abal,2,0,1,64,178,188.25,156.5882352941,74.9090909091,67.0476190476,3026,3201,3344
Unión,Olimpo,Mariano González,8,0,0,65,238,204.3333333333,153.5,50.9615384615,49.8620689655,2277,2634,2913
Unión,Aldosivi,Federico Beligoy,4,1,0,124,180,296.6666666667,188.2857142857,64.3953488372,66.8333333333,2648,2897,3095
Olimpo,Lanús,Fernando Espinoza,3,0,0,70,208,141.5263157895,229.4,57.2127659574,59.2325581395,2459,2696,2886
Boca Juniors,Belgrano,Germán Delfino,6,2,0,165,121,134.55,180.3333333333,58.8085106383,53.5961538462,2591,2828,3018
Independiente,Godoy Cruz,Darío Herrera,5,0,0,75,215,162.5625,188.8571428571,59.6222222222,54.86,2620,2863,3057
Huracán,Quilmes,Héctor Paletta,4,0,0,66,239,181.2,191.0714285714,64.7142857143,57.66,2468,2728,2935
Newell`s,Tigre,Patricio Loustau,5,0,1,127,180,181,279.375,63.1395348837,53.4905660377,2445,2733,2961
Estudiantes,Sarmiento,Diego Abal,4,0,0,58,269,354,218.5454545455,84.90625,49.1694915254,3112,3434,3688
Arsenal,Atlético Tucumán,Jorge Baliño,3,0,2,61,359,188.9285714286,334.25,50.8653846154,57.6538461538,2345,2696,2971
Atlético Rafaela,Temperley,Mauro Vigliano,6,0,0,162,263,230.1818181818,143.6666666667,49.9259259259,53.1132075472,1938,2272,2534
Patronato,Gimnasia,Saul Laverni,1,0,0,131,231,228.4,221.75,71.5675675676,64.4,3091,3327,3517
Vélez,Rosario Central,Fernando Echenique,7,1,0,191,192,132.5238095238,160.3529411765,44.28125,52.7592592593,1881,2209,2467
Def. y Justicia,San Lorenzo,Juan Pablo Pompei,7,0,0,61,305,174.0769230769,246.8181818182,94.4285714286,88.7741935484,3587,3685,3766
San Martín (SJ),Racing Club,Federico Rapallini,3,0,0,134,305,181.5384615385,253.9090909091,73.5263157895,64.0681818182,2782,2979,3139
Talleres,River Plate,Néstor Fabián Pitana,3,2,0,120,250,141.4210526316,202.7857142857,61.0681818182,55.6666666667,2260,2519,2726
Banfield,Colón,Silvio Trucco,5,0,0,88,195,118.0588235294,253.3636363636,54.04,63.3777777778,3402,3633,3818
Aldosivi,Banfield,Nicolás Lamolina,7,2,0,111,92,240.3,225.7,62.8181818182,60.2826086957,3122,3382,3589
Colón,Talleres,Facundo Tello,5,1,1,75,337,131,169,42.9032258065,55.1481481481,1734,2074,2340
River Plate,San Martín (SJ),Mauro Vigliano,5,0,0,63,309,178.6363636364,346.5714285714,54.24,65.1395348837,2844,3161,3410
Racing Club,Def. y Justicia,Néstor Fabián Pitana,6,0,0,95,325,128.1,144.0526315789,45.4736842105,52.6964285714,2339,2632,2865
San Lorenzo,Vélez,Darío Herrera,4,0,0,76,249,350.4285714286,208.3636363636,56.5833333333,61.1041666667,2483,2829,3100
Rosario Central,Patronato,Federico Rapallini,6,4,0,227,305,165.0588235294,190.8666666667,62.4130434783,69.5714285714,2829,3027,3187
Gimnasia,Atlético Rafaela,Fernando Espinoza,3,1,0,55,270,163.125,199.8571428571,62.3333333333,54.862745098,2654,2914,3121
Temperley,Arsenal,Pedro Argañaraz,4,0,0,60,188,211,184.2307692308,76.5714285714,52.9615384615,3275,3511,3701
Atlético Tucumán,Estudiantes,Silvio Trucco,5,0,0,67,171,206.8,148.0588235294,77.6666666667,50.3703703704,2708,2934,3115
Sarmiento,Newell`s,Germán Delfino,6,0,0,20,279,156.9375,198.1428571429,69.972972973,60.8085106383,2593,2796,2960
Tigre,Huracán,Diego Abal,3,0,0,90,277,158.3125,261.8,67.5263157895,51.5,2530,2795,3006
Quilmes,Independiente,Mariano González,2,0,0,11,172,210.6363636364,191.2142857143,63.380952381,60.2340425532,3009,3246,3436
Godoy Cruz,Boca Juniors,Patricio Loustau,3,0,0,65,202,142.4444444444,178.8333333333,55.6530612245,50.0181818182,1862,2162,2399
Belgrano,Olimpo,Federico Beligoy,6,0,0,113,196,236.3,141.9,60.4666666667,48.9310344828,2261,2543,2767
Lanús,Unión,Jorge Baliño,6,0,0,136,257,330.2,163.9411764706,88.9677419355,65.7272727273,3275,3467,3622
Lanús,Aldosivi,Germán Delfino,5,0,0,77,300,414.6666666667,228.4166666667,70.5789473684,71.6341463415,3071,3297,3478
Unión,Belgrano,Darío Herrera,6,0,1,87,255,171.6,183.3571428571,52.1346153846,50.3157894737,2498,2797,3034
Olimpo,Godoy Cruz,Nicolás Lamolina,6,2,0,66,219,225,249,54.48,61.3043478261,2255,2531,2751
Boca Juniors,Quilmes,Néstor Fabián Pitana,3,0,0,135,245,148.2941176471,197.2142857143,62.8571428571,55.0588235294,2862,3077,3249
Independiente,Tigre,Fernando Espinoza,5,0,1,230,308,157,190.2142857143,57.170212766,61.1836734694,2593,2807,2980
Huracán,Sarmiento,Federico Rapallini,9,0,0,11,246,145.4705882353,137.9047619048,74.1714285714,65.8181818182,2928,3075,3196
Newell`s,Atlético Tucumán,Ariel Penel,2,0,1,75,169,402.6666666667,204.5,78.2058823529,81.1764705882,3291,3466,3608
Estudiantes,Temperley,Federico Beligoy,6,0,0,71,190,238.2222222222,218.1818181818,64.3333333333,52.3773584906,2672,2937,3148
Arsenal,Gimnasia,Silvio Trucco,4,1,0,5,222,144.3888888889,224.6666666667,49.6603773585,57.86,2382,2652,2868
Atlético Rafaela,Rosario Central,Mariano González,6,0,0,79,196,176.8666666667,160.7058823529,51.9230769231,45.8225806452,1685,2065,2361
Patronato,San Lorenzo,Jorge Baliño,3,0,1,136,183,178.9333333333,199.9166666667,56.1020408163,60,2716,3004,3233
Vélez,Racing Club,Mauro Vigliano,3,0,0,65,125,213.5,163.1428571429,57.3829787234,47.1896551724,2633,2933,3170
Def. y Justicia,River Plate,Diego Abal,5,1,1,70,251,163.5,153.7222222222,59.8666666667,47.4918032787,2694,2930,3120
San Martín (SJ),Colón,Luis Álvarez,4,0,0,73,179,357.1428571429,329.25,66.487804878,61.3043478261,2475,2735,2942
Talleres,Banfield,Juan Pablo Pompei,3,0,0,64,197,184.3333333333,569.2,60.5,59.2916666667,2048,2359,2605
