Matchday,Home Team,Away Team,Player In,Player Out,Time,Stoppage
16,Wolverhampton Wanderers,Stoke City,Jermaine Pennant,Jonathan Woodgate,19,
16,Wolverhampton Wanderers,Stoke City,Sylvain Ebanks-Blake,Kevin Doyle,75,
16,Wolverhampton Wanderers,Stoke City,Adlène Guedioura,Nenad Milijaš,75,
16,Wolverhampton Wanderers,Stoke City,Adam Hammill,Stephen Hunt,80,
16,Wolverhampton Wanderers,Stoke City,Wilson Palacios,Glenn Whelan,83,
16,Wolverhampton Wanderers,Stoke City,Ricardo Fuller,Matthew Etherington,87,
17,Aston Villa,Arsenal,Barry Bannan,Stephen Ireland,46,
17,Aston Villa,Arsenal,Tomáš Rosický,Emmanuel Frimpong,66,
17,Aston Villa,Arsenal,Andrey Arshavin,Gervinho,80,
17,Aston Villa,Arsenal,Yossi Benayoun,Aaron Ramsey,81,
17,Aston Villa,Arsenal,Nathan Delfouneso,Marc Albrighton,88,
17,Blackburn Rovers,Bolton Wanderers,Paul Robinson:1978-12-14,Marcos Alonso Mendoza,57,
17,Blackburn Rovers,Bolton Wanderers,David Goodwillie,Mauro Formica,65,
17,Blackburn Rovers,Bolton Wanderers,Rubén Rochina,Simon Vukčević,65,
17,Blackburn Rovers,Bolton Wanderers,Tuncay,David Ngog,72,
17,Blackburn Rovers,Bolton Wanderers,Darren Pratley,Ivan Klasnić,81,
17,Everton,Swansea City,Magaye Gueye,Séamus Coleman,31,
17,Everton,Swansea City,Àngel Rangel,Neil Taylor,45,1
17,Everton,Swansea City,Kemy Agustien,Mark Gower,46,
17,Everton,Swansea City,Leroy Lita,Leon Britton,74,
17,Everton,Swansea City,Denis Stracqualursi,Louis Saha,75,
17,Everton,Swansea City,Tim Cahill,Royston Drenthe,80,
17,Fulham,Manchester United,Ashley Young,Phil Jones,20,
17,Fulham,Manchester United,Park Ji-Sung,Ashley Young,58,
17,Fulham,Manchester United,Stephen Kelly,Chris Baird,74,
17,Fulham,Manchester United,Dimitar Berbatov,Danny Welbeck,76,
17,Fulham,Manchester United,Bobby Zamora,Clint Dempsey,85,
17,Manchester City,Stoke City,Stefan Savić,Micah Richards,59,
17,Manchester City,Stoke City,Ricardo Fuller,Cameron Jerome,68,
17,Manchester City,Stoke City,Mario Balotelli,David Silva,68,
17,Manchester City,Stoke City,Jermaine Pennant,Kenwyne Jones,74,
17,Manchester City,Stoke City,Salif Diao,Jonathan Woodgate,80,
17,Manchester City,Stoke City,James Milner,Gareth Barry,83,
17,Newcastle United,West Bromwich Albion,Billy Jones,Steven Reid,6,
17,Newcastle United,West Bromwich Albion,Ryan Taylor,Davide Santon,46,
17,Newcastle United,West Bromwich Albion,Hatem Ben Arfa,Leon Best,61,
17,Newcastle United,West Bromwich Albion,Graham Dorrans,Jerome Thomas,68,
17,Newcastle United,West Bromwich Albion,Shola Ameobi,Gabriel Obertan,72,
17,Newcastle United,West Bromwich Albion,George Thorne,Youssouf Mulumbu,76,
17,Queens Park Rangers,Sunderland,Adel Taarabt,Shaun Wright-Phillips,46,
17,Queens Park Rangers,Sunderland,Jack Colback,David Vaughan,71,
17,Queens Park Rangers,Sunderland,Craig Gardner,Sebastian Larsson,75,
17,Queens Park Rangers,Sunderland,Fitz Hall,Armand Traoré,80,
17,Queens Park Rangers,Sunderland,Jay Bothroyd,Matthew Connolly,90,2
17,Tottenham Hotspur,Chelsea,Paulo Ferreira,Branislav Ivanović,34,
17,Tottenham Hotspur,Chelsea,Oriol Romeu,John Obi Mikel,45,3
17,Tottenham Hotspur,Chelsea,Roman Pavlyuchenko,Rafael van der Vaart,46,
17,Tottenham Hotspur,Chelsea,Fernando Torres,Didier Drogba,77,
17,Wigan Athletic,Liverpool,Franco Di Santo,Conor Sammon,61,
17,Wigan Athletic,Liverpool,Jonjo Shelvey,Dirk Kuyt,72,
17,Wigan Athletic,Liverpool,Craig Bellamy,Maxi Rodríguez,72,
17,Wigan Athletic,Liverpool,Ben Watson,David Jones,74,
17,Wigan Athletic,Liverpool,Hugo Rodallega,Jordi Gómez,74,
17,Wigan Athletic,Liverpool,Andy Carroll,Luis Suárez,87,
17,Wolverhampton Wanderers,Norwich City,Bradley Johnson,David Fox,75,
17,Wolverhampton Wanderers,Norwich City,Simeon Jackson,Grant Holt,75,
17,Wolverhampton Wanderers,Norwich City,Adam Hammill,Stephen Hunt,75,
17,Wolverhampton Wanderers,Norwich City,Kevin Doyle,Sylvain Ebanks-Blake,80,
17,Wolverhampton Wanderers,Norwich City,Elliott Bennett,Wes Hoolahan,87,
18,Arsenal,Wolverhampton Wanderers,Richard Stearman,Ronald Zubar,50,
18,Arsenal,Wolverhampton Wanderers,Andrey Arshavin,Yossi Benayoun,63,
18,Arsenal,Wolverhampton Wanderers,Aaron Ramsey,Alexandre Song,71,
18,Arsenal,Wolverhampton Wanderers,Adlène Guedioura,Anthony Forde,71,
18,Arsenal,Wolverhampton Wanderers,Marouane Chamakh,Johan Djourou,85,
18,Arsenal,Wolverhampton Wanderers,Kevin Doyle,Stephen Hunt,86,
18,Bolton Wanderers,Newcastle United,Hatem Ben Arfa,Leon Best,61,
18,Bolton Wanderers,Newcastle United,Chris Eagles,Fabrice Muamba,66,
18,Bolton Wanderers,Newcastle United,Kevin Davies,David Ngog,76,
18,Bolton Wanderers,Newcastle United,Tuncay,Ivan Klasnić,77,
18,Bolton Wanderers,Newcastle United,Shola Ameobi,Gabriel Obertan,84,
18,Bolton Wanderers,Newcastle United,James Perch,Yohan Cabaye,88,
18,Chelsea,Fulham,Florent Malouda,Frank Lampard,61,
18,Chelsea,Fulham,Didier Drogba,Daniel Sturridge,70,
18,Chelsea,Fulham,Paulo Ferreira,José Bosingwa,81,
18,Chelsea,Fulham,Pajtim Kasami,Orlando Sá,82,
18,Liverpool,Blackburn Rovers,Steven Gerrard,Charlie Adam,69,
18,Liverpool,Blackburn Rovers,Simon Vukčević,Junior Hoilett,75,
18,Liverpool,Blackburn Rovers,Craig Bellamy,Maxi Rodríguez,81,
18,Liverpool,Blackburn Rovers,Radosav Petrović,David Dunn,84,
18,Liverpool,Blackburn Rovers,David Goodwillie,Yakubu,90,4
18,Manchester United,Wigan Athletic,Ezekiel Fryers,Jonny Evans,46,
18,Manchester United,Wigan Athletic,Franco Di Santo,Mohamed Diamé,46,
18,Manchester United,Wigan Athletic,Federico Macheda,Nani,64,
18,Manchester United,Wigan Athletic,Wayne Rooney,Ryan Giggs,64,
18,Manchester United,Wigan Athletic,James McArthur,Jordi Gómez,71,
18,Manchester United,Wigan Athletic,Hugo Rodallega,Victor Moses,80,
18,Norwich City,Tottenham Hotspur,Leon Barnett,Ritchie de Laet,64,
18,Norwich City,Tottenham Hotspur,Danny Rose,Benoît Assou-Ekotto,72,
18,Norwich City,Tottenham Hotspur,Elliott Bennett,Adam Drury,75,
18,Norwich City,Tottenham Hotspur,Anthony Pilkington,Andrew Crofts,75,
18,Norwich City,Tottenham Hotspur,Niko Kranjčar,Rafael van der Vaart,85,
18,Norwich City,Tottenham Hotspur,Jake Livermore,Scott Parker,90,4
18,Stoke City,Aston Villa,Nathan Delfouneso,Emile Heskey,46,
18,Stoke City,Aston Villa,Rory Delap,Wilson Palacios,67,
18,Stoke City,Aston Villa,Jermaine Pennant,Jonathan Woodgate,70,
18,Sunderland,Everton,Jack Colback,Titus Bramble,21,
18,Sunderland,Everton,Craig Gardner,Phillip Bardsley,46,
18,Sunderland,Everton,Magaye Gueye,Royston Drenthe,75,
18,Sunderland,Everton,James McClean,David Vaughan,81,
18,Sunderland,Everton,Apostolos Vellios,Louis Saha,84,
18,Sunderland,Everton,James McFadden,Tim Cahill,87,
18,Swansea City,Queens Park Rangers,Nathan Dyer,Wayne Routledge,56,
18,Swansea City,Queens Park Rangers,Luke Moore,Àngel Rangel,57,
18,West Bromwich Albion,Manchester City,Gareth Barry,Samir Nasri,59,
18,West Bromwich Albion,Manchester City,Adam Johnson,Sergio Agüero,74,
18,West Bromwich Albion,Manchester City,Graham Dorrans,Youssouf Mulumbu,80,
18,West Bromwich Albion,Manchester City,Edin Džeko,James Milner,82,
18,West Bromwich Albion,Manchester City,Gonzalo Jara,Peter Odemwingie,88,
19,Arsenal,Queens Park Rangers,Francis Coquelin,Thomas Vermaelen,54,
19,Arsenal,Queens Park Rangers,DJ Campbell,Jay Bothroyd,64,
19,Arsenal,Queens Park Rangers,Tomáš Rosický,Andrey Arshavin,67,
19,Arsenal,Queens Park Rangers,Tommy Smith,Jamie Mackie,74,
19,Arsenal,Queens Park Rangers,Gervinho,Theo Walcott,74,
19,Arsenal,Queens Park Rangers,Bradley Orr,Armand Traoré,77,
19,Bolton Wanderers,Wolverhampton Wanderers,David Edwards,George Elokobi,46,
19,Bolton Wanderers,Wolverhampton Wanderers,Kevin Doyle,Steven Fletcher,68,
19,Bolton Wanderers,Wolverhampton Wanderers,Tuncay,Ivan Klasnić,77,
19,Bolton Wanderers,Wolverhampton Wanderers,Kevin Foley,Stephen Hunt,81,
19,Bolton Wanderers,Wolverhampton Wanderers,Kevin Davies,David Ngog,88,
19,Chelsea,Aston Villa,Frank Lampard,Oriol Romeu,57,
19,Chelsea,Aston Villa,Fernando Torres,Daniel Sturridge,62,
19,Chelsea,Aston Villa,José Bosingwa,Paulo Ferreira,75,
19,Chelsea,Aston Villa,Darren Bent,Charles N'Zogbia,78,
19,Chelsea,Aston Villa,Gary Gardner,Marc Albrighton,78,
19,Chelsea,Aston Villa,Barry Bannan,Stiliyan Petrov,84,
19,Liverpool,Newcastle United,Davide Santon,Ryan Taylor,46,
19,Liverpool,Newcastle United,Steven Gerrard,Charlie Adam,59,
19,Liverpool,Newcastle United,Hatem Ben Arfa,Haris Vučkić,65,
19,Liverpool,Newcastle United,Dirk Kuyt,Craig Bellamy,74,
19,Liverpool,Newcastle United,Sammy Ameobi,Gabriel Obertan,84,
19,Manchester United,Blackburn Rovers,Anderson,Javier Hernández,46,
19,Manchester United,Blackburn Rovers,Josh Morris,Rubén Rochina,55,
19,Manchester United,Blackburn Rovers,David Goodwillie,Mauro Formica,85,
19,Manchester United,Blackburn Rovers,William Keane,Rafael,85,
19,Manchester United,Blackburn Rovers,Jordan Slew,Yakubu,89,
19,Norwich City,Fulham,Grant Holt,David Fox,46,
19,Norwich City,Fulham,Dickson Etuhu,Danny Murphy,65,
19,Norwich City,Fulham,Simeon Jackson,Steve Morison,69,
19,Norwich City,Fulham,Steve Sidwell,Orlando Sá,79,
19,Norwich City,Fulham,Elliott Bennett,Anthony Pilkington,80,
19,Norwich City,Fulham,Damien Duff,Kerim Frei,80,
19,Stoke City,Wigan Athletic,Ryan Shotton,Andy Wilkinson,50,
19,Stoke City,Wigan Athletic,Cameron Jerome,Matthew Etherington,73,
19,Stoke City,Wigan Athletic,Steve Gohouri,Jordi Gómez,78,
19,Stoke City,Wigan Athletic,Ben Watson,David Jones,86,
19,Stoke City,Wigan Athletic,Kenwyne Jones,Jonathan Walters,90,3
19,Sunderland,Manchester City,Matthew Kilgallon,Wes Brown,26,
19,Sunderland,Manchester City,Sergio Agüero,Nigel de Jong,46,
19,Sunderland,Manchester City,David Silva,Samir Nasri,55,
19,Sunderland,Manchester City,Micah Richards,Aleksandar Kolarov,67,
19,Sunderland,Manchester City,Ji Dong-Won,Nicklas Bendtner,78,
19,Sunderland,Manchester City,Ahmed Elmohamady,David Vaughan,82,
19,Swansea City,Tottenham Hotspur,Àngel Rangel,Jazz Richards,46,
19,Swansea City,Tottenham Hotspur,Kemy Agustien,Mark Gower,62,
19,Swansea City,Tottenham Hotspur,Danny Graham,Luke Moore,68,
19,Swansea City,Tottenham Hotspur,Jermain Defoe,Rafael van der Vaart,70,
19,Swansea City,Tottenham Hotspur,Jake Livermore,Scott Parker,71,
19,West Bromwich Albion,Everton,Magaye Gueye,Jack Rodwell,57,
19,West Bromwich Albion,Everton,Denis Stracqualursi,Louis Saha,65,
19,West Bromwich Albion,Everton,Victor Anichebe,Philip Neville,65,
19,West Bromwich Albion,Everton,Graeme Dorrans,Chris Brunt,90,3
20,Aston Villa,Swansea City,Alan Hutton,Carlos Cuéllar,55,
20,Aston Villa,Swansea City,Joe Allen,Andrea Orlandi,58,
20,Aston Villa,Swansea City,Marc Albrighton,Stephen Ireland,68,
20,Aston Villa,Swansea City,Scott Sinclair,Nathan Dyer,78,
20,Aston Villa,Swansea City,Barry Bannan,Ciaran Clark,85,
20,Blackburn Rovers,Stoke City,David Goodwillie,Radosav Petrović,59,
20,Blackburn Rovers,Stoke City,Gaël Givet,Adam Henley,71,
20,Blackburn Rovers,Stoke City,Rubén Rochina,David Dunn,73,
20,Blackburn Rovers,Stoke City,Cameron Jerome,Matthew Etherington,80,
20,Blackburn Rovers,Stoke City,Rory Delap,Glenn Whelan,82,
20,Blackburn Rovers,Stoke City,Salif Diao,Dean Whitehead,87,
20,Everton,Bolton Wanderers,Jack Rodwell,Phil Jagielka,42,
20,Everton,Bolton Wanderers,Magaye Gueye,Leon Osman,53,
20,Everton,Bolton Wanderers,Tim Cahill,Jack Rodwell,61,
20,Everton,Bolton Wanderers,Darren Pratley,Chris Eagles,81,
20,Everton,Bolton Wanderers,Kevin Davies,David Ngog,87,
20,Fulham,Arsenal,Tomáš Rosický,Theo Walcott,65,
20,Fulham,Arsenal,Kerim Frei,Danny Murphy,69,
20,Fulham,Arsenal,Yossi Benayoun,Gervinho,74,
20,Fulham,Arsenal,Sébastien Squillaci,Aaron Ramsey,81,
20,Manchester City,Liverpool,Steven Gerrard,Charlie Adam,57,
20,Manchester City,Liverpool,Craig Bellamy,Dirk Kuyt,57,
20,Manchester City,Liverpool,Adam Johnson,Sergio Agüero,71,
20,Manchester City,Liverpool,Joleon Lescott,David Silva,76,
20,Manchester City,Liverpool,Maxi Rodríguez,Jay Spearing,76,
20,Newcastle United,Manchester United,Danny Welbeck,Dimitar Berbatov,57,
20,Newcastle United,Manchester United,Javier Hernández,Park Ji-Sung,66,
20,Newcastle United,Manchester United,Anderson,Wayne Rooney,74,
20,Newcastle United,Manchester United,Leon Best,Shola Ameobi,75,
20,Newcastle United,Manchester United,James Perch,Yohan Cabaye,77,
20,Newcastle United,Manchester United,Gabriel Obertan,Demba Ba,89,
20,Queens Park Rangers,Norwich City,Shaun Wright-Phillips,Jamie Mackie,46,
20,Queens Park Rangers,Norwich City,David Fox,Adam Drury,66,
20,Queens Park Rangers,Norwich City,Steve Morison,Grant Holt,66,
20,Queens Park Rangers,Norwich City,Wes Hoolahan,Simon Lappin,66,
20,Queens Park Rangers,Norwich City,Federico Macheda,Heiðar Helguson,80,
20,Queens Park Rangers,Norwich City,DJ Campbell,Adel Taarabt,85,
20,Tottenham Hotspur,West Bromwich Albion,Gonzalo Jara,Jerome Thomas,27,
20,Tottenham Hotspur,West Bromwich Albion,Jake Livermore,Sandro,30,
20,Tottenham Hotspur,West Bromwich Albion,James Morrison,Graham Dorrans,65,
20,Tottenham Hotspur,West Bromwich Albion,Sébastien Bassong,William Gallas,67,
20,Tottenham Hotspur,West Bromwich Albion,Niko Kranjčar,Jake Livermore,77,
20,Tottenham Hotspur,West Bromwich Albion,Somen Tchoyi,George Thorne,79,
20,Wigan Athletic,Sunderland,Victor Moses,Albert Crusat,39,
20,Wigan Athletic,Sunderland,Conor Sammon,Ronnie Stam,58,
20,Wigan Athletic,Sunderland,David Meyler,Kieran Richardson,67,
20,Wigan Athletic,Sunderland,Ahmed Elmohamady,Craig Gardner,83,
20,Wigan Athletic,Sunderland,Mohamed Diamé,Ben Watson,86,
20,Wigan Athletic,Sunderland,Ji Dong-Won,James McClean,89,
20,Wolverhampton Wanderers,Chelsea,Matthew Jarvis,Anthony Forde,46,
20,Wolverhampton Wanderers,Chelsea,Steven Fletcher,Emmanuel Frimpong,61,
20,Wolverhampton Wanderers,Chelsea,Kevin Foley,David Edwards,76,
20,Wolverhampton Wanderers,Chelsea,Joshua McEachran,Juan Mata,83,
21,Aston Villa,Everton,Victor Anichebe,Royston Drenthe,61,
21,Aston Villa,Everton,Robbie Keane,Stephen Warnock,81,
21,Aston Villa,Everton,Diniyar Bilyaletdinov,Darron Gibson,84,
21,Aston Villa,Everton,Denis Stracqualursi,Louis Saha,88,
21,Blackburn Rovers,Fulham,David Goodwillie,Radosav Petrović,29,
21,Blackburn Rovers,Fulham,Kerim Frei,Moussa Dembélé,36,
21,Blackburn Rovers,Fulham,Mauro Formica,David Dunn,69,
21,Blackburn Rovers,Fulham,Andrew Johnson,John Arne Riise,73,
21,Blackburn Rovers,Fulham,Simon Davies,Kerim Frei,87,
21,Chelsea,Sunderland,Michael Turner,Matthew Kilgallon,45,1
21,Chelsea,Sunderland,Craig Gardner,David Vaughan,69,
21,Chelsea,Sunderland,Michael Essien,Frank Lampard,73,
21,Chelsea,Sunderland,Connor Wickham,Kieran Richardson,80,
21,Chelsea,Sunderland,Florent Malouda,Juan Mata,85,
21,Liverpool,Stoke City,Andy Carroll,Stewart Downing,58,
21,Liverpool,Stoke City,Dean Whitehead,Wilson Palacios,62,
21,Liverpool,Stoke City,Craig Bellamy,Jordan Henderson,74,
21,Liverpool,Stoke City,Andy Wilkinson,Jonathan Woodgate,79,
21,Liverpool,Stoke City,Ricardo Fuller,Matthew Etherington,87,
21,Manchester United,Bolton Wanderers,Joe Riley,Chris Eagles,69,
21,Manchester United,Bolton Wanderers,Park Ji-Sung,Nani,69,
21,Manchester United,Bolton Wanderers,Ryan Giggs,Paul Scholes,69,
21,Manchester United,Bolton Wanderers,Javier Hernández,Danny Welbeck,78,
21,Manchester United,Bolton Wanderers,Darren Pratley,Fabrice Muamba,81,
21,Manchester United,Bolton Wanderers,Tuncay,Martin Petrov,88,
21,Newcastle United,Queens Park Rangers,Hatem Ben Arfa,Yohan Cabaye,25,
21,Newcastle United,Queens Park Rangers,Tommy Smith,Heiðar Helguson,64,
21,Newcastle United,Queens Park Rangers,Federico Macheda,Ákos Buzsáky,76,
21,Newcastle United,Queens Park Rangers,James Perch,Leon Best,76,
21,Newcastle United,Queens Park Rangers,Dan Gosling,Ryan Taylor,81,
21,Swansea City,Arsenal,Gylfi Sigurðsson,Kemy Agustien,46,
21,Swansea City,Arsenal,Thierry Henry,Andrey Arshavin,63,
21,Swansea City,Arsenal,Tomáš Rosický,Yossi Benayoun,63,
21,Swansea City,Arsenal,Alex Oxlade-Chamberlain,Per Mertesacker,77,
21,Swansea City,Arsenal,Wayne Routledge,Nathan Dyer,82,
21,Swansea City,Arsenal,Leroy Lita,Danny Graham,90,3
21,Tottenham Hotspur,Wolverhampton Wanderers,Stephen Hunt,Emmanuel Frimpong,67,
21,Tottenham Hotspur,Wolverhampton Wanderers,Jermain Defoe,Aaron Lennon,74,
21,Tottenham Hotspur,Wolverhampton Wanderers,Danny Rose,Benoît Assou-Ekotto,80,
21,Tottenham Hotspur,Wolverhampton Wanderers,Nenad Milijaš,David Edwards,81,
21,Tottenham Hotspur,Wolverhampton Wanderers,George Elokobi,Matthew Jarvis,85,
21,West Bromwich Albion,Norwich City,Graham Dorrans,Paul Scharner,63,
21,West Bromwich Albion,Norwich City,Shane Long,Peter Odemwingie,63,
21,West Bromwich Albion,Norwich City,Grant Holt,Anthony Pilkington,68,
21,West Bromwich Albion,Norwich City,Andrew Crofts,Simeon Jackson,68,
21,West Bromwich Albion,Norwich City,Marc-Antoine Fortuné,Jerome Thomas,77,
21,West Bromwich Albion,Norwich City,David Fox,Bradley Johnson,80,
21,Wigan Athletic,Manchester City,Franco Di Santo,Albert Crusat,68,
21,Wigan Athletic,Manchester City,Ben Watson,James McArthur,68,
21,Wigan Athletic,Manchester City,Nigel de Jong,Samir Nasri,74,
21,Wigan Athletic,Manchester City,Nedum Onuoha,David Silva,81,
21,Wigan Athletic,Manchester City,Callum McManaman,Jordi Gómez,81,
21,Wigan Athletic,Manchester City,Adam Johnson,Sergio Agüero,90,1
22,Arsenal,Manchester United,Rafael ,Phil Jones,17,
22,Arsenal,Manchester United,Nicholas Yennaris,Johan Djourou,46,
22,Arsenal,Manchester United,Andrey Arshavin,Alex Oxlade-Chamberlain,74,
22,Arsenal,Manchester United,Paul Scholes,Nani,75,
22,Arsenal,Manchester United,Park Ji-Sung,Rafael ,76,
22,Arsenal,Manchester United,Park Chu-Young,Aaron Ramsey,83,
22,Bolton Wanderers,Liverpool,Stewart Downing,Charlie Adam,64,
22,Bolton Wanderers,Liverpool,Dirk Kuyt,Maxi Rodríguez,64,
22,Bolton Wanderers,Liverpool,Kevin Davies,David Ngog,88,
22,Bolton Wanderers,Liverpool,Tuncay,Chris Eagles,90,1
22,Everton,Blackburn Rovers,Royston Drenthe,Louis Saha,54,
22,Everton,Blackburn Rovers,Mauro Formica,David Dunn,60,
22,Everton,Blackburn Rovers,Anthony Modeste,David Goodwillie,75,
22,Everton,Blackburn Rovers,Apostolos Vellios,Victor Anichebe,80,
22,Everton,Blackburn Rovers,Denis Stracqualursi,Darron Gibson,87,
22,Fulham,Newcastle United,Andrew Johnson,Steve Sidwell,37,
22,Fulham,Newcastle United,Chris Baird,Bryan Ruiz,46,
22,Fulham,Newcastle United,James Perch,Danny Guthrie,76,
22,Fulham,Newcastle United,Dan Gosling,Yohan Cabaye,83,
22,Fulham,Newcastle United,Ryan Taylor,Leon Best,86,
22,Fulham,Newcastle United,Kerim Frei,Clint Dempsey,90,1
22,Manchester City,Tottenham Hotspur,Mario Balotelli,Edin Džeko,65,
22,Manchester City,Tottenham Hotspur,Jake Livermore,Rafael van der Vaart,67,
22,Manchester City,Tottenham Hotspur,Steven Pienaar,Aaron Lennon,88,
22,Norwich City,Chelsea,Florent Malouda,Frank Lampard,37,
22,Norwich City,Chelsea,Romelu Lukaku,Fernando Torres,77,
22,Norwich City,Chelsea,Andrew Crofts,David Fox,79,
22,Norwich City,Chelsea,Michael Essien,Raul Meireles,79,
22,Norwich City,Chelsea,Simeon Jackson,Steve Morison,79,
22,Norwich City,Chelsea,Elliott Bennett,Andrew Surman,90,
22,Queens Park Rangers,Wigan Athletic,Tommy Smith,DJ Campbell,46,
22,Queens Park Rangers,Wigan Athletic,Conor Sammon,James McArthur,46,
22,Queens Park Rangers,Wigan Athletic,Albert Crusat,Jordi Gómez,61,
22,Queens Park Rangers,Wigan Athletic,Ronnie Stam,Emmerson Boyce,69,
22,Queens Park Rangers,Wigan Athletic,Shaun Derry,Ákos Buzsáky,82,
22,Stoke City,West Bromwich Albion,Jermaine Pennant,Jonathan Woodgate,52,
22,Stoke City,West Bromwich Albion,Cameron Jerome,Ryan Shotton,78,
22,Stoke City,West Bromwich Albion,Shane Long,Marc-Antoine Fortuné,83,
22,Stoke City,West Bromwich Albion,Somen Tchoyi,Simon Cox,87,
22,Stoke City,West Bromwich Albion,Andy Wilkinson,Rory Delap,88,
22,Stoke City,West Bromwich Albion,Craig Dawson,Jerome Thomas,90,2
22,Sunderland,Swansea City,Connor Wickham,Nicklas Bendtner,12,
22,Sunderland,Swansea City,Joshua McEachran,Gylfi Sigurðsson,66,
22,Sunderland,Swansea City,Craig Gardner,David Vaughan,78,
22,Sunderland,Swansea City,Wayne Routledge,Leon Britton,78,
22,Sunderland,Swansea City,Ahmed Elmohamady,Sebastian Larsson,89,
22,Wolverhampton Wanderers,Aston Villa,Stephen Warnock,Gabriel Agbonlahor,46,
22,Wolverhampton Wanderers,Aston Villa,Nenad Milijaš,Emmanuel Frimpong,56,
22,Wolverhampton Wanderers,Aston Villa,Richard Stearman,David Edwards,82,
22,Wolverhampton Wanderers,Aston Villa,Barry Bannan,Gary Gardner,87,
22,Wolverhampton Wanderers,Aston Villa,Sylvain Ebanks-Blake,Kevin Foley,90,
22,Wolverhampton Wanderers,Aston Villa,Andreas Weimann,Robbie Keane,90,
23,Aston Villa,Queens Park Rangers,Tommy Smith,Robert Hulse,54,
23,Aston Villa,Queens Park Rangers,Barry Bannan,Ciaran Clark,70,
23,Aston Villa,Queens Park Rangers,Hogan Ephraim,Shaun Derry,73,
23,Aston Villa,Queens Park Rangers,Federico Macheda,Djibril Cissé,81,
23,Blackburn Rovers,Newcastle United,James Perch,Hatem Ben Arfa,46,
23,Blackburn Rovers,Newcastle United,Mauro Formica,Radosav Petrović,66,
23,Blackburn Rovers,Newcastle United,Peter Løvenkrands,Leon Best,77,
23,Blackburn Rovers,Newcastle United,Rubén Rochina,David Dunn,78,
23,Blackburn Rovers,Newcastle United,Gabriel Obertan,Ryan Taylor,89,
23,Bolton Wanderers,Arsenal,Thierry Henry,Alex Oxlade-Chamberlain,69,
23,Bolton Wanderers,Arsenal,Kevin Davies,David Ngog,74,
23,Bolton Wanderers,Arsenal,Tomáš Rosický,Aaron Ramsey,80,
23,Bolton Wanderers,Arsenal,Tuncay,Martin Petrov,81,
23,Bolton Wanderers,Arsenal,Darren Pratley,Nigel Reo-Coker,89,
23,Everton,Manchester City,Adam Johnson,James Milner,62,
23,Everton,Manchester City,Aleksandar Kolarov,Joleon Lescott,68,
23,Everton,Manchester City,Jose Baxter,Royston Drenthe,78,
23,Everton,Manchester City,Nigel de Jong,Gareth Barry,86,
23,Everton,Manchester City,Apostolos Vellios,Denis Stracqualursi,88,
23,Fulham,West Bromwich Albion,Somen Tchoyi,Simon Cox,77,
23,Fulham,West Bromwich Albion,Steven Reid,James Morrison,88,
23,Manchester United,Stoke City,Cameron Jerome,Peter Crouch,57,
23,Manchester United,Stoke City,Paul Pogba,Javier Hernández,72,
23,Manchester United,Stoke City,Ricardo Fuller,Jonathan Walters,75,
23,Manchester United,Stoke City,Rory Delap,Wilson Palacios,75,
23,Sunderland,Norwich City,Elliott Bennett,Bradley Johnson,62,
23,Sunderland,Norwich City,Anthony Pilkington,Wes Hoolahan,62,
23,Sunderland,Norwich City,Ji Dong-Won,Fraizer Campbell,74,
23,Sunderland,Norwich City,Aaron Wilbraham,Grant Holt,78,
23,Sunderland,Norwich City,Wayne Bridge,Kieran Richardson,82,
23,Sunderland,Norwich City,David Meyler,Stéphane Sessègnon,82,
23,Swansea City,Chelsea,Michael Essien,Oriol Romeu,65,
23,Swansea City,Chelsea,Kemy Agustien,Gylfi Sigurðsson,67,
23,Swansea City,Chelsea,Luke Moore,Scott Sinclair,77,
23,Swansea City,Chelsea,Romelu Lukaku,Florent Malouda,80,
23,Tottenham Hotspur,Wigan Athletic,Jake Livermore,Rafael van der Vaart,31,
23,Tottenham Hotspur,Wigan Athletic,James McArthur,Jordi Gómez,70,
23,Tottenham Hotspur,Wigan Athletic,Conor Sammon,Franco Di Santo,74,
23,Tottenham Hotspur,Wigan Athletic,Sandro,Kyle Walker,75,
23,Tottenham Hotspur,Wigan Athletic,Cameron Lancaster,Emmanuel Adebayor,78,
23,Tottenham Hotspur,Wigan Athletic,Albert Crusat,Ben Watson,87,
23,Wolverhampton Wanderers,Liverpool,Sylvain Ebanks-Blake,Eggert Gunnþór Jónsson,62,
23,Wolverhampton Wanderers,Liverpool,Stephen Hunt,Michael Kightly,62,
23,Wolverhampton Wanderers,Liverpool,Jonjo Shelvey,Charlie Adam,81,
23,Wolverhampton Wanderers,Liverpool,Jamie Carragher,Daniel Agger,81,
23,Wolverhampton Wanderers,Liverpool,Nenad Milijaš,Emmanuel Frimpong,84,
23,Wolverhampton Wanderers,Liverpool,Fábio Aurélio,Dirk Kuyt,90,
24,Arsenal,Blackburn Rovers,Bradley Orr,Jason Lowe,36,
24,Arsenal,Blackburn Rovers,Grant Hanley,David Dunn,45,
24,Arsenal,Blackburn Rovers,Thierry Henry,Alex Oxlade-Chamberlain,68,
24,Arsenal,Blackburn Rovers,Bacary Sagna,Laurent Koscielny,68,
24,Arsenal,Blackburn Rovers,Yossi Benayoun,Alexandre Song,72,
24,Chelsea,Manchester United,Javier Hernández,Ashley Young,54,
