Matchday,Home Team,Away Team,Penalty Taker,Foul,Outcome,Time,Stoppage
27,Newcastle United,Sunderland,Demba Ba,Reckless challenge,Save,82,
28,Manchester United,West Bromwich Albion,Wayne Rooney,Reckless challenge,Goal,71,
28,Swansea City,Manchester City,Scott Sinclair,Reckless challenge,Save,7,
29,Aston Villa,Bolton Wanderers,Martin Petrov,Reckless challenge,Goal,62,
29,Manchester City,Chelsea,Sergio Agüero,Handball,Goal,78,
30,Liverpool,Wigan Athletic,Shaun Maloney,Reckless challenge,Goal,30,
30,Norwich City,Wolverhampton Wanderers,Grant Holt,Handball,Goal,45,1
31,Manchester City,Sunderland,Mario Balotelli,Reckless challenge,Goal,43,
31,Wolverhampton Wanderers,Bolton Wanderers,Martin Petrov,Reckless challenge,Goal,63,
32,Manchester United,Queens Park Rangers,Wayne Rooney,Professional foul,Goal,15,
33,Blackburn Rovers,Liverpool,Yakubu,Professional foul,Save,27,
33,Blackburn Rovers,Liverpool,Yakubu,Reckless challenge,Goal,61,
33,Fulham,Chelsea,Frank Lampard,Reckless challenge,Goal,45,
33,Wolverhampton Wanderers,Arsenal,Robin van Persie,Reckless challenge,Goal,9,
34,Manchester United,Aston Villa,Wayne Rooney,Reckless challenge,Goal,7,
36,Everton,Fulham,Nikica Jelavić,Handball,Goal,4,
37,Aston Villa,Tottenham Hotspur,Emmanuel Adebayor,Reckless challenge,Goal,61,
37,Bolton Wanderers,West Bromwich Albion,Martin Petrov,Reckless challenge,Goal,24,
37,Liverpool,Chelsea,Stewart Downing,Reckless challenge,Hit post,45,2
38,Stoke City,Bolton Wanderers,Jonathan Walters,Reckless challenge,Goal,77,
