Matchday,Home Team,Away Team,Team,Player,Event,Bodypart,Time,Stoppage
3,Manchester United,Arsenal,Manchester United,Park Ji-Sung,Shot outside penalty area,Right foot,70,
3,Manchester United,Arsenal,Arsenal,Robin van Persie,Shot inside goal area,Left foot,74,
3,Manchester United,Arsenal,Manchester United,Ashley Young,Shot outside penalty area,Right foot,90,1
3,Newcastle United,Fulham,Newcastle United,Leon Best,Shot following rebound,Right foot,48,
3,Newcastle United,Fulham,Newcastle United,Leon Best,Shot inside penalty area,Right foot,66,
3,Newcastle United,Fulham,Fulham,Clint Dempsey,Cross from free kick,Head,88,
3,Tottenham Hotspur,Manchester City,Manchester City,Edin Džeko,Cross from open play,Right foot,34,
3,Tottenham Hotspur,Manchester City,Manchester City,Edin Džeko,Cross from open play,Head,41,
3,Tottenham Hotspur,Manchester City,Manchester City,Edin Džeko,Shot inside goal area,Left foot,55,
3,Tottenham Hotspur,Manchester City,Manchester City,Sergio Agüero,Shot inside penalty area,Left foot,60,
3,Tottenham Hotspur,Manchester City,Tottenham Hotspur,Younes Kaboul,Cross from corner kick,Head,68,
3,Tottenham Hotspur,Manchester City,Manchester City,Edin Džeko,Shot outside penalty area,Left foot,90,3
3,West Bromwich Albion,Stoke City,Stoke City,Ryan Shotton,Shot inside goal area,Right foot,89,
3,Wigan Athletic,Queens Park Rangers,Wigan Athletic,Franco Di Santo,Shot outside penalty area,Right foot,41,
3,Wigan Athletic,Queens Park Rangers,Wigan Athletic,Franco Di Santo,Cross from open play,Right foot,66,
4,Arsenal,Swansea City,Arsenal,Andrey Arshavin,Shot inside penalty area,Left foot,40,
4,Bolton Wanderers,Manchester United,Manchester United,Javier Hernández,Cross from open play,Right foot,5,
4,Bolton Wanderers,Manchester United,Manchester United,Wayne Rooney,Cross from open play,Right foot,20,
4,Bolton Wanderers,Manchester United,Manchester United,Wayne Rooney,Cross from open play,Right foot,25,
4,Bolton Wanderers,Manchester United,Manchester United,Javier Hernández,Shot inside goal area,Right foot,58,
4,Bolton Wanderers,Manchester United,Manchester United,Wayne Rooney,Shot outside penalty area,Right foot,68,
4,Everton,Aston Villa,Everton,Leon Osman,Shot inside penalty area,Left foot,19,
4,Everton,Aston Villa,Aston Villa,Stiliyan Petrov,Shot outside penalty area,Right foot,63,
4,Everton,Aston Villa,Aston Villa,Gabriel Agbonlahor,Cross from open play,Head,83,
4,Fulham,Blackburn Rovers,Blackburn Rovers,Rubén Rochina,Shot outside penalty area,Left foot,32,
4,Fulham,Blackburn Rovers,Fulham,Bobby Zamora,Shot inside penalty area,Left foot,38,
4,Manchester City,Wigan Athletic,Manchester City,Sergio Agüero,Shot inside penalty area,Right foot,13,
4,Manchester City,Wigan Athletic,Manchester City,Sergio Agüero,Shot outside penalty area,Right foot,63,
4,Manchester City,Wigan Athletic,Manchester City,Sergio Agüero,Shot outside penalty area,Right foot,69,
4,Norwich City,West Bromwich Albion,West Bromwich Albion,Peter Odemwingie,Through pass creates 1-v-1,Foot,3,
4,Sunderland,Chelsea,Chelsea,John Terry,Shot inside goal area,Left foot,18,
4,Sunderland,Chelsea,Chelsea,Daniel Sturridge,Shot inside penalty area,Right foot,51,
4,Sunderland,Chelsea,Sunderland,Ji Dong-Won,Shot inside penalty area,Left foot,90,1
4,Wolverhampton Wanderers,Tottenham Hotspur,Tottenham Hotspur,Emmanuel Adebayor,Shot inside goal area,Right foot,67,
4,Wolverhampton Wanderers,Tottenham Hotspur,Tottenham Hotspur,Jermain Defoe,Shot inside goal area,Right foot,80,
5,Aston Villa,Newcastle United,Aston Villa,Gabriel Agbonlahor,Cross from open play,Left foot,13,
5,Aston Villa,Newcastle United,Newcastle United,Leon Best,Cross from open play,Right foot,57,
5,Blackburn Rovers,Arsenal,Arsenal,Gervinho,Shot inside penalty area,Right foot,10,
5,Blackburn Rovers,Arsenal,Blackburn Rovers,Yakubu,Shot inside penalty area,Right foot,25,
5,Blackburn Rovers,Arsenal,Arsenal,Mikel Arteta,Shot outside penalty area,Right foot,34,
5,Blackburn Rovers,Arsenal,Blackburn Rovers,Alexandre Song,Cross from free kick,Unknown,50,
5,Blackburn Rovers,Arsenal,Blackburn Rovers,Yakubu,Cross from open play,Foot,59,
5,Blackburn Rovers,Arsenal,Blackburn Rovers,Laurent Koscielny,Cross from open play,Unknown,69,
5,Blackburn Rovers,Arsenal,Arsenal,Marouane Chamakh,Cross from open play,Head,85,
5,Bolton Wanderers,Norwich City,Norwich City,Anthony Pilkington,Shot inside goal area,Left foot,37,
5,Bolton Wanderers,Norwich City,Norwich City,Bradley Johnson,Cross from free kick,Head,42,
5,Everton,Wigan Athletic,Wigan Athletic,Franco Di Santo,Cross from corner kick,Right foot,31,
5,Everton,Wigan Athletic,Everton,Phil Jagielka,Flick on from corner kick,Head,33,
5,Everton,Wigan Athletic,Everton,Apostolos Vellios,Cross from open play,Head,84,
5,Everton,Wigan Athletic,Everton,Royston Drenthe,Shot inside penalty area,Left foot,90,8
5,Fulham,Manchester City,Manchester City,Sergio Agüero,Shot inside penalty area,Right foot,18,
5,Fulham,Manchester City,Manchester City,Sergio Agüero,Shot outside penalty area,Right foot,46,
5,Fulham,Manchester City,Fulham,Bobby Zamora,Shot outside penalty area,Right foot,55,
5,Fulham,Manchester City,Fulham,Danny Murphy,Shot outside penalty area,Right foot,75,
5,Manchester United,Chelsea,Manchester United,Chris Smalling,Cross from free kick,Head,8,
5,Manchester United,Chelsea,Manchester United,Nani,Shot outside penalty area,Right foot,37,
5,Manchester United,Chelsea,Manchester United,Wayne Rooney,Shot inside goal area,Right foot,45,
5,Manchester United,Chelsea,Chelsea,Fernando Torres,Shot inside goal area,Right foot,46,
5,Sunderland,Stoke City,Sunderland,Titus Bramble,Shot inside penalty area,Right foot,5,
5,Sunderland,Stoke City,Sunderland,Jonathan Woodgate,Cross from open play,Unknown,11,
5,Sunderland,Stoke City,Sunderland,Craig Gardner,Shot outside penalty area,Left foot,28,
5,Sunderland,Stoke City,Sunderland,Sebastian Larsson,Direct from free kick,Foot,58,
5,Swansea City,West Bromwich Albion,Swansea City,Leroy Lita,Flick on from corner kick,Head,24,
5,Swansea City,West Bromwich Albion,Swansea City,Nathan Dyer,Shot inside penalty area,Right foot,49,
5,Tottenham Hotspur,Liverpool,Tottenham Hotspur,Luka Modrić,Shot outside penalty area,Right foot,7,
5,Tottenham Hotspur,Liverpool,Tottenham Hotspur,Jermain Defoe,Shot inside penalty area,Right foot,66,
5,Tottenham Hotspur,Liverpool,Tottenham Hotspur,Emmanuel Adebayor,Shot following rebound,Right foot,68,
5,Tottenham Hotspur,Liverpool,Tottenham Hotspur,Emmanuel Adebayor,Cross from open play,Right foot,90,3
5,Wolverhampton Wanderers,Queens Park Rangers,Queens Park Rangers,Joey Barton,Shot inside penalty area,Right foot,8,
5,Wolverhampton Wanderers,Queens Park Rangers,Queens Park Rangers,Alejandro Faurlín,Shot outside penalty area,Right foot,10,
5,Wolverhampton Wanderers,Queens Park Rangers,Queens Park Rangers,DJ Campbell,Shot inside penalty area,Right foot,87,
6,Arsenal,Bolton Wanderers,Arsenal,Robin van Persie,Shot inside penalty area,Left foot,46,
6,Arsenal,Bolton Wanderers,Arsenal,Robin van Persie,Cross from open play,Left foot,71,
6,Arsenal,Bolton Wanderers,Arsenal,Alexandre Song,Shot inside penalty area,Right foot,89,
6,Chelsea,Swansea City,Chelsea,Fernando Torres,Shot inside goal area,Right foot,29,
6,Chelsea,Swansea City,Chelsea,Ramires,Shot inside penalty area,Right foot,36,
6,Chelsea,Swansea City,Chelsea,Ramires,Shot inside goal area,Right foot,76,
6,Chelsea,Swansea City,Swansea City,Ashley Williams,Cross from free kick,Head,86,
6,Chelsea,Swansea City,Chelsea,Didier Drogba,Shot inside goal area,Right foot,90,4
6,Liverpool,Wolverhampton Wanderers,Liverpool,Roger Johnson,Deflected shot,Head,11,
6,Liverpool,Wolverhampton Wanderers,Liverpool,Luis Suárez,Shot inside penalty area,Left foot,38,
6,Liverpool,Wolverhampton Wanderers,Wolverhampton Wanderers,Steven Fletcher,Shot inside goal area,Right foot,49,
6,Manchester City,Everton,Manchester City,Mario Balotelli,Shot inside penalty area,Right foot,68,
6,Manchester City,Everton,Manchester City,James Milner,Shot inside penalty area,Right foot,89,
6,Newcastle United,Blackburn Rovers,Newcastle United,Demba Ba,Cross from open play,Right foot,27,
6,Newcastle United,Blackburn Rovers,Newcastle United,Demba Ba,Shot inside goal area,Head,30,
6,Newcastle United,Blackburn Rovers,Blackburn Rovers,Junior Hoilett,Cross from open play,Head,37,
6,Newcastle United,Blackburn Rovers,Newcastle United,Demba Ba,Cross from open play,Head,54,
6,Norwich City,Sunderland,Norwich City,Leon Barnett,Cross from open play,Right foot,31,
6,Norwich City,Sunderland,Norwich City,Steve Morison,Cross from open play,Head,48,
6,Norwich City,Sunderland,Sunderland,Kieran Richardson,Shot outside penalty area,Left foot,86,
6,Queens Park Rangers,Aston Villa,Queens Park Rangers,Richard Dunne,Cross from open play,Unknown,90,3
6,Stoke City,Manchester United,Manchester United,Nani,Shot inside penalty area,Left foot,27,
6,Stoke City,Manchester United,Stoke City,Peter Crouch,Cross from corner kick,Head,52,
6,Wigan Athletic,Tottenham Hotspur,Tottenham Hotspur,Rafael van der Vaart,Shot outside penalty area,Left foot,3,
6,Wigan Athletic,Tottenham Hotspur,Tottenham Hotspur,Gareth Bale,Cross from corner kick,Head,23,
6,Wigan Athletic,Tottenham Hotspur,Wigan Athletic,Mohamed Diamé,Shot outside penalty area,Right foot,50,
7,Aston Villa,Wigan Athletic,Aston Villa,Gabriel Agbonlahor,Shot outside penalty area,Right foot,36,
7,Aston Villa,Wigan Athletic,Aston Villa,Darren Bent,Cross from open play,Right foot,62,
7,Blackburn Rovers,Manchester City,Manchester City,Adam Johnson,Shot outside penalty area,Left foot,56,
7,Blackburn Rovers,Manchester City,Manchester City,Mario Balotelli,Cross from open play,Right foot,59,
7,Blackburn Rovers,Manchester City,Manchester City,Samir Nasri,Shot outside penalty area,Right foot,73,
7,Blackburn Rovers,Manchester City,Manchester City,Stefan Savić,Cross from corner kick,Head,87,
7,Bolton Wanderers,Chelsea,Chelsea,Daniel Sturridge,Cross from corner kick,Head,2,
7,Bolton Wanderers,Chelsea,Chelsea,Frank Lampard,Shot inside penalty area,Foot,15,
7,Bolton Wanderers,Chelsea,Chelsea,Daniel Sturridge,Shot outside penalty area,Foot,25,
7,Bolton Wanderers,Chelsea,Chelsea,Frank Lampard,Shot inside penalty area,Foot,27,
7,Bolton Wanderers,Chelsea,Bolton Wanderers,Dedryck Boyata,Shot inside goal area,Head,46,
7,Bolton Wanderers,Chelsea,Chelsea,Frank Lampard,Shot inside penalty area,Foot,59,
7,Everton,Liverpool,Liverpool,Andy Carroll,Cross from open play,Left foot,71,
7,Everton,Liverpool,Liverpool,Luis Suárez,Shot inside goal area,Left foot,82,
7,Fulham,Queens Park Rangers,Fulham,Andrew Johnson,Shot following rebound,Right foot,2,
7,Fulham,Queens Park Rangers,Fulham,Andrew Johnson,Shot inside goal area,Right foot,38,
7,Fulham,Queens Park Rangers,Fulham,Andrew Johnson,Cross from free kick,Right foot,59,
7,Fulham,Queens Park Rangers,Fulham,Clint Dempsey,Shot inside penalty area,Right foot,65,
7,Fulham,Queens Park Rangers,Fulham,Bobby Zamora,Shot inside penalty area,Right foot,74,
7,Manchester United,Norwich City,Manchester United,Anderson,Flick on from corner kick,Head,68,
7,Manchester United,Norwich City,Manchester United,Danny Welbeck,Shot inside penalty area,Left foot,87,
7,Sunderland,West Bromwich Albion,West Bromwich Albion,James Morrison,Cross from free kick,Head,4,
7,Sunderland,West Bromwich Albion,West Bromwich Albion,Shane Long,Shot following defensive giveaway,Right foot,5,
7,Sunderland,West Bromwich Albion,Sunderland,Nicklas Bendtner,Deflected shot,Foot,24,
7,Sunderland,West Bromwich Albion,Sunderland,Ahmed Elmohamady,Cross from open play,Head,26,
7,Swansea City,Stoke City,Swansea City,Danny Graham,Shot outside penalty area,Right foot,85,
7,Tottenham Hotspur,Arsenal,Tottenham Hotspur,Rafael van der Vaart,Shot inside penalty area,Foot,40,
7,Tottenham Hotspur,Arsenal,Arsenal,Aaron Ramsey,Shot inside goal area,Foot,51,
7,Tottenham Hotspur,Arsenal,Tottenham Hotspur,Kyle Walker,Shot outside penalty area,Right foot,73,
7,Wolverhampton Wanderers,Newcastle United,Newcastle United,Demba Ba,Cross from corner kick,Head,17,
7,Wolverhampton Wanderers,Newcastle United,Newcastle United,Jonás Gutiérrez,Shot inside goal area,Left foot,38,
7,Wolverhampton Wanderers,Newcastle United,Wolverhampton Wanderers,Steven Fletcher,Cross from open play,Head,88,
8,Arsenal,Sunderland,Arsenal,Robin van Persie,Shot inside penalty area,Right foot,1,
8,Arsenal,Sunderland,Sunderland,Sebastian Larsson,Direct from free kick,Right foot,31,
8,Arsenal,Sunderland,Arsenal,Robin van Persie,Direct from free kick,Left foot,82,
8,Chelsea,Everton,Chelsea,Daniel Sturridge,Cross from open play,Head,31,
8,Chelsea,Everton,Chelsea,John Terry,Cross from free kick,Head,45,2
8,Chelsea,Everton,Chelsea,Ramires,Cross from open play,Right foot,61,
8,Chelsea,Everton,Everton,Apostolos Vellios,Cross from open play,Right foot,81,
8,Liverpool,Manchester United,Liverpool,Steven Gerrard,Direct from free kick,Right foot,68,
8,Liverpool,Manchester United,Manchester United,Javier Hernández,Flick on from corner kick,Head,81,
8,Manchester City,Aston Villa,Manchester City,Mario Balotelli,Flick on from corner kick,Right foot,28,
8,Manchester City,Aston Villa,Manchester City,Adam Johnson,Shot inside penalty area,Left foot,47,
8,Manchester City,Aston Villa,Manchester City,Vincent Kompany,Cross from corner kick,Head,52,
8,Manchester City,Aston Villa,Aston Villa,Stephen Warnock,Shot inside penalty area,Left foot,65,
8,Manchester City,Aston Villa,Manchester City,James Milner,Shot outside penalty area,Right foot,71,
8,Newcastle United,Tottenham Hotspur,Newcastle United,Demba Ba,Cross from open play,Right foot,48,
8,Newcastle United,Tottenham Hotspur,Tottenham Hotspur,Jermain Defoe,Shot outside penalty area,Left foot,68,
8,Newcastle United,Tottenham Hotspur,Newcastle United,Shola Ameobi,Shot outside penalty area,Left foot,86,
8,Norwich City,Swansea City,Norwich City,Anthony Pilkington,Shot inside penalty area,Left foot,1,
8,Norwich City,Swansea City,Norwich City,Russell Martin,Cross from free kick,Head,10,
8,Norwich City,Swansea City,Swansea City,Danny Graham,Shot inside goal area,Left foot,12,
8,Norwich City,Swansea City,Norwich City,Anthony Pilkington,Shot inside penalty area,Right foot,63,
8,Queens Park Rangers,Blackburn Rovers,Queens Park Rangers,Heiðar Helguson,Shot inside penalty area,Right foot,16,
8,Queens Park Rangers,Blackburn Rovers,Blackburn Rovers,Christopher Samba,Cross from corner kick,Head,24,
8,Stoke City,Fulham,Stoke City,Jonathan Walters,Shot inside goal area,Right foot,80,
8,Stoke City,Fulham,Stoke City,Rory Delap,Cross from free kick,Head,87,
8,West Bromwich Albion,Wolverhampton Wanderers,West Bromwich Albion,Chris Brunt,Shot inside penalty area,Left foot,8,
8,West Bromwich Albion,Wolverhampton Wanderers,West Bromwich Albion,Peter Odemwingie,Shot outside penalty area,Left foot,75,
8,Wigan Athletic,Bolton Wanderers,Bolton Wanderers,Nigel Reo-Coker,Cross from open play,Foot,4,
8,Wigan Athletic,Bolton Wanderers,Wigan Athletic,Mohamed Diamé,Shot outside penalty area,Right foot,40,
8,Wigan Athletic,Bolton Wanderers,Bolton Wanderers,David Ngog,Shot inside penalty area,Left foot,45,3
8,Wigan Athletic,Bolton Wanderers,Bolton Wanderers,Chris Eagles,Shot inside penalty area,Right foot,90,2
9,Arsenal,Stoke City,Arsenal,Gervinho,Shot inside goal area,Left foot,27,
9,Arsenal,Stoke City,Stoke City,Peter Crouch,Shot inside goal area,Right foot,34,
9,Arsenal,Stoke City,Arsenal,Robin van Persie,Cross from open play,Left foot,73,
9,Arsenal,Stoke City,Arsenal,Robin van Persie,Cross from open play,Right foot,82,
9,Aston Villa,West Bromwich Albion,West Bromwich Albion,Jonas Olsson,Cross from corner kick,Head,45,
9,Aston Villa,West Bromwich Albion,West Bromwich Albion,Paul Scharner,Cross from corner kick,Left foot,57,
9,Blackburn Rovers,Tottenham Hotspur,Tottenham Hotspur,Rafael van der Vaart,Shot inside penalty area,Left foot,15,
9,Blackburn Rovers,Tottenham Hotspur,Blackburn Rovers,Mauro Formica,Shot inside penalty area,Right foot,28,
9,Blackburn Rovers,Tottenham Hotspur,Tottenham Hotspur,Rafael van der Vaart,Shot outside penalty area,Left foot,53,
9,Bolton Wanderers,Sunderland,Sunderland,Stéphane Sessègnon,Shot inside penalty area,Right foot,82,
9,Bolton Wanderers,Sunderland,Sunderland,Nicklas Bendtner,Shot inside penalty area,Right foot,90,3
9,Fulham,Everton,Everton,Royston Drenthe,Shot outside penalty area,Right foot,3,
9,Fulham,Everton,Fulham,Bryan Ruiz,Shot inside penalty area,Left foot,68,
9,Fulham,Everton,Everton,Jack Rodwell,Cross from open play,Right foot,90,3
9,Fulham,Everton,Everton,Louis Saha,Shot inside goal area,Right foot,90,
9,Liverpool,Norwich City,Liverpool,Craig Bellamy,Shot inside penalty area,Right foot,45,
9,Liverpool,Norwich City,Norwich City,Grant Holt,Cross from open play,Head,60,
9,Manchester United,Manchester City,Manchester City,Mario Balotelli,Shot inside penalty area,Right foot,22,
9,Manchester United,Manchester City,Manchester City,Mario Balotelli,Cross from open play,Right foot,60,
9,Manchester United,Manchester City,Manchester City,Sergio Agüero,Cross from open play,Right foot,69,
9,Manchester United,Manchester City,Manchester United,Darren Fletcher,Shot outside penalty area,Right foot,81,
9,Manchester United,Manchester City,Manchester City,Edin Džeko,Flick on from corner kick,Left foot,89,
9,Manchester United,Manchester City,Manchester City,David Silva,Shot inside goal area,Left foot,90,1
9,Manchester United,Manchester City,Manchester City,Edin Džeko,Shot outside penalty area,Left foot,90,3
9,Newcastle United,Wigan Athletic,Newcastle United,Yohan Cabaye,Shot inside penalty area,Right foot,81,
9,Wolverhampton Wanderers,Swansea City,Swansea City,Danny Graham,Shot inside goal area,Right foot,24,
