Matchday,Home Team,Away Team,Team,Player,Event,Bodypart,Time,Stoppage
11,Aston Villa,Norwich City,Aston Villa,Darren Bent,Shot inside goal area,Right foot,30,
11,Aston Villa,Norwich City,Aston Villa,Gabriel Agbonlahor,Shot inside penalty area,Left foot,48,
11,Aston Villa,Norwich City,Aston Villa,Darren Bent,Cross from open play,Left foot,62,
11,Aston Villa,Norwich City,Norwich City,Steve Morison,Cross from open play,Head,77,
11,Blackburn Rovers,Chelsea,Chelsea,Frank Lampard,Cross from open play,Head,51,
11,Bolton Wanderers,Stoke City,Bolton Wanderers,Kevin Davies,Cross from free kick,Right foot,2,
11,Bolton Wanderers,Stoke City,Bolton Wanderers,Chris Eagles,Shot outside penalty area,Left foot,23,
11,Bolton Wanderers,Stoke City,Bolton Wanderers,Ivan Klasnić,Shot outside penalty area,Left foot,61,
11,Bolton Wanderers,Stoke City,Bolton Wanderers,Chris Eagles,Shot inside penalty area,Right foot,73,
11,Bolton Wanderers,Stoke City,Bolton Wanderers,Ivan Klasnić,Flick on from corner kick,Head,82,
11,Fulham,Tottenham Hotspur,Tottenham Hotspur,Gareth Bale,Shot following rebound,Left foot,10,
11,Fulham,Tottenham Hotspur,Tottenham Hotspur,Aaron Lennon,Shot inside goal area,Left foot,45,1
11,Fulham,Tottenham Hotspur,Fulham,Younes Kaboul,Cross from corner kick,Other,57,
11,Fulham,Tottenham Hotspur,Tottenham Hotspur,Jermain Defoe,Cross from open play,Right foot,90,5
11,Manchester United,Sunderland,Manchester United,Wes Brown,Cross from corner kick,Head,45,1
11,Newcastle United,Everton,Newcastle United,Johnny Heitinga,Cross from open play,Left foot,12,
11,Newcastle United,Everton,Newcastle United,Ryan Taylor,Shot outside penalty area,Right foot,29,
11,Newcastle United,Everton,Everton,Jack Rodwell,Cross from corner kick,Head,45,2
11,Queens Park Rangers,Manchester City,Queens Park Rangers,Jay Bothroyd,Cross from free kick,Head,28,
11,Queens Park Rangers,Manchester City,Manchester City,Edin Džeko,Shot inside penalty area,Right foot,43,
11,Queens Park Rangers,Manchester City,Manchester City,David Silva,Shot inside goal area,Left foot,52,
11,Queens Park Rangers,Manchester City,Queens Park Rangers,Heiðar Helguson,Shot following rebound,Foot,69,
11,Queens Park Rangers,Manchester City,Manchester City,Yaya Touré,Cross from open play,Head,74,
11,Wolverhampton Wanderers,Wigan Athletic,Wolverhampton Wanderers,Jamie O'Hara,Through pass creates 1-v-1,Left foot,31,
11,Wolverhampton Wanderers,Wigan Athletic,Wigan Athletic,Ben Watson,Shot following rebound,Foot,42,
11,Wolverhampton Wanderers,Wigan Athletic,Wolverhampton Wanderers,David Edwards,Shot following rebound,Right foot,55,
11,Wolverhampton Wanderers,Wigan Athletic,Wolverhampton Wanderers,Stephen Ward,Deflected shot,Left foot,66,
12,Chelsea,Liverpool,Liverpool,Maxi Rodríguez,Shot inside goal area,Right foot,33,
12,Chelsea,Liverpool,Chelsea,Daniel Sturridge,Shot following rebound,Right foot,55,
12,Chelsea,Liverpool,Liverpool,Glen Johnson,Shot inside goal area,Left foot,87,
12,Everton,Wolverhampton Wanderers,Everton,Phil Jagielka,Cross from free kick,Head,44,
12,Manchester City,Newcastle United,Manchester City,Micah Richards,Shot inside penalty area,Left foot,44,
12,Manchester City,Newcastle United,Newcastle United,Dan Gosling,Shot inside penalty area,Right foot,89,
12,Norwich City,Arsenal,Norwich City,Steve Morison,Shot inside penalty area,Left foot,16,
12,Norwich City,Arsenal,Arsenal,Robin van Persie,Cross from open play,Right foot,26,
12,Norwich City,Arsenal,Arsenal,Robin van Persie,Through pass creates 1-v-1,Right foot,59,
12,Stoke City,Queens Park Rangers,Stoke City,Jonathan Walters,Shot inside penalty area,Right foot,8,
12,Stoke City,Queens Park Rangers,Queens Park Rangers,Heiðar Helguson,Cross from open play,Head,22,
12,Stoke City,Queens Park Rangers,Queens Park Rangers,Luke Young,Shot inside penalty area,Right foot,44,
12,Stoke City,Queens Park Rangers,Queens Park Rangers,Heiðar Helguson,Cross from open play,Left foot,54,
12,Stoke City,Queens Park Rangers,Stoke City,Ryan Shawcross,Cross from corner kick,Head,64,
12,Swansea City,Manchester United,Manchester United,Javier Hernández,Cross from open play,Right foot,11,
12,Tottenham Hotspur,Aston Villa,Tottenham Hotspur,Emmanuel Adebayor,Flick on from corner kick,Foot,14,
12,Tottenham Hotspur,Aston Villa,Tottenham Hotspur,Emmanuel Adebayor,Shot inside goal area,Foot,40,
12,West Bromwich Albion,Bolton Wanderers,West Bromwich Albion,Jerome Thomas,Shot inside goal area,Right foot,16,
12,West Bromwich Albion,Bolton Wanderers,West Bromwich Albion,Shane Long,Cross from open play,Head,56,
12,Wigan Athletic,Blackburn Rovers,Blackburn Rovers,Yakubu,Shot inside penalty area,Right foot,2,
12,Wigan Athletic,Blackburn Rovers,Wigan Athletic,Jordi Gómez,Shot outside penalty area,Left foot,7,
12,Wigan Athletic,Blackburn Rovers,Wigan Athletic,Gary Caldwell,Cross from corner kick,Head,31,
12,Wigan Athletic,Blackburn Rovers,Blackburn Rovers,Junior Hoilett,Cross from open play,Head,59,
12,Wigan Athletic,Blackburn Rovers,Wigan Athletic,Albert Crusat,Shot outside penalty area,Left foot,88,
13,Arsenal,Fulham,Fulham,Thomas Vermaelen,Deflected shot,Unknown,65,
13,Arsenal,Fulham,Arsenal,Thomas Vermaelen,Cross from open play,Head,82,
13,Bolton Wanderers,Everton,Everton,Marouane Fellaini,Shot inside goal area,Foot,49,
13,Bolton Wanderers,Everton,Everton,Apostolos Vellios,Shot inside goal area,Foot,78,
13,Chelsea,Wolverhampton Wanderers,Chelsea,John Terry,Cross from corner kick,Head,7,
13,Chelsea,Wolverhampton Wanderers,Chelsea,Daniel Sturridge,Cross from open play,Foot,30,
13,Chelsea,Wolverhampton Wanderers,Chelsea,Juan Mata,Shot inside goal area,Foot,45,
13,Liverpool,Manchester City,Manchester City,Vincent Kompany,Cross from corner kick,Head,31,
13,Liverpool,Manchester City,Liverpool,Joleon Lescott,Deflected shot,Unknown,33,
13,Manchester United,Newcastle United,Manchester United,Javier Hernández,Shot inside goal area,Unknown,49,
13,Norwich City,Queens Park Rangers,Norwich City,Russell Martin,Cross from corner kick,Foot,15,
13,Norwich City,Queens Park Rangers,Queens Park Rangers,Luke Young,Shot following rebound,Foot,59,
13,Norwich City,Queens Park Rangers,Norwich City,Grant Holt,Cross from open play,Foot,73,
13,Stoke City,Blackburn Rovers,Stoke City,Rory Delap,Shot inside goal area,Head,28,
13,Stoke City,Blackburn Rovers,Stoke City,Glenn Whelan,Shot outside penalty area,Foot,58,
13,Stoke City,Blackburn Rovers,Stoke City,Peter Crouch,Shot inside penalty area,Foot,72,
13,Stoke City,Blackburn Rovers,Blackburn Rovers,Rubén Rochina,Shot inside penalty area,Foot,86,
13,Sunderland,Wigan Athletic,Sunderland,Sebastian Larsson,Shot following rebound,Foot,8,
13,Sunderland,Wigan Athletic,Wigan Athletic,Franco Di Santo,Shot inside goal area,Foot,90,3
13,West Bromwich Albion,Tottenham Hotspur,West Bromwich Albion,Youssouf Mulumbu,Cross from open play,Head,10,
13,West Bromwich Albion,Tottenham Hotspur,Tottenham Hotspur,Emmanuel Adebayor,Shot following rebound,Foot,26,
13,West Bromwich Albion,Tottenham Hotspur,Tottenham Hotspur,Jermain Defoe,Through pass creates 1-v-1,Foot,81,
13,West Bromwich Albion,Tottenham Hotspur,Tottenham Hotspur,Emmanuel Adebayor,Shot inside penalty area,Foot,90,3
14,Aston Villa,Manchester United,Manchester United,Phil Jones,Cross from open play,Right foot,20,
14,Blackburn Rovers,Swansea City,Blackburn Rovers,Yakubu,Shot outside penalty area,Left foot,20,
14,Blackburn Rovers,Swansea City,Swansea City,Leroy Lita,Cross from open play,Head,35,
14,Blackburn Rovers,Swansea City,Blackburn Rovers,Yakubu,Shot following rebound,Head,45,2
14,Blackburn Rovers,Swansea City,Blackburn Rovers,Yakubu,Shot inside goal area,Head,57,
14,Blackburn Rovers,Swansea City,Swansea City,Luke Moore,Cross from open play,Right foot,66,
14,Everton,Stoke City,Stoke City,Robert Huth,Shot following rebound,Left foot,14,
14,Fulham,Liverpool,Fulham,Clint Dempsey,Shot following rebound,Left foot,85,
14,Manchester City,Norwich City,Manchester City,Sergio Agüero,Shot inside penalty area,Right foot,32,
14,Manchester City,Norwich City,Manchester City,Samir Nasri,Direct from free kick,Right foot,51,
14,Manchester City,Norwich City,Manchester City,Yaya Touré,Shot inside penalty area,Right foot,68,
14,Manchester City,Norwich City,Norwich City,Steve Morison,Cross from open play,Head,81,
14,Manchester City,Norwich City,Manchester City,Mario Balotelli,Shot inside goal area,Other,88,
14,Manchester City,Norwich City,Manchester City,Adam Johnson,Shot inside penalty area,Left foot,90,1
14,Newcastle United,Chelsea,Chelsea,Didier Drogba,Cross from open play,Head,38,
14,Newcastle United,Chelsea,Chelsea,Salomon Kalou,Shot inside penalty area,Right foot,89,
14,Newcastle United,Chelsea,Chelsea,Daniel Sturridge,Shot outside penalty area,Left foot,90,2
14,Queens Park Rangers,West Bromwich Albion,Queens Park Rangers,Heiðar Helguson,Cross from open play,Head,20,
14,Queens Park Rangers,West Bromwich Albion,West Bromwich Albion,Shane Long,Cross from open play,Right foot,81,
14,Tottenham Hotspur,Bolton Wanderers,Tottenham Hotspur,Gareth Bale,Cross from corner kick,Left foot,7,
14,Tottenham Hotspur,Bolton Wanderers,Tottenham Hotspur,Aaron Lennon,Shot inside penalty area,Right foot,50,
14,Tottenham Hotspur,Bolton Wanderers,Tottenham Hotspur,Jermain Defoe,Flick on from corner kick,Right foot,60,
14,Wigan Athletic,Arsenal,Arsenal,Mikel Arteta,Shot outside penalty area,Right foot,28,
14,Wigan Athletic,Arsenal,Arsenal,Thomas Vermaelen,Cross from open play,Head,29,
14,Wigan Athletic,Arsenal,Arsenal,Gervinho,Shot following rebound,Right foot,61,
14,Wigan Athletic,Arsenal,Arsenal,Robin van Persie,Shot inside penalty area,Right foot,78,
14,Wolverhampton Wanderers,Sunderland,Sunderland,Kieran Richardson,Shot inside penalty area,Left foot,52,
14,Wolverhampton Wanderers,Sunderland,Wolverhampton Wanderers,Steven Fletcher,Cross from open play,Head,73,
14,Wolverhampton Wanderers,Sunderland,Wolverhampton Wanderers,Steven Fletcher,Shot inside penalty area,Left foot,81,
15,Arsenal,Everton,Arsenal,Robin van Persie,Shot inside penalty area,Left foot,70,
15,Bolton Wanderers,Aston Villa,Aston Villa,Marc Albrighton,Shot inside goal area,Left foot,33,
15,Bolton Wanderers,Aston Villa,Aston Villa,Stiliyan Petrov,Shot outside penalty area,Foot,39,
15,Bolton Wanderers,Aston Villa,Bolton Wanderers,Ivan Klasnić,Shot inside goal area,Left foot,55,
15,Chelsea,Manchester City,Manchester City,Mario Balotelli,Shot inside goal area,Right foot,2,
15,Chelsea,Manchester City,Chelsea,Raul Meireles,Shot inside goal area,Right foot,34,
15,Liverpool,Queens Park Rangers,Liverpool,Luis Suárez,Cross from open play,Head,47,
15,Manchester United,Wolverhampton Wanderers,Manchester United,Nani,Shot outside penalty area,Right foot,17,
15,Manchester United,Wolverhampton Wanderers,Manchester United,Wayne Rooney,Shot outside penalty area,Right foot,27,
15,Manchester United,Wolverhampton Wanderers,Wolverhampton Wanderers,Steven Fletcher,Cross from open play,Head,47,
15,Manchester United,Wolverhampton Wanderers,Manchester United,Nani,Shot inside goal area,Right foot,56,
15,Manchester United,Wolverhampton Wanderers,Manchester United,Wayne Rooney,Shot inside goal area,Right foot,62,
15,Norwich City,Newcastle United,Norwich City,Wes Hoolahan,Cross from corner kick,Right foot,39,
15,Norwich City,Newcastle United,Newcastle United,Demba Ba,Through pass creates 1-v-1,Right foot,45,1
15,Norwich City,Newcastle United,Norwich City,Grant Holt,Cross from open play,Head,59,
15,Norwich City,Newcastle United,Norwich City,Steve Morison,Cross from open play,Head,63,
15,Norwich City,Newcastle United,Newcastle United,Demba Ba,Through pass creates 1-v-1,Left foot,71,
15,Norwich City,Newcastle United,Norwich City,Grant Holt,Cross from free kick,Head,82,
15,Stoke City,Tottenham Hotspur,Stoke City,Matthew Etherington,Shot following rebound,Right foot,13,
15,Stoke City,Tottenham Hotspur,Stoke City,Matthew Etherington,Shot inside goal area,Left foot,43,
15,Sunderland,Blackburn Rovers,Blackburn Rovers,Simon Vukčević,Shot following rebound,Head,17,
15,Sunderland,Blackburn Rovers,Sunderland,David Vaughan,Shot outside penalty area,Foot,84,
15,Sunderland,Blackburn Rovers,Sunderland,Sebastian Larsson,Direct from free kick,Foot,90,2
15,Swansea City,Fulham,Swansea City,Scott Sinclair,Cross from open play,Right foot,56,
15,Swansea City,Fulham,Swansea City,Danny Graham,Cross from corner kick,Right foot,90,1
15,West Bromwich Albion,Wigan Athletic,West Bromwich Albion,Steven Reid,Direct from free kick,Foot,33,
15,West Bromwich Albion,Wigan Athletic,Wigan Athletic,Victor Moses,Shot inside penalty area,Right foot,37,
16,Aston Villa,Liverpool,Liverpool,Craig Bellamy,Shot following rebound,Right foot,11,
16,Aston Villa,Liverpool,Liverpool,Martin Škrtel,Cross from corner kick,Head,15,
16,Blackburn Rovers,West Bromwich Albion,West Bromwich Albion,James Morrison,Shot outside penalty area,Right foot,52,
16,Blackburn Rovers,West Bromwich Albion,Blackburn Rovers,Scott Dann,Shot inside goal area,Right foot,72,
16,Blackburn Rovers,West Bromwich Albion,West Bromwich Albion,Peter Odemwingie,Shot outside penalty area,Left foot,89,
16,Everton,Norwich City,Norwich City,Grant Holt,Shot inside goal area,Left foot,28,
16,Everton,Norwich City,Everton,Leon Osman,Shot following rebound,Right foot,81,
16,Fulham,Bolton Wanderers,Fulham,Clint Dempsey,Cross from open play,Head,32,
16,Fulham,Bolton Wanderers,Fulham,Bryan Ruiz,Shot inside penalty area,Left foot,34,
16,Manchester City,Arsenal,Manchester City,David Silva,Shot inside goal area,Right foot,53,
16,Queens Park Rangers,Manchester United,Manchester United,Wayne Rooney,Cross from open play,Head,1,
16,Queens Park Rangers,Manchester United,Manchester United,Michael Carrick,Shot inside penalty area,Foot,56,
16,Tottenham Hotspur,Sunderland,Tottenham Hotspur,Roman Pavlyuchenko,Shot outside penalty area,Right foot,61,
16,Wigan Athletic,Chelsea,Chelsea,Daniel Sturridge,Cross from open play,Right foot,59,
16,Wigan Athletic,Chelsea,Wigan Athletic,Jordi Gómez,Shot following rebound,Left foot,88,
16,Wolverhampton Wanderers,Stoke City,Stoke City,Kevin Doyle,Deflected shot,Unknown,58,
16,Wolverhampton Wanderers,Stoke City,Stoke City,Peter Crouch,Cross from open play,Head,70,
17,Aston Villa,Arsenal,Aston Villa,Marc Albrighton,Shot inside penalty area,Right foot,54,
17,Aston Villa,Arsenal,Arsenal,Yossi Benayoun,Cross from corner kick,Head,87,
17,Blackburn Rovers,Bolton Wanderers,Bolton Wanderers,Mark Davies,Shot inside penalty area,Left foot,5,
17,Blackburn Rovers,Bolton Wanderers,Bolton Wanderers,Nigel Reo-Coker,Cross from open play,Unknown,30,
17,Blackburn Rovers,Bolton Wanderers,Blackburn Rovers,Yakubu,Shot inside penalty area,Right foot,67,
17,Everton,Swansea City,Everton,Leon Osman,Cross from corner kick,Head,60,
17,Fulham,Manchester United,Manchester United,Danny Welbeck,Shot inside penalty area,Left foot,5,
17,Fulham,Manchester United,Manchester United,Nani,Cross from open play,Head,28,
17,Fulham,Manchester United,Manchester United,Ryan Giggs,Shot inside penalty area,Left foot,43,
17,Fulham,Manchester United,Manchester United,Wayne Rooney,Shot outside penalty area,Foot,88,
17,Fulham,Manchester United,Manchester United,Dimitar Berbatov,Shot inside goal area,Right foot,90,
17,Manchester City,Stoke City,Manchester City,Sergio Agüero,Shot following rebound,Left foot,29,
17,Manchester City,Stoke City,Manchester City,Adam Johnson,Shot outside penalty area,Foot,36,
17,Manchester City,Stoke City,Manchester City,Sergio Agüero,Shot inside goal area,Right foot,54,
17,Newcastle United,West Bromwich Albion,West Bromwich Albion,Peter Odemwingie,Shot inside penalty area,Left foot,20,
17,Newcastle United,West Bromwich Albion,Newcastle United,Demba Ba,Direct from free kick,Right foot,34,
17,Newcastle United,West Bromwich Albion,West Bromwich Albion,Gareth McAuley,Flick on from direct free kick,Head,44,
17,Newcastle United,West Bromwich Albion,Newcastle United,Demba Ba,Shot inside penalty area,Right foot,81,
17,Newcastle United,West Bromwich Albion,West Bromwich Albion,Paul Scharner,Shot inside penalty area,Right foot,85,
17,Queens Park Rangers,Sunderland,Sunderland,Nicklas Bendtner,Cross from free kick,Head,19,
17,Queens Park Rangers,Sunderland,Sunderland,Stéphane Sessègnon,Shot inside goal area,Foot,53,
17,Queens Park Rangers,Sunderland,Queens Park Rangers,Heiðar Helguson,Shot inside goal area,Left foot,63,
17,Queens Park Rangers,Sunderland,Queens Park Rangers,Jamie Mackie,Shot inside goal area,Head,67,
17,Queens Park Rangers,Sunderland,Sunderland,Wes Brown,Cross from corner kick,Head,89,
17,Tottenham Hotspur,Chelsea,Tottenham Hotspur,Emmanuel Adebayor,Shot inside goal area,Right foot,8,
17,Tottenham Hotspur,Chelsea,Chelsea,Daniel Sturridge,Cross from open play,Left foot,23,
17,Wolverhampton Wanderers,Norwich City,Norwich City,Andrew Surman,Cross from corner kick,Head,12,
17,Wolverhampton Wanderers,Norwich City,Wolverhampton Wanderers,Sylvain Ebanks-Blake,Shot following rebound,Left foot,37,
17,Wolverhampton Wanderers,Norwich City,Norwich City,Simeon Jackson,Shot inside goal area,Right foot,76,
17,Wolverhampton Wanderers,Norwich City,Wolverhampton Wanderers,Ronald Zubar,Cross from corner kick,Head,82,
18,Arsenal,Wolverhampton Wanderers,Arsenal,Gervinho,Shot inside penalty area,Left foot,8,
18,Arsenal,Wolverhampton Wanderers,Wolverhampton Wanderers,Steven Fletcher,Shot following rebound,Head,38,
18,Bolton Wanderers,Newcastle United,Newcastle United,Hatem Ben Arfa,Shot inside penalty area,Left foot,69,
18,Bolton Wanderers,Newcastle United,Newcastle United,Demba Ba,Shot inside goal area,Right foot,71,
18,Chelsea,Fulham,Chelsea,Juan Mata,Shot inside penalty area,Left foot,47,
18,Chelsea,Fulham,Fulham,Clint Dempsey,Shot inside goal area,Right foot,56,
18,Liverpool,Blackburn Rovers,Blackburn Rovers,Charlie Adam,Cross from corner kick,Unknown,45,
18,Liverpool,Blackburn Rovers,Liverpool,Maxi Rodríguez,Cross from open play,Head,53,
18,Manchester United,Wigan Athletic,Manchester United,Park Ji-Sung,Shot inside penalty area,Right foot,8,
18,Manchester United,Wigan Athletic,Manchester United,Dimitar Berbatov,Cross from open play,Left foot,41,
18,Manchester United,Wigan Athletic,Manchester United,Dimitar Berbatov,Shot inside penalty area,Right foot,58,
18,Manchester United,Wigan Athletic,Manchester United,Antonio Valencia,Shot outside penalty area,Right foot,75,
18,Norwich City,Tottenham Hotspur,Tottenham Hotspur,Gareth Bale,Shot inside penalty area,Left foot,55,
18,Norwich City,Tottenham Hotspur,Tottenham Hotspur,Gareth Bale,Shot inside penalty area,Left foot,67,
18,Sunderland,Everton,Sunderland,Jack Colback,Deflected shot,Left foot,26,
18,Swansea City,Queens Park Rangers,Swansea City,Danny Graham,Cross from open play,Right foot,14,
18,Swansea City,Queens Park Rangers,Queens Park Rangers,Jamie Mackie,Through pass creates 1-v-1,Right foot,58,
19,Arsenal,Queens Park Rangers,Arsenal,Robin van Persie,Shot inside penalty area,Left foot,60,
19,Bolton Wanderers,Wolverhampton Wanderers,Bolton Wanderers,Sam Ricketts,Shot inside penalty area,Right foot,22,
19,Bolton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers,Steven Fletcher,Cross from free kick,Head,49,
19,Chelsea,Aston Villa,Aston Villa,Stephen Ireland,Shot following rebound,Left foot,28,
19,Chelsea,Aston Villa,Aston Villa,Stiliyan Petrov,Shot inside goal area,Left foot,83,
19,Chelsea,Aston Villa,Aston Villa,Darren Bent,Shot inside penalty area,Right foot,86,
19,Liverpool,Newcastle United,Newcastle United,Daniel Agger,Deflected shot,Unknown,25,
19,Liverpool,Newcastle United,Liverpool,Craig Bellamy,Shot following rebound,Right foot,29,
19,Liverpool,Newcastle United,Liverpool,Craig Bellamy,Direct from free kick,Right foot,67,
19,Liverpool,Newcastle United,Liverpool,Steven Gerrard,Shot inside penalty area,Left foot,78,
19,Manchester United,Blackburn Rovers,Blackburn Rovers,Yakubu,Shot inside penalty area,Left foot,51,
19,Manchester United,Blackburn Rovers,Manchester United,Dimitar Berbatov,Shot following rebound,Head,52,
19,Manchester United,Blackburn Rovers,Manchester United,Dimitar Berbatov,Shot inside goal area,Left foot,62,
19,Manchester United,Blackburn Rovers,Blackburn Rovers,Grant Hanley,Cross from corner kick,Head,80,
19,Norwich City,Fulham,Fulham,Orlando Sá,Shot outside penalty area,Right foot,7,
19,Norwich City,Fulham,Norwich City,Simeon Jackson,Cross from open play,Head,90,4
19,Stoke City,Wigan Athletic,Wigan Athletic,Victor Moses,Shot inside penalty area,Right foot,45,
19,Stoke City,Wigan Athletic,Stoke City,Cameron Jerome,Shot inside penalty area,Right foot,84,
19,Sunderland,Manchester City,Sunderland,Ji Dong-Won,Through pass creates 1-v-1,Left foot,90,3
19,Swansea City,Tottenham Hotspur,Tottenham Hotspur,Rafael van der Vaart,Deflected shot,Unknown,44,
19,Swansea City,Tottenham Hotspur,Swansea City,Scott Sinclair,Shot inside goal area,Foot,84,
19,West Bromwich Albion,Everton,Everton,Victor Anichebe,Shot inside goal area,Left foot,87,
20,Aston Villa,Swansea City,Swansea City,Nathan Dyer,Shot outside penalty area,Right foot,4,
20,Aston Villa,Swansea City,Swansea City,Wayne Routledge,Shot following rebound,Left foot,47,
20,Blackburn Rovers,Stoke City,Stoke City,Peter Crouch,Cross from open play,Right foot,17,
20,Blackburn Rovers,Stoke City,Stoke City,Peter Crouch,Cross from open play,Left foot,45,
20,Blackburn Rovers,Stoke City,Blackburn Rovers,David Goodwillie,Shot following rebound,Left foot,69,
20,Everton,Bolton Wanderers,Everton,Tim Howard,Shot outside penalty area,Right foot,63,
20,Everton,Bolton Wanderers,Bolton Wanderers,David Ngog,Shot inside penalty area,Left foot,67,
20,Everton,Bolton Wanderers,Bolton Wanderers,Gary Cahill,Shot inside penalty area,Right foot,78,
20,Fulham,Arsenal,Fulham,Laurent Koscielny,Cross from open play,Head,21,
20,Fulham,Arsenal,Fulham,Steve Sidwell,Flick on from corner kick,Head,85,
20,Fulham,Arsenal,Fulham,Bobby Zamora,Cross from open play,Left foot,90,2
20,Manchester City,Liverpool,Manchester City,Sergio Agüero,Shot outside penalty area,Right foot,10,
20,Manchester City,Liverpool,Manchester City,Yaya Touré,Cross from corner kick,Head,33,
20,Newcastle United,Manchester United,Newcastle United,Demba Ba,Shot inside penalty area,Right foot,33,
20,Newcastle United,Manchester United,Newcastle United,Yohan Cabaye,Direct from free kick,Right foot,47,
20,Newcastle United,Manchester United,Newcastle United,Phil Jones,Cross from free kick,Other,90,
20,Queens Park Rangers,Norwich City,Queens Park Rangers,Joey Barton,Shot inside penalty area,Right foot,11,
20,Queens Park Rangers,Norwich City,Norwich City,Anthony Pilkington,Shot outside penalty area,Left foot,42,
20,Queens Park Rangers,Norwich City,Norwich City,Steve Morison,Shot inside goal area,Right foot,83,
20,Tottenham Hotspur,West Bromwich Albion,Tottenham Hotspur,Jermain Defoe,Shot inside penalty area,Right foot,63,
20,Wigan Athletic,Sunderland,Sunderland,Craig Gardner,Direct from free kick,Foot,45,4
20,Wigan Athletic,Sunderland,Sunderland,James McClean,Cross from open play,Head,55,
20,Wigan Athletic,Sunderland,Wigan Athletic,Hugo Rodallega,Shot outside penalty area,Right foot,62,
20,Wigan Athletic,Sunderland,Sunderland,Stéphane Sessègnon,Shot inside goal area,Left foot,73,
20,Wigan Athletic,Sunderland,Sunderland,David Vaughan,Shot following rebound,Left foot,80,
20,Wolverhampton Wanderers,Chelsea,Chelsea,Ramires,Flick on from corner kick,Left foot,54,
20,Wolverhampton Wanderers,Chelsea,Wolverhampton Wanderers,Stephen Ward,Shot inside goal area,Left foot,84,
20,Wolverhampton Wanderers,Chelsea,Chelsea,Frank Lampard,Cross from open play,Right foot,89,
21,Aston Villa,Everton,Aston Villa,Darren Bent,Shot inside penalty area,Right foot,56,
21,Aston Villa,Everton,Everton,Victor Anichebe,Shot inside penalty area,Right foot,69,
21,Blackburn Rovers,Fulham,Blackburn Rovers,Morten Gamst Pedersen,Cross from free kick,Left foot,45,4
21,Blackburn Rovers,Fulham,Blackburn Rovers,David Dunn,Shot following rebound,Right foot,46,
21,Blackburn Rovers,Fulham,Fulham,Damien Duff,Shot inside penalty area,Right foot,56,
21,Blackburn Rovers,Fulham,Blackburn Rovers,Mauro Formica,Shot inside penalty area,Left foot,79,
21,Chelsea,Sunderland,Chelsea,Frank Lampard,Shot following rebound,Foot,13,
21,Manchester United,Bolton Wanderers,Manchester United,Paul Scholes,Shot inside goal area,Right foot,45,2
21,Manchester United,Bolton Wanderers,Manchester United,Danny Welbeck,Shot inside penalty area,Right foot,74,
21,Manchester United,Bolton Wanderers,Manchester United,Michael Carrick,Shot outside penalty area,Foot,83,
21,Newcastle United,Queens Park Rangers,Newcastle United,Leon Best,Shot inside goal area,Right foot,37,
21,Swansea City,Arsenal,Arsenal,Robin van Persie,Shot inside penalty area,Right foot,5,
21,Swansea City,Arsenal,Swansea City,Nathan Dyer,Cross from open play,Right foot,57,
21,Swansea City,Arsenal,Arsenal,Theo Walcott,Through pass creates 1-v-1,Right foot,69,
21,Swansea City,Arsenal,Swansea City,Danny Graham,Shot inside penalty area,Right foot,70,
21,Tottenham Hotspur,Wolverhampton Wanderers,Wolverhampton Wanderers,Steven Fletcher,Shot following rebound,Head,22,
21,Tottenham Hotspur,Wolverhampton Wanderers,Tottenham Hotspur,Luka Modrić,Shot outside penalty area,Right foot,51,
21,West Bromwich Albion,Norwich City,Norwich City,Andrew Surman,Cross from open play,Left foot,43,
21,West Bromwich Albion,Norwich City,Norwich City,Steve Morison,Cross from open play,Head,79,
21,Wigan Athletic,Manchester City,Manchester City,Edin Džeko,Cross from free kick,Head,22,
22,Arsenal,Manchester United,Manchester United,Antonio Valencia,Cross from open play,Head,45,1
22,Arsenal,Manchester United,Arsenal,Robin van Persie,Shot inside penalty area,Left foot,71,
22,Arsenal,Manchester United,Manchester United,Danny Welbeck,Shot inside penalty area,Right foot,81,
22,Bolton Wanderers,Liverpool,Bolton Wanderers,Mark Davies,Shot inside penalty area,Left foot,4,
22,Bolton Wanderers,Liverpool,Bolton Wanderers,Nigel Reo-Coker,Shot inside goal area,Right foot,29,
22,Bolton Wanderers,Liverpool,Liverpool,Craig Bellamy,Shot inside penalty area,Right foot,37,
22,Bolton Wanderers,Liverpool,Bolton Wanderers,Grétar Steinsson,Shot inside penalty area,Right foot,50,
22,Everton,Blackburn Rovers,Everton,Tim Cahill,Flick on from corner kick,Right foot,24,
22,Everton,Blackburn Rovers,Blackburn Rovers,David Goodwillie,Cross from free kick,Left foot,72,
22,Fulham,Newcastle United,Newcastle United,Danny Guthrie,Shot outside penalty area,Foot,43,
22,Fulham,Newcastle United,Fulham,Clint Dempsey,Shot following rebound,Foot,59,
22,Fulham,Newcastle United,Fulham,Clint Dempsey,Shot inside penalty area,Right foot,65,
22,Fulham,Newcastle United,Newcastle United,Hatem Ben Arfa,Shot inside penalty area,Right foot,85,
22,Fulham,Newcastle United,Fulham,Clint Dempsey,Shot inside penalty area,Right foot,89,
22,Manchester City,Tottenham Hotspur,Manchester City,Samir Nasri,Shot outside penalty area,Right foot,56,
22,Manchester City,Tottenham Hotspur,Manchester City,Joleon Lescott,Flick on from corner kick,Other,59,
