home team,away team,referee,period,stops,MTBS
Belgium,Algeria,Marco Antonio Rodríguez,2,83,34.3
Uruguay,England,Carlos Velasco,2,61,47.93
Honduras,Ecuador,Ben Williams,2,73,38.68
Italy,Uruguay,Marco Antonio Rodríguez,2,68,44.15
Cameroon,Croatia,Pedro Proença,2,48,55.98
England,Italy,Björn Kuipers,2,54,54.83
Brazil,Germany,Marco Antonio Rodríguez,2,54,51.06
Belgium,Russia,Felix Brych,2,71,40.24
Portugal,Ghana,Nawaf Shukralla,2,82,35.95
USA,Portugal,Néstor Pitana,2,50,58.76
Nigeria,Argentina,Nicola Rizzoli,2,58,50.18
Netherlands,Mexico,Pedro Proença,2,60,49.39
Argentina,Belgium,Nicola Rizzoli,2,90,31.84
Costa Rica,England,Djamel Haimoudi,2,67,41.61
Costa Rica,Greece,Ben Williams,3,16,47
Brazil,Chile,Howard Webb,3,32,29.48
Netherlands,Costa Rica,Ravshan Irmatov,3,23,42.68
Germany,Argentina,Nicola Rizzoli,3,18,46.47
Netherlands,Argentina,Cüneyt Çakır,3,19,48.5
Germany,Algeria,Sandro Ricci,3,17,46.12
Belgium,USA,Djamel Haimoudi,3,16,60.27
Argentina,Switzerland,Jonas Eriksson,3,16,60.33
Costa Rica,Greece,Ben Williams,4,16,61.6
Brazil,Chile,Howard Webb,4,17,55.31
Netherlands,Costa Rica,Ravshan Irmatov,4,24,39.87
Germany,Argentina,Nicola Rizzoli,4,23,44.73
Netherlands,Argentina,Cüneyt Çakır,4,15,47.43
Germany,Algeria,Sandro Ricci,4,24,36.96
Belgium,USA,Djamel Haimoudi,4,20,45.84
Argentina,Switzerland,Jonas Eriksson,4,27,43.38
