home_team,away_team,apt
Gainare Tottori,V-Varen Nagasaki,2995
Yokohama FC,FC Gifu,2998
Matsumoto Yamaga FC,Roasso Kumamoto,2999
Mito Hollyhock,Kataller Toyama,3003
Yokohama FC,JEF United Chiba,3005
Matsumoto Yamaga FC,Consadole Sapporo,3007
Tochigi SC,JEF United Chiba,3009
Avispa Fukuoka,JEF United Chiba,3009
Roasso Kumamoto,Montedio Yamagata,3011
Kyoto Sanga FC,Mito Hollyhock,3012
Kataller Toyama,Consadole Sapporo,3013
Yokohama FC,Kyoto Sanga FC,3013
Kyoto Sanga FC,Roasso Kumamoto,3015
Roasso Kumamoto,Yokohama FC,3015
Fagiano Okayama,Consadole Sapporo,3016
Kyoto Sanga FC,JEF United Chiba,3018
Fagiano Okayama,Gainare Tottori,3025
V-Varen Nagasaki,Kataller Toyama,3029
Avispa Fukuoka,FC Gifu,3036
Kataller Toyama,Yokohama FC,3036
Gainare Tottori,Avispa Fukuoka,3037
FC Gifu,Giravanz Kitakyushu,3040
Matsumoto Yamaga FC,Ehime FC,3043
Kataller Toyama,Kyoto Sanga FC,3046
Thespa Kusatsu Gunma,Avispa Fukuoka,3047
Kyoto Sanga FC,Tochigi SC,3047
FC Gifu,Kyoto Sanga FC,3049
Ehime FC,Vissel Kobe,3049
Kataller Toyama,Thespa Kusatsu Gunma,3056
Gainare Tottori,Tokyo Verdy,3056
Montedio Yamagata,Vissel Kobe,3056
Roasso Kumamoto,Kyoto Sanga FC,3058
Montedio Yamagata,Ehime FC,3059
V-Varen Nagasaki,Yokohama FC,3060
Fagiano Okayama,Giravanz Kitakyushu,3062
Matsumoto Yamaga FC,Mito Hollyhock,3063
Ehime FC,Tokyo Verdy,3063
JEF United Chiba,Montedio Yamagata,3064
Thespa Kusatsu Gunma,Tokushima Vortis,3068
Roasso Kumamoto,Vissel Kobe,3071
Kyoto Sanga FC,Avispa Fukuoka,3075
JEF United Chiba,V-Varen Nagasaki,3080
FC Gifu,JEF United Chiba,3081
Tochigi SC,Fagiano Okayama,3084
Fagiano Okayama,FC Gifu,3084
Tokushima Vortis,Consadole Sapporo,3086
Matsumoto Yamaga FC,Fagiano Okayama,3089
Giravanz Kitakyushu,Tochigi SC,3091
Montedio Yamagata,Kataller Toyama,3093
Thespa Kusatsu Gunma,Fagiano Okayama,3096
Tokushima Vortis,Thespa Kusatsu Gunma,3097
Consadole Sapporo,V-Varen Nagasaki,3097
Roasso Kumamoto,Tokushima Vortis,3100
Mito Hollyhock,FC Gifu,3112
Tochigi SC,Giravanz Kitakyushu,3115
Tochigi SC,Matsumoto Yamaga FC,3116
Roasso Kumamoto,Tokyo Verdy,3118
Avispa Fukuoka,Vissel Kobe,3119
Vissel Kobe,Gainare Tottori,3119
Kataller Toyama,Mito Hollyhock,3122
Kataller Toyama,FC Gifu,3122
FC Gifu,Tochigi SC,3124
Giravanz Kitakyushu,Matsumoto Yamaga FC,3125
Tokyo Verdy,V-Varen Nagasaki,3127
Tokyo Verdy,FC Gifu,3128
V-Varen Nagasaki,Thespa Kusatsu Gunma,3128
Giravanz Kitakyushu,Ehime FC,3129
Kataller Toyama,Ehime FC,3130
Montedio Yamagata,Matsumoto Yamaga FC,3131
Montedio Yamagata,Yokohama FC,3133
Tokushima Vortis,Avispa Fukuoka,3134
Mito Hollyhock,V-Varen Nagasaki,3137
Yokohama FC,V-Varen Nagasaki,3147
Matsumoto Yamaga FC,Giravanz Kitakyushu,3147
Mito Hollyhock,Tokushima Vortis,3150
Consadole Sapporo,Fagiano Okayama,3151
Consadole Sapporo,Kataller Toyama,3152
Fagiano Okayama,Yokohama FC,3152
Kataller Toyama,Roasso Kumamoto,3153
Matsumoto Yamaga FC,FC Gifu,3154
Avispa Fukuoka,Matsumoto Yamaga FC,3160
Consadole Sapporo,Tokushima Vortis,3161
Roasso Kumamoto,Gainare Tottori,3162
Montedio Yamagata,Roasso Kumamoto,3162
Yokohama FC,Fagiano Okayama,3164
Tochigi SC,Tokyo Verdy,3164
Tochigi SC,Mito Hollyhock,3166
Mito Hollyhock,Kyoto Sanga FC,3171
Consadole Sapporo,Tochigi SC,3172
Consadole Sapporo,Tokyo Verdy,3173
Mito Hollyhock,Thespa Kusatsu Gunma,3175
Tokushima Vortis,Roasso Kumamoto,3175
Giravanz Kitakyushu,Avispa Fukuoka,3175
FC Gifu,Yokohama FC,3176
Tokyo Verdy,Matsumoto Yamaga FC,3176
Mito Hollyhock,Tokyo Verdy,3177
Roasso Kumamoto,Fagiano Okayama,3180
Thespa Kusatsu Gunma,FC Gifu,3180
Thespa Kusatsu Gunma,Ehime FC,3182
Ehime FC,FC Gifu,3184
Fagiano Okayama,Ehime FC,3184
Tokushima Vortis,Fagiano Okayama,3184
Kataller Toyama,Montedio Yamagata,3185
Tochigi SC,Tokushima Vortis,3185
Giravanz Kitakyushu,Consadole Sapporo,3188
JEF United Chiba,Mito Hollyhock,3188
Consadole Sapporo,JEF United Chiba,3188
Tochigi SC,Kyoto Sanga FC,3189
Ehime FC,Kyoto Sanga FC,3195
Fagiano Okayama,Tochigi SC,3196
