home_team,away_team,apt
Ehime FC,Thespa Kusatsu Gunma,3477
Giravanz Kitakyushu,Ehime FC,3476
Yokohama FC,Tokyo Verdy,3474
Ehime FC,JEF United Chiba,3466
Thespa Kusatsu Gunma,V-Varen Nagasaki,3465
Tochigi SC,Avispa Fukuoka,3465
Kyoto Sanga FC,Oita Trinita,3463
Tokyo Verdy,Kataller Toyama,3462
Giravanz Kitakyushu,Shonan Bellmare,3459
FC Gifu,Jubilo Iwata,3455
Jubilo Iwata,Roasso Kumamoto,3454
Kataller Toyama,Tokyo Verdy,3454
JEF United Chiba,Kataller Toyama,3453
Avispa Fukuoka,Oita Trinita,3450
Consadole Sapporo,Kyoto Sanga FC,3448
Jubilo Iwata,Kataller Toyama,3446
Giravanz Kitakyushu,V-Varen Nagasaki,3445
Montedio Yamagata,Avispa Fukuoka,3441
Consadole Sapporo,Jubilo Iwata,3441
Kataller Toyama,Jubilo Iwata,3436
JEF United Chiba,Shonan Bellmare,3435
Kamatamare Sanuki,Tokyo Verdy,3435
Roasso Kumamoto,Shonan Bellmare,3434
Giravanz Kitakyushu,Consadole Sapporo,3434
Thespa Kusatsu Gunma,Ehime FC,3428
Jubilo Iwata,Tokyo Verdy,3426
Tokyo Verdy,Kyoto Sanga FC,3425
Fagiano Okayama,Mito Hollyhock,3423
Kyoto Sanga FC,Tokyo Verdy,3422
Roasso Kumamoto,Tokyo Verdy,3418
Giravanz Kitakyushu,Fagiano Okayama,3418
JEF United Chiba,Giravanz Kitakyushu,3416
Jubilo Iwata,JEF United Chiba,3415
Yokohama FC,JEF United Chiba,3415
Yokohama FC,Kataller Toyama,3415
Fagiano Okayama,Tokyo Verdy,3415
Consadole Sapporo,Yokohama FC,3409
Thespa Kusatsu Gunma,Kyoto Sanga FC,3405
Fagiano Okayama,FC Gifu,3403
Tokyo Verdy,Fagiano Okayama,3400
Consadole Sapporo,JEF United Chiba,3398
Consadole Sapporo,Fagiano Okayama,3397
Oita Trinita,Kataller Toyama,3387
Kyoto Sanga FC,Tochigi SC,3386
Tochigi SC,Ehime FC,3385
Tokyo Verdy,FC Gifu,3383
Kataller Toyama,Thespa Kusatsu Gunma,3381
FC Gifu,Thespa Kusatsu Gunma,3375
Kamatamare Sanuki,Montedio Yamagata,3375
Tochigi SC,Oita Trinita,3372
Montedio Yamagata,V-Varen Nagasaki,3369
Tochigi SC,Yokohama FC,3368
Oita Trinita,Giravanz Kitakyushu,3363
Montedio Yamagata,Giravanz Kitakyushu,3361
Mito Hollyhock,Ehime FC,3361
Ehime FC,Fagiano Okayama,3359
Mito Hollyhock,Thespa Kusatsu Gunma,3358
V-Varen Nagasaki,Kataller Toyama,3356
Jubilo Iwata,Kyoto Sanga FC,3356
Fagiano Okayama,Shonan Bellmare,3352
Giravanz Kitakyushu,Jubilo Iwata,3351
Kyoto Sanga FC,Mito Hollyhock,3348
Giravanz Kitakyushu,Tokyo Verdy,3342
Avispa Fukuoka,Tokyo Verdy,3341
JEF United Chiba,Mito Hollyhock,3335
Oita Trinita,Yokohama FC,3334
Yokohama FC,Ehime FC,3333
Mito Hollyhock,Kyoto Sanga FC,3329
Jubilo Iwata,Oita Trinita,3327
Jubilo Iwata,Thespa Kusatsu Gunma,3325
Oita Trinita,Ehime FC,3325
Avispa Fukuoka,Fagiano Okayama,3325
Tokyo Verdy,Ehime FC,3318
Tochigi SC,Kataller Toyama,3316
Kamatamare Sanuki,Matsumoto Yamaga FC,3311
Fagiano Okayama,Consadole Sapporo,3311
Avispa Fukuoka,Giravanz Kitakyushu,3310
Oita Trinita,Fagiano Okayama,3309
JEF United Chiba,Thespa Kusatsu Gunma,3305
JEF United Chiba,Yokohama FC,3305
JEF United Chiba,Tokyo Verdy,3304
V-Varen Nagasaki,Mito Hollyhock,3301
JEF United Chiba,Montedio Yamagata,3301
Roasso Kumamoto,JEF United Chiba,3300
Yokohama FC,Consadole Sapporo,3299
Fagiano Okayama,Ehime FC,3298
Yokohama FC,V-Varen Nagasaki,3297
Thespa Kusatsu Gunma,Tokyo Verdy,3296
Yokohama FC,Fagiano Okayama,3295
Consadole Sapporo,Kataller Toyama,3294
Ehime FC,Oita Trinita,3294
Shonan Bellmare,Montedio Yamagata,3287
Shonan Bellmare,Oita Trinita,3287
Giravanz Kitakyushu,Oita Trinita,3287
Yokohama FC,Avispa Fukuoka,3287
Yokohama FC,Thespa Kusatsu Gunma,3287
Kataller Toyama,Kamatamare Sanuki,3285
Mito Hollyhock,Shonan Bellmare,3284
Jubilo Iwata,Consadole Sapporo,3281
Mito Hollyhock,Roasso Kumamoto,3279
Tochigi SC,Matsumoto Yamaga FC,3278
Kamatamare Sanuki,Roasso Kumamoto,3278
Shonan Bellmare,Ehime FC,3278
Giravanz Kitakyushu,Avispa Fukuoka,3275
Thespa Kusatsu Gunma,Kataller Toyama,3272
Mito Hollyhock,Tokyo Verdy,3272
Yokohama FC,Kyoto Sanga FC,3272
Thespa Kusatsu Gunma,Kamatamare Sanuki,3272
Tokyo Verdy,V-Varen Nagasaki,3271
Ehime FC,Roasso Kumamoto,3270
Thespa Kusatsu Gunma,Shonan Bellmare,3270
JEF United Chiba,Kyoto Sanga FC,3265
Mito Hollyhock,Oita Trinita,3263
Ehime FC,V-Varen Nagasaki,3263
Yokohama FC,Giravanz Kitakyushu,3263
Avispa Fukuoka,Ehime FC,3262
Jubilo Iwata,Giravanz Kitakyushu,3261
Jubilo Iwata,Ehime FC,3261
Roasso Kumamoto,Fagiano Okayama,3252
Ehime FC,Tokyo Verdy,3249
Oita Trinita,Consadole Sapporo,3248
Consadole Sapporo,Tochigi SC,3248
Ehime FC,Kyoto Sanga FC,3244
Kyoto Sanga FC,Montedio Yamagata,3242
Jubilo Iwata,Mito Hollyhock,3242
Jubilo Iwata,Tochigi SC,3242
Tokyo Verdy,Thespa Kusatsu Gunma,3241
Kataller Toyama,V-Varen Nagasaki,3240
Tokyo Verdy,JEF United Chiba,3238
Kyoto Sanga FC,Consadole Sapporo,3234
Jubilo Iwata,Avispa Fukuoka,3233
Thespa Kusatsu Gunma,Fagiano Okayama,3233
Jubilo Iwata,Fagiano Okayama,3232
FC Gifu,Tokyo Verdy,3232
Thespa Kusatsu Gunma,Yokohama FC,3231
Avispa Fukuoka,Consadole Sapporo,3231
Kyoto Sanga FC,Giravanz Kitakyushu,3230
Kyoto Sanga FC,Fagiano Okayama,3229
Jubilo Iwata,Kamatamare Sanuki,3229
Mito Hollyhock,FC Gifu,3228
V-Varen Nagasaki,Fagiano Okayama,3228
Roasso Kumamoto,Oita Trinita,3225
Ehime FC,Shonan Bellmare,3225
Ehime FC,Avispa Fukuoka,3224
Consadole Sapporo,Montedio Yamagata,3223
Oita Trinita,Matsumoto Yamaga FC,3221
Ehime FC,FC Gifu,3220
Kyoto Sanga FC,Kataller Toyama,3220
Shonan Bellmare,Kataller Toyama,3214
Oita Trinita,Tokyo Verdy,3213
Ehime FC,Kataller Toyama,3211
JEF United Chiba,Matsumoto Yamaga FC,3210
Matsumoto Yamaga FC,Ehime FC,3204
JEF United Chiba,Jubilo Iwata,3204
Avispa Fukuoka,Kyoto Sanga FC,3201
Kataller Toyama,Mito Hollyhock,3201
Fagiano Okayama,Tochigi SC,3193
Thespa Kusatsu Gunma,Consadole Sapporo,3192
FC Gifu,Kyoto Sanga FC,3189
Fagiano Okayama,Kamatamare Sanuki,3188
Roasso Kumamoto,Thespa Kusatsu Gunma,3187
Fagiano Okayama,Avispa Fukuoka,3184
Montedio Yamagata,Thespa Kusatsu Gunma,3184
Jubilo Iwata,Yokohama FC,3180
Giravanz Kitakyushu,Yokohama FC,3180
Kataller Toyama,Montedio Yamagata,3178
Avispa Fukuoka,Jubilo Iwata,3177
Shonan Bellmare,Jubilo Iwata,3175
Mito Hollyhock,Avispa Fukuoka,3170
Oita Trinita,Tochigi SC,3168
Oita Trinita,Avispa Fukuoka,3168
Kataller Toyama,Roasso Kumamoto,3159
Consadole Sapporo,Kamatamare Sanuki,3159
Avispa Fukuoka,Montedio Yamagata,3157
Roasso Kumamoto,Kyoto Sanga FC,3156
Tokyo Verdy,Roasso Kumamoto,3155
Consadole Sapporo,Thespa Kusatsu Gunma,3153
Kamatamare Sanuki,Yokohama FC,3153
Roasso Kumamoto,Montedio Yamagata,3153
FC Gifu,Tochigi SC,3152
JEF United Chiba,Oita Trinita,3151
V-Varen Nagasaki,Tokyo Verdy,3151
Montedio Yamagata,Tokyo Verdy,3150
Thespa Kusatsu Gunma,Montedio Yamagata,3149
Avispa Fukuoka,Kamatamare Sanuki,3148
V-Varen Nagasaki,Ehime FC,3147
Tochigi SC,Consadole Sapporo,3143
Kataller Toyama,Consadole Sapporo,3135
Matsumoto Yamaga FC,JEF United Chiba,3135
Consadole Sapporo,Roasso Kumamoto,3133
Roasso Kumamoto,Kataller Toyama,3132
Kyoto Sanga FC,Ehime FC,3131
Tochigi SC,JEF United Chiba,3131
JEF United Chiba,FC Gifu,3131
Kamatamare Sanuki,Avispa Fukuoka,3129
Yokohama FC,Tochigi SC,3128
Kyoto Sanga FC,Avispa Fukuoka,3126
Kamatamare Sanuki,Giravanz Kitakyushu,3126
Avispa Fukuoka,Yokohama FC,3125
Consadole Sapporo,Matsumoto Yamaga FC,3125
Fagiano Okayama,Matsumoto Yamaga FC,3124
Shonan Bellmare,Consadole Sapporo,3121
Oita Trinita,Kamatamare Sanuki,3118
Kamatamare Sanuki,Tochigi SC,3117
Kamatamare Sanuki,Shonan Bellmare,3116
Fagiano Okayama,Oita Trinita,3112
Kamatamare Sanuki,Fagiano Okayama,3111
Giravanz Kitakyushu,Kyoto Sanga FC,3110
Mito Hollyhock,JEF United Chiba,3109
Kyoto Sanga FC,JEF United Chiba,3105
Kataller Toyama,Oita Trinita,3105
Thespa Kusatsu Gunma,Oita Trinita,3103
V-Varen Nagasaki,Kamatamare Sanuki,3098
Tochigi SC,Tokyo Verdy,3096
Kyoto Sanga FC,Kamatamare Sanuki,3095
Kyoto Sanga FC,Thespa Kusatsu Gunma,3093
Montedio Yamagata,JEF United Chiba,3092
Matsumoto Yamaga FC,Giravanz Kitakyushu,3092
Kamatamare Sanuki,Consadole Sapporo,3090
Roasso Kumamoto,Consadole Sapporo,3089
Roasso Kumamoto,Matsumoto Yamaga FC,3088
Tokyo Verdy,Yokohama FC,3088
Tochigi SC,FC Gifu,3088
Mito Hollyhock,Tochigi SC,3088
V-Varen Nagasaki,Giravanz Kitakyushu,3080
V-Varen Nagasaki,Tochigi SC,3080
Shonan Bellmare,JEF United Chiba,3080
Tokyo Verdy,Matsumoto Yamaga FC,3077
Ehime FC,Yokohama FC,3075
Thespa Kusatsu Gunma,FC Gifu,3073
Oita Trinita,Mito Hollyhock,3073
V-Varen Nagasaki,Montedio Yamagata,3072
Shonan Bellmare,Mito Hollyhock,3072
Kamatamare Sanuki,Jubilo Iwata,3071
Montedio Yamagata,Fagiano Okayama,3071
Kataller Toyama,Matsumoto Yamaga FC,3069
Kataller Toyama,Avispa Fukuoka,3068
Tochigi SC,Thespa Kusatsu Gunma,3067
Giravanz Kitakyushu,Kamatamare Sanuki,3067
Tokyo Verdy,Oita Trinita,3066
Tokyo Verdy,Shonan Bellmare,3066
Fagiano Okayama,Roasso Kumamoto,3066
Shonan Bellmare,Giravanz Kitakyushu,3062
JEF United Chiba,Avispa Fukuoka,3062
Kyoto Sanga FC,Jubilo Iwata,3060
Tokyo Verdy,Consadole Sapporo,3060
Avispa Fukuoka,Matsumoto Yamaga FC,3055
Jubilo Iwata,V-Varen Nagasaki,3054
Fagiano Okayama,Jubilo Iwata,3054
Mito Hollyhock,Kamatamare Sanuki,3054
Thespa Kusatsu Gunma,Roasso Kumamoto,3053
Yokohama FC,Oita Trinita,3053
Montedio Yamagata,Kataller Toyama,3052
Avispa Fukuoka,Mito Hollyhock,3052
Roasso Kumamoto,V-Varen Nagasaki,3051
Avispa Fukuoka,JEF United Chiba,3048
Shonan Bellmare,V-Varen Nagasaki,3043
Shonan Bellmare,Kyoto Sanga FC,3042
Kamatamare Sanuki,JEF United Chiba,3038
Kataller Toyama,Kyoto Sanga FC,3036
Giravanz Kitakyushu,Montedio Yamagata,3033
Roasso Kumamoto,Mito Hollyhock,3031
Mito Hollyhock,Kataller Toyama,3030
Oita Trinita,FC Gifu,3029
Kataller Toyama,Shonan Bellmare,3027
Shonan Bellmare,Yokohama FC,3026
FC Gifu,JEF United Chiba,3024
Kamatamare Sanuki,Ehime FC,3020
Roasso Kumamoto,Jubilo Iwata,3018
JEF United Chiba,Consadole Sapporo,3014
FC Gifu,Consadole Sapporo,3014
FC Gifu,Fagiano Okayama,3013
Oita Trinita,Montedio Yamagata,3009
Montedio Yamagata,Tochigi SC,3009
Kamatamare Sanuki,FC Gifu,3006
Kyoto Sanga FC,Roasso Kumamoto,3003
Tochigi SC,Kamatamare Sanuki,2998
Ehime FC,Tochigi SC,2995
Montedio Yamagata,Yokohama FC,2987
Ehime FC,Kamatamare Sanuki,2986
FC Gifu,Montedio Yamagata,2986
Kataller Toyama,FC Gifu,2985
Montedio Yamagata,Matsumoto Yamaga FC,2982
Jubilo Iwata,Shonan Bellmare,2982
Avispa Fukuoka,FC Gifu,2980
Avispa Fukuoka,Kataller Toyama,2977
Yokohama FC,Montedio Yamagata,2975
Tokyo Verdy,Avispa Fukuoka,2975
Ehime FC,Matsumoto Yamaga FC,2973
Montedio Yamagata,Kamatamare Sanuki,2972
Tochigi SC,Montedio Yamagata,2969
Kyoto Sanga FC,Matsumoto Yamaga FC,2967
Avispa Fukuoka,Roasso Kumamoto,2964
Jubilo Iwata,Montedio Yamagata,2963
Tochigi SC,V-Varen Nagasaki,2962
Kamatamare Sanuki,Kyoto Sanga FC,2959
Kyoto Sanga FC,V-Varen Nagasaki,2958
Giravanz Kitakyushu,Kataller Toyama,2955
Matsumoto Yamaga FC,Kamatamare Sanuki,2949
Matsumoto Yamaga FC,Tochigi SC,2947
Matsumoto Yamaga FC,Jubilo Iwata,2946
Oita Trinita,Jubilo Iwata,2943
FC Gifu,Kataller Toyama,2942
Yokohama FC,Shonan Bellmare,2935
Shonan Bellmare,Thespa Kusatsu Gunma,2931
Thespa Kusatsu Gunma,Matsumoto Yamaga FC,2929
Montedio Yamagata,Roasso Kumamoto,2928
Kamatamare Sanuki,Mito Hollyhock,2927
Avispa Fukuoka,V-Varen Nagasaki,2925
V-Varen Nagasaki,Kyoto Sanga FC,2925
FC Gifu,Mito Hollyhock,2924
Tochigi SC,Roasso Kumamoto,2919
Montedio Yamagata,Mito Hollyhock,2917
Fagiano Okayama,Montedio Yamagata,2917
Giravanz Kitakyushu,Roasso Kumamoto,2915
JEF United Chiba,Roasso Kumamoto,2913
Oita Trinita,V-Varen Nagasaki,2913
Shonan Bellmare,Avispa Fukuoka,2912
Kamatamare Sanuki,V-Varen Nagasaki,2912
Consadole Sapporo,V-Varen Nagasaki,2910
Matsumoto Yamaga FC,Kataller Toyama,2908
V-Varen Nagasaki,Jubilo Iwata,2904
Matsumoto Yamaga FC,Tokyo Verdy,2901
Fagiano Okayama,V-Varen Nagasaki,2900
Yokohama FC,Kamatamare Sanuki,2898
Jubilo Iwata,FC Gifu,2895
Kataller Toyama,Yokohama FC,2894
Kyoto Sanga FC,Shonan Bellmare,2894
Yokohama FC,Jubilo Iwata,2880
Kamatamare Sanuki,Oita Trinita,2880
Oita Trinita,Roasso Kumamoto,2874
Shonan Bellmare,FC Gifu,2872
Montedio Yamagata,Shonan Bellmare,2871
Matsumoto Yamaga FC,Shonan Bellmare,2865
Matsumoto Yamaga FC,Yokohama FC,2865
Yokohama FC,Mito Hollyhock,2864
Matsumoto Yamaga FC,Oita Trinita,2862
Matsumoto Yamaga FC,V-Varen Nagasaki,2860
Giravanz Kitakyushu,Tochigi SC,2845
V-Varen Nagasaki,Avispa Fukuoka,2841
Tochigi SC,Jubilo Iwata,2839
Matsumoto Yamaga FC,Thespa Kusatsu Gunma,2839
Avispa Fukuoka,Tochigi SC,2821
Montedio Yamagata,Consadole Sapporo,2819
Shonan Bellmare,Tochigi SC,2810
Shonan Bellmare,Kamatamare Sanuki,2805
Consadole Sapporo,Avispa Fukuoka,2803
Shonan Bellmare,Fagiano Okayama,2801
Tokyo Verdy,Kamatamare Sanuki,2801
Roasso Kumamoto,Tochigi SC,2800
Mito Hollyhock,Matsumoto Yamaga FC,2789
Matsumoto Yamaga FC,Avispa Fukuoka,2788
JEF United Chiba,V-Varen Nagasaki,2788
Ehime FC,Montedio Yamagata,2787
Montedio Yamagata,Oita Trinita,2780
Mito Hollyhock,Yokohama FC,2778
FC Gifu,Giravanz Kitakyushu,2774
Tochigi SC,Kyoto Sanga FC,2772
FC Gifu,Matsumoto Yamaga FC,2767
Montedio Yamagata,Kyoto Sanga FC,2764
Tochigi SC,Shonan Bellmare,2763
Kyoto Sanga FC,FC Gifu,2763
Avispa Fukuoka,Shonan Bellmare,2756
Yokohama FC,Roasso Kumamoto,2750
Mito Hollyhock,Jubilo Iwata,2748
V-Varen Nagasaki,Shonan Bellmare,2746
Consadole Sapporo,FC Gifu,2746
FC Gifu,V-Varen Nagasaki,2743
Mito Hollyhock,V-Varen Nagasaki,2731
Matsumoto Yamaga FC,Consadole Sapporo,2730
Matsumoto Yamaga FC,FC Gifu,2728
Roasso Kumamoto,Kamatamare Sanuki,2726
Fagiano Okayama,Yokohama FC,2726
Montedio Yamagata,FC Gifu,2725
Montedio Yamagata,Jubilo Iwata,2723
Shonan Bellmare,Matsumoto Yamaga FC,2704
Roasso Kumamoto,FC Gifu,2703
Matsumoto Yamaga FC,Kyoto Sanga FC,2700
V-Varen Nagasaki,Consadole Sapporo,2697
Roasso Kumamoto,Ehime FC,2690
Kamatamare Sanuki,Kataller Toyama,2688
Kyoto Sanga FC,Yokohama FC,2688
V-Varen Nagasaki,Oita Trinita,2683
JEF United Chiba,Kamatamare Sanuki,2681
Oita Trinita,Shonan Bellmare,2675
V-Varen Nagasaki,Roasso Kumamoto,2663
Matsumoto Yamaga FC,Fagiano Okayama,2660
Mito Hollyhock,Consadole Sapporo,2649
Mito Hollyhock,Montedio Yamagata,2641
FC Gifu,Shonan Bellmare,2620
Yokohama FC,Matsumoto Yamaga FC,2620
FC Gifu,Yokohama FC,2619
Shonan Bellmare,Roasso Kumamoto,2611
FC Gifu,Avispa Fukuoka,2607
Jubilo Iwata,Matsumoto Yamaga FC,2594
FC Gifu,Roasso Kumamoto,2576
FC Gifu,Kamatamare Sanuki,2560
Roasso Kumamoto,Yokohama FC,2548
V-Varen Nagasaki,Matsumoto Yamaga FC,2529
Matsumoto Yamaga FC,Roasso Kumamoto,2519
Giravanz Kitakyushu,Matsumoto Yamaga FC,2515
Mito Hollyhock,Giravanz Kitakyushu,2497
Matsumoto Yamaga FC,Mito Hollyhock,2491
FC Gifu,Ehime FC,2426
Matsumoto Yamaga FC,Montedio Yamagata,2410
V-Varen Nagasaki,FC Gifu,2341
V-Varen Nagasaki,Yokohama FC,2275
FC Gifu,Oita Trinita,2139
