home_team,away_team,apt
Consadole Sapporo,Oita Trinita,4059
Kataller Toyama,Fagiano Okayama,3936
Mito Hollyhock,Fagiano Okayama,3832
JEF United Chiba,Tochigi SC,3772
Consadole Sapporo,Ehime FC,3768
Ehime FC,Jubilo Iwata,3765
Giravanz Kitakyushu,FC Gifu,3751
Kataller Toyama,Tochigi SC,3750
Oita Trinita,Thespa Kusatsu Gunma,3733
Fagiano Okayama,Kataller Toyama,3715
Giravanz Kitakyushu,Thespa Kusatsu Gunma,3705
JEF United Chiba,Fagiano Okayama,3695
Thespa Kusatsu Gunma,Giravanz Kitakyushu,3691
Thespa Kusatsu Gunma,Jubilo Iwata,3681
Tokyo Verdy,Tochigi SC,3679
Consadole Sapporo,Giravanz Kitakyushu,3665
Tokyo Verdy,Giravanz Kitakyushu,3662
Consadole Sapporo,Tokyo Verdy,3650
V-Varen Nagasaki,JEF United Chiba,3645
Tochigi SC,Fagiano Okayama,3631
Tokyo Verdy,Montedio Yamagata,3624
Fagiano Okayama,JEF United Chiba,3621
Roasso Kumamoto,Giravanz Kitakyushu,3617
Thespa Kusatsu Gunma,Tochigi SC,3604
Fagiano Okayama,Thespa Kusatsu Gunma,3598
Giravanz Kitakyushu,JEF United Chiba,3578
Oita Trinita,JEF United Chiba,3576
Consadole Sapporo,Shonan Bellmare,3575
Giravanz Kitakyushu,Mito Hollyhock,3570
Ehime FC,Giravanz Kitakyushu,3569
Tochigi SC,Mito Hollyhock,3553
JEF United Chiba,Ehime FC,3553
V-Varen Nagasaki,Thespa Kusatsu Gunma,3546
Kataller Toyama,Giravanz Kitakyushu,3544
Fagiano Okayama,Kyoto Sanga FC,3540
Ehime FC,Mito Hollyhock,3536
Oita Trinita,Kyoto Sanga FC,3536
Thespa Kusatsu Gunma,Avispa Fukuoka,3531
Montedio Yamagata,Ehime FC,3528
Kamatamare Sanuki,Thespa Kusatsu Gunma,3528
Thespa Kusatsu Gunma,Mito Hollyhock,3522
Tochigi SC,Giravanz Kitakyushu,3522
Tokyo Verdy,Mito Hollyhock,3520
Consadole Sapporo,Mito Hollyhock,3515
Yokohama FC,FC Gifu,3512
Tokyo Verdy,Jubilo Iwata,3505
Ehime FC,Consadole Sapporo,3504
Shonan Bellmare,Tokyo Verdy,3501
Avispa Fukuoka,Thespa Kusatsu Gunma,3493
Kataller Toyama,JEF United Chiba,3490
Kataller Toyama,Ehime FC,3490
Thespa Kusatsu Gunma,JEF United Chiba,3487
Fagiano Okayama,Giravanz Kitakyushu,3482
Roasso Kumamoto,Avispa Fukuoka,3479
