home_team,away_team,apt
Consadole Sapporo,Giravanz Kitakyushu,3927
Ehime FC,Omiya Ardija,3923
Giravanz Kitakyushu,Consadole Sapporo,3834
Omiya Ardija,Giravanz Kitakyushu,3802
Omiya Ardija,Tokushima Vortis,3799
Ehime FC,JEF United Chiba,3792
Kamatamare Sanuki,Omiya Ardija,3760
FC Gifu,Consadole Sapporo,3758
Giravanz Kitakyushu,Cerezo Osaka,3747
Roasso Kumamoto,Omiya Ardija,3723
Consadole Sapporo,Tokushima Vortis,3706
JEF United Chiba,Kamatamare Sanuki,3698
Omiya Ardija,Yokohama FC,3696
Omiya Ardija,Ehime FC,3681
JEF United Chiba,Tokushima Vortis,3666
Cerezo Osaka,Mito Hollyhock,3662
Omiya Ardija,FC Gifu,3660
Yokohama FC,Consadole Sapporo,3658
Giravanz Kitakyushu,Tokushima Vortis,3648
Omiya Ardija,Fagiano Okayama,3630
Yokohama FC,Omiya Ardija,3626
Cerezo Osaka,V-Varen Nagasaki,3620
Omiya Ardija,Thespa Kusatsu Gunma,3620
Roasso Kumamoto,Jubilo Iwata,3620
Giravanz Kitakyushu,Omiya Ardija,3619
Consadole Sapporo,Omiya Ardija,3616
Tokyo Verdy,Consadole Sapporo,3616
Ehime FC,Avispa Fukuoka,3609
Consadole Sapporo,Mito Hollyhock,3604
Consadole Sapporo,Kamatamare Sanuki,3600
Cerezo Osaka,Tochigi SC,3589
JEF United Chiba,Ehime FC,3578
Avispa Fukuoka,Kyoto Sanga FC,3573
Kyoto Sanga FC,Jubilo Iwata,3556
Cerezo Osaka,Roasso Kumamoto,3556
Consadole Sapporo,Yokohama FC,3553
Kyoto Sanga FC,Tokyo Verdy,3552
Ehime FC,Roasso Kumamoto,3546
Roasso Kumamoto,Kyoto Sanga FC,3546
Omiya Ardija,Avispa Fukuoka,3540
Omiya Ardija,Mito Hollyhock,3534
Consadole Sapporo,Avispa Fukuoka,3533
Omiya Ardija,Tokyo Verdy,3527
Cerezo Osaka,Zweigen Kanazawa,3526
Omiya Ardija,Zweigen Kanazawa,3521
Yokohama FC,Avispa Fukuoka,3514
Tochigi SC,Giravanz Kitakyushu,3514
Zweigen Kanazawa,Fagiano Okayama,3501
Consadole Sapporo,Cerezo Osaka,3499
Tochigi SC,Thespa Kusatsu Gunma,3497
Kamatamare Sanuki,JEF United Chiba,3496
Cerezo Osaka,Ehime FC,3494
FC Gifu,Tokushima Vortis,3491
V-Varen Nagasaki,Jubilo Iwata,3488
Zweigen Kanazawa,Giravanz Kitakyushu,3484
Fagiano Okayama,Zweigen Kanazawa,3482
Mito Hollyhock,Tokushima Vortis,3481
Roasso Kumamoto,Mito Hollyhock,3474
Fagiano Okayama,Thespa Kusatsu Gunma,3473
Avispa Fukuoka,Omiya Ardija,3472
Tokushima Vortis,Omiya Ardija,3469
Cerezo Osaka,JEF United Chiba,3467
Zweigen Kanazawa,Yokohama FC,3458
Consadole Sapporo,Tochigi SC,3455
Giravanz Kitakyushu,Fagiano Okayama,3449
Zweigen Kanazawa,Omiya Ardija,3447
Fagiano Okayama,Kyoto Sanga FC,3443
Omiya Ardija,V-Varen Nagasaki,3442
Giravanz Kitakyushu,Kamatamare Sanuki,3441
Cerezo Osaka,Tokushima Vortis,3441
Giravanz Kitakyushu,Zweigen Kanazawa,3434
Fagiano Okayama,V-Varen Nagasaki,3427
Zweigen Kanazawa,Cerezo Osaka,3421
Tokyo Verdy,Ehime FC,3414
Kyoto Sanga FC,Omiya Ardija,3409
Omiya Ardija,JEF United Chiba,3408
Roasso Kumamoto,Consadole Sapporo,3404
Tokushima Vortis,Fagiano Okayama,3402
Yokohama FC,Thespa Kusatsu Gunma,3402
Giravanz Kitakyushu,Ehime FC,3400
Tokushima Vortis,Mito Hollyhock,3392
Zweigen Kanazawa,Roasso Kumamoto,3389
Tochigi SC,Zweigen Kanazawa,3388
Zweigen Kanazawa,Avispa Fukuoka,3387
Tokyo Verdy,Fagiano Okayama,3385
Tochigi SC,Consadole Sapporo,3384
Thespa Kusatsu Gunma,Consadole Sapporo,3381
FC Gifu,Omiya Ardija,3377
Kyoto Sanga FC,Yokohama FC,3375
Cerezo Osaka,Omiya Ardija,3374
Consadole Sapporo,Kyoto Sanga FC,3369
Tochigi SC,Omiya Ardija,3368
Roasso Kumamoto,Giravanz Kitakyushu,3368
Oita Trinita,Kyoto Sanga FC,3364
Avispa Fukuoka,Cerezo Osaka,3363
Thespa Kusatsu Gunma,Fagiano Okayama,3363
Tokushima Vortis,Tochigi SC,3362
Thespa Kusatsu Gunma,Ehime FC,3361
Yokohama FC,Kamatamare Sanuki,3361
Yokohama FC,Cerezo Osaka,3361
Mito Hollyhock,Omiya Ardija,3360
Consadole Sapporo,Fagiano Okayama,3359
Zweigen Kanazawa,Tochigi SC,3359
Giravanz Kitakyushu,Yokohama FC,3359
Giravanz Kitakyushu,JEF United Chiba,3358
JEF United Chiba,Kyoto Sanga FC,3357
Omiya Ardija,Oita Trinita,3357
Ehime FC,Kyoto Sanga FC,3354
Jubilo Iwata,Ehime FC,3353
Ehime FC,Mito Hollyhock,3350
Fagiano Okayama,Oita Trinita,3350
Tokushima Vortis,Roasso Kumamoto,3350
Kamatamare Sanuki,Jubilo Iwata,3349
JEF United Chiba,Giravanz Kitakyushu,3349
Cerezo Osaka,Jubilo Iwata,3342
Jubilo Iwata,Giravanz Kitakyushu,3341
Tokushima Vortis,Kyoto Sanga FC,3338
Consadole Sapporo,Tokyo Verdy,3337
Kyoto Sanga FC,Cerezo Osaka,3335
Tokushima Vortis,Consadole Sapporo,3334
Omiya Ardija,Kamatamare Sanuki,3334
Avispa Fukuoka,Tochigi SC,3332
JEF United Chiba,Oita Trinita,3332
Tokushima Vortis,Yokohama FC,3327
Kamatamare Sanuki,Cerezo Osaka,3325
Kyoto Sanga FC,Avispa Fukuoka,3325
Tochigi SC,Cerezo Osaka,3319
FC Gifu,Giravanz Kitakyushu,3318
Mito Hollyhock,Ehime FC,3317
Giravanz Kitakyushu,Thespa Kusatsu Gunma,3315
Tokushima Vortis,Zweigen Kanazawa,3314
Oita Trinita,Giravanz Kitakyushu,3314
Consadole Sapporo,Ehime FC,3313
Consadole Sapporo,JEF United Chiba,3313
Jubilo Iwata,Fagiano Okayama,3312
JEF United Chiba,Zweigen Kanazawa,3309
Thespa Kusatsu Gunma,Omiya Ardija,3308
Giravanz Kitakyushu,Kyoto Sanga FC,3308
Fagiano Okayama,Cerezo Osaka,3307
Giravanz Kitakyushu,Mito Hollyhock,3304
Fagiano Okayama,Avispa Fukuoka,3304
Kyoto Sanga FC,Kamatamare Sanuki,3303
Tokyo Verdy,Oita Trinita,3303
