home_team,away_team,apt
Kawasaki Frontale,Sanfrecce Hiroshima,4173
Sanfrecce Hiroshima,Yokohama F-Marinos,4152
Kawasaki Frontale,Ventforet Kofu,3938
Urawa Reds,Ventforet Kofu,3928
Nagoya Grampus,Kawasaki Frontale,3920
Kawasaki Frontale,Kashiwa Reysol,3909
Yokohama F-Marinos,Nagoya Grampus,3888
Ventforet Kofu,Sanfrecce Hiroshima,3888
Yokohama F-Marinos,Sanfrecce Hiroshima,3883
Kawasaki Frontale,Yokohama F-Marinos,3871
Sanfrecce Hiroshima,Shimizu S-Pulse,3866
Kashiwa Reysol,Gamba Osaka,3866
Sanfrecce Hiroshima,Kawasaki Frontale,3805
Gamba Osaka,Kawasaki Frontale,3804
Sanfrecce Hiroshima,Sagan Tosu,3797
Sanfrecce Hiroshima,Matsumoto Yamaga FC,3794
Kawasaki Frontale,Vissel Kobe,3789
Kawasaki Frontale,Shonan Bellmare,3784
Shonan Bellmare,Ventforet Kofu,3779
Gamba Osaka,Kashiwa Reysol,3768
FC Tokyo,Sanfrecce Hiroshima,3764
Kawasaki Frontale,Gamba Osaka,3753
Ventforet Kofu,Shimizu S-Pulse,3749
Yokohama F-Marinos,Kashiwa Reysol,3735
Sanfrecce Hiroshima,Vissel Kobe,3726
Yokohama F-Marinos,Vissel Kobe,3721
Yokohama F-Marinos,Gamba Osaka,3714
Gamba Osaka,Urawa Reds,3708
Kashiwa Reysol,Sanfrecce Hiroshima,3702
Sanfrecce Hiroshima,Gamba Osaka,3701
Vissel Kobe,Ventforet Kofu,3698
Vissel Kobe,Shonan Bellmare,3693
Kashiwa Reysol,Ventforet Kofu,3690
Vegalta Sendai,Kawasaki Frontale,3689
Sanfrecce Hiroshima,Urawa Reds,3681
Sanfrecce Hiroshima,Shonan Bellmare,3676
Kashiwa Reysol,Yokohama F-Marinos,3670
Kawasaki Frontale,Vegalta Sendai,3669
Sanfrecce Hiroshima,Ventforet Kofu,3664
Kashiwa Reysol,Kawasaki Frontale,3655
Yokohama F-Marinos,Kawasaki Frontale,3651
Kashiwa Reysol,Urawa Reds,3643
Nagoya Grampus,Sanfrecce Hiroshima,3634
Yokohama F-Marinos,Ventforet Kofu,3631
Yokohama F-Marinos,FC Tokyo,3631
Vissel Kobe,Sanfrecce Hiroshima,3630
Vegalta Sendai,Gamba Osaka,3629
Gamba Osaka,Shimizu S-Pulse,3626
Yokohama F-Marinos,Urawa Reds,3618
Urawa Reds,Kawasaki Frontale,3613
Ventforet Kofu,FC Tokyo,3609
Sanfrecce Hiroshima,Kashima Antlers,3606
Nagoya Grampus,Ventforet Kofu,3602
Kashima Antlers,Kawasaki Frontale,3593
Ventforet Kofu,Kashiwa Reysol,3593
Yokohama F-Marinos,Kashima Antlers,3583
Nagoya Grampus,Kashiwa Reysol,3581
Kashiwa Reysol,Vissel Kobe,3578
Ventforet Kofu,Vissel Kobe,3571
Sanfrecce Hiroshima,Nagoya Grampus,3571
Nagoya Grampus,Shonan Bellmare,3570
Vegalta Sendai,Sanfrecce Hiroshima,3570
Nagoya Grampus,Urawa Reds,3567
Matsumoto Yamaga FC,Sanfrecce Hiroshima,3563
Gamba Osaka,Ventforet Kofu,3559
Montedio Yamagata,Sanfrecce Hiroshima,3559
Yokohama F-Marinos,Shimizu S-Pulse,3556
Gamba Osaka,Vissel Kobe,3554
Shimizu S-Pulse,Kawasaki Frontale,3552
Urawa Reds,Matsumoto Yamaga FC,3542
Kashima Antlers,Albirex Niigata,3541
FC Tokyo,Kashima Antlers,3540
Gamba Osaka,Sanfrecce Hiroshima,3539
Shimizu S-Pulse,Kashiwa Reysol,3536
Kashiwa Reysol,Shimizu S-Pulse,3535
Kawasaki Frontale,Kashima Antlers,3531
Albirex Niigata,Ventforet Kofu,3513
Kawasaki Frontale,Albirex Niigata,3510
Sanfrecce Hiroshima,Vegalta Sendai,3505
Kashima Antlers,Gamba Osaka,3505
Urawa Reds,Yokohama F-Marinos,3498
Kashima Antlers,Yokohama F-Marinos,3496
Sanfrecce Hiroshima,Kashiwa Reysol,3492
Kashima Antlers,Sanfrecce Hiroshima,3489
Shonan Bellmare,Sanfrecce Hiroshima,3488
Sagan Tosu,Sanfrecce Hiroshima,3485
Vissel Kobe,FC Tokyo,3483
Urawa Reds,Sanfrecce Hiroshima,3478
Vegalta Sendai,Ventforet Kofu,3474
FC Tokyo,Gamba Osaka,3470
Albirex Niigata,Shonan Bellmare,3464
Vissel Kobe,Yokohama F-Marinos,3462
FC Tokyo,Yokohama F-Marinos,3459
Urawa Reds,Vegalta Sendai,3455
Kashima Antlers,Ventforet Kofu,3454
Vissel Kobe,Gamba Osaka,3453
Urawa Reds,Shimizu S-Pulse,3448
Urawa Reds,Kashiwa Reysol,3431
Ventforet Kofu,Vegalta Sendai,3429
Kashiwa Reysol,Shonan Bellmare,3425
Vegalta Sendai,Urawa Reds,3420
FC Tokyo,Vegalta Sendai,3417
Ventforet Kofu,Yokohama F-Marinos,3414
Kashiwa Reysol,Vegalta Sendai,3412
Kashiwa Reysol,Kashima Antlers,3409
FC Tokyo,Sagan Tosu,3409
Kawasaki Frontale,Urawa Reds,3406
Vegalta Sendai,Nagoya Grampus,3397
