home_team,away_team,apt
Gamba Osaka,Matsumoto Yamaga FC,3394
Gamba Osaka,Sagan Tosu,3392
Sagan Tosu,Kashiwa Reysol,3387
Yokohama F-Marinos,Shonan Bellmare,3386
Shonan Bellmare,Kawasaki Frontale,3386
Kawasaki Frontale,Matsumoto Yamaga FC,3384
Vissel Kobe,Sagan Tosu,3383
Urawa Reds,Gamba Osaka,3382
Montedio Yamagata,Kashiwa Reysol,3381
Vissel Kobe,Matsumoto Yamaga FC,3377
Urawa Reds,Shonan Bellmare,3375
Montedio Yamagata,Shimizu S-Pulse,3374
Sagan Tosu,Kawasaki Frontale,3373
Sanfrecce Hiroshima,Albirex Niigata,3370
Kashima Antlers,Shonan Bellmare,3369
Albirex Niigata,Vissel Kobe,3365
Sanfrecce Hiroshima,FC Tokyo,3365
Urawa Reds,Nagoya Grampus,3363
Ventforet Kofu,Kawasaki Frontale,3357
Sanfrecce Hiroshima,Montedio Yamagata,3354
Vegalta Sendai,Yokohama F-Marinos,3353
Montedio Yamagata,Kawasaki Frontale,3346
Kashiwa Reysol,Matsumoto Yamaga FC,3341
Vissel Kobe,Vegalta Sendai,3334
Gamba Osaka,Vegalta Sendai,3332
Kashima Antlers,Shimizu S-Pulse,3331
Albirex Niigata,Yokohama F-Marinos,3328
Yokohama F-Marinos,Matsumoto Yamaga FC,3323
Kashiwa Reysol,Nagoya Grampus,3316
Kashima Antlers,Kashiwa Reysol,3316
Kawasaki Frontale,Nagoya Grampus,3314
Ventforet Kofu,Urawa Reds,3305
Kawasaki Frontale,Montedio Yamagata,3305
Shimizu S-Pulse,Vissel Kobe,3303
Albirex Niigata,FC Tokyo,3301
Montedio Yamagata,Ventforet Kofu,3301
Kashima Antlers,Vegalta Sendai,3293
Urawa Reds,Montedio Yamagata,3289
Albirex Niigata,Sanfrecce Hiroshima,3285
Ventforet Kofu,Sagan Tosu,3283
Shimizu S-Pulse,Ventforet Kofu,3274
Ventforet Kofu,Albirex Niigata,3273
Urawa Reds,Sagan Tosu,3271
Gamba Osaka,Shonan Bellmare,3266
Ventforet Kofu,Nagoya Grampus,3261
Gamba Osaka,FC Tokyo,3258
Shonan Bellmare,Kashiwa Reysol,3251
Urawa Reds,Vissel Kobe,3246
Gamba Osaka,Yokohama F-Marinos,3243
Kashiwa Reysol,FC Tokyo,3235
Gamba Osaka,Nagoya Grampus,3234
Kashiwa Reysol,Sagan Tosu,3234
Vissel Kobe,Albirex Niigata,3231
Albirex Niigata,Urawa Reds,3229
Ventforet Kofu,Gamba Osaka,3227
Matsumoto Yamaga FC,Kashiwa Reysol,3223
Matsumoto Yamaga FC,Vissel Kobe,3221
Matsumoto Yamaga FC,Gamba Osaka,3215
Yokohama F-Marinos,Vegalta Sendai,3207
Vissel Kobe,Shimizu S-Pulse,3207
Urawa Reds,Kashima Antlers,3207
Montedio Yamagata,Yokohama F-Marinos,3203
Urawa Reds,Albirex Niigata,3202
Gamba Osaka,Montedio Yamagata,3202
Vissel Kobe,Urawa Reds,3199
Sagan Tosu,Nagoya Grampus,3196
Kashima Antlers,Nagoya Grampus,3196
Vissel Kobe,Kawasaki Frontale,3195
Shimizu S-Pulse,Urawa Reds,3192
Nagoya Grampus,Gamba Osaka,3191
Kashiwa Reysol,Montedio Yamagata,3190
Ventforet Kofu,Kashima Antlers,3187
Matsumoto Yamaga FC,Urawa Reds,3186
Nagoya Grampus,FC Tokyo,3185
Sagan Tosu,Shonan Bellmare,3183
FC Tokyo,Shimizu S-Pulse,3180
Kawasaki Frontale,Sagan Tosu,3178
Sagan Tosu,Gamba Osaka,3177
Yokohama F-Marinos,Montedio Yamagata,3176
FC Tokyo,Nagoya Grampus,3174
Shonan Bellmare,Kashima Antlers,3173
Kawasaki Frontale,FC Tokyo,3172
Albirex Niigata,Shimizu S-Pulse,3171
Sagan Tosu,Urawa Reds,3171
FC Tokyo,Vissel Kobe,3170
Gamba Osaka,Kashima Antlers,3166
Matsumoto Yamaga FC,Kawasaki Frontale,3161
Shimizu S-Pulse,Yokohama F-Marinos,3154
FC Tokyo,Kawasaki Frontale,3152
Vegalta Sendai,Vissel Kobe,3152
Albirex Niigata,Kashima Antlers,3151
Nagoya Grampus,Vegalta Sendai,3150
Kashima Antlers,Vissel Kobe,3145
Montedio Yamagata,Vissel Kobe,3143
Yokohama F-Marinos,Albirex Niigata,3139
FC Tokyo,Urawa Reds,3137
Sagan Tosu,Yokohama F-Marinos,3136
Kawasaki Frontale,Shimizu S-Pulse,3134
Vegalta Sendai,Kashima Antlers,3131
Shimizu S-Pulse,Albirex Niigata,3129
Shonan Bellmare,Matsumoto Yamaga FC,3128
Urawa Reds,FC Tokyo,3126
Shonan Bellmare,Albirex Niigata,3122
Shimizu S-Pulse,Sanfrecce Hiroshima,3122
Kashima Antlers,FC Tokyo,3121
Matsumoto Yamaga FC,Kashima Antlers,3120
Albirex Niigata,Kawasaki Frontale,3120
Sagan Tosu,Shimizu S-Pulse,3113
Shonan Bellmare,Nagoya Grampus,3108
Shimizu S-Pulse,Gamba Osaka,3096
Sagan Tosu,Vegalta Sendai,3092
Shonan Bellmare,Gamba Osaka,3091
Nagoya Grampus,Kashima Antlers,3087
Nagoya Grampus,Shimizu S-Pulse,3083
Gamba Osaka,Albirex Niigata,3082
Ventforet Kofu,Montedio Yamagata,3079
Matsumoto Yamaga FC,Yokohama F-Marinos,3079
Shonan Bellmare,Sagan Tosu,3078
Sagan Tosu,Ventforet Kofu,3077
Vissel Kobe,Montedio Yamagata,3076
Sagan Tosu,Vissel Kobe,3075
Nagoya Grampus,Yokohama F-Marinos,3072
Shonan Bellmare,Shimizu S-Pulse,3071
Vissel Kobe,Kashiwa Reysol,3057
Ventforet Kofu,Shonan Bellmare,3055
Sagan Tosu,Kashima Antlers,3052
Shonan Bellmare,Urawa Reds,3031
Shonan Bellmare,Yokohama F-Marinos,3026
Shimizu S-Pulse,FC Tokyo,3020
Vegalta Sendai,Sagan Tosu,2999
Albirex Niigata,Kashiwa Reysol,2997
FC Tokyo,Ventforet Kofu,2990
Albirex Niigata,Vegalta Sendai,2989
Albirex Niigata,Nagoya Grampus,2988
Shimizu S-Pulse,Montedio Yamagata,2983
Shonan Bellmare,Vegalta Sendai,2982
Nagoya Grampus,Vissel Kobe,2979
Albirex Niigata,Gamba Osaka,2976
Nagoya Grampus,Montedio Yamagata,2958
Kashiwa Reysol,Albirex Niigata,2937
FC Tokyo,Albirex Niigata,2925
Shonan Bellmare,FC Tokyo,2923
Shimizu S-Pulse,Sagan Tosu,2918
Albirex Niigata,Montedio Yamagata,2916
Montedio Yamagata,Sagan Tosu,2915
Montedio Yamagata,Albirex Niigata,2914
Albirex Niigata,Sagan Tosu,2913
Matsumoto Yamaga FC,Sagan Tosu,2911
Nagoya Grampus,Sagan Tosu,2909
FC Tokyo,Shonan Bellmare,2909
Shonan Bellmare,Vissel Kobe,2905
Vegalta Sendai,Montedio Yamagata,2904
Ventforet Kofu,Matsumoto Yamaga FC,2903
FC Tokyo,Kashiwa Reysol,2887
Vegalta Sendai,Albirex Niigata,2885
Sagan Tosu,Matsumoto Yamaga FC,2884
Kashima Antlers,Matsumoto Yamaga FC,2884
Nagoya Grampus,Albirex Niigata,2883
Vissel Kobe,Nagoya Grampus,2872
Vegalta Sendai,Kashiwa Reysol,2867
Matsumoto Yamaga FC,Ventforet Kofu,2866
Sagan Tosu,FC Tokyo,2866
Kashima Antlers,Urawa Reds,2858
Yokohama F-Marinos,Sagan Tosu,2850
Vissel Kobe,Kashima Antlers,2850
Shonan Bellmare,Montedio Yamagata,2837
Matsumoto Yamaga FC,FC Tokyo,2831
Kashima Antlers,Montedio Yamagata,2831
Nagoya Grampus,Matsumoto Yamaga FC,2820
Montedio Yamagata,Shonan Bellmare,2818
Montedio Yamagata,Matsumoto Yamaga FC,2810
Montedio Yamagata,Gamba Osaka,2804
Albirex Niigata,Matsumoto Yamaga FC,2800
Matsumoto Yamaga FC,Vegalta Sendai,2795
Matsumoto Yamaga FC,Nagoya Grampus,2793
Shimizu S-Pulse,Matsumoto Yamaga FC,2777
Shimizu S-Pulse,Kashima Antlers,2776
Shimizu S-Pulse,Shonan Bellmare,2773
Montedio Yamagata,Kashima Antlers,2762
Montedio Yamagata,Urawa Reds,2762
Montedio Yamagata,Nagoya Grampus,2755
Shimizu S-Pulse,Vegalta Sendai,2745
Matsumoto Yamaga FC,Shonan Bellmare,2739
Sagan Tosu,Albirex Niigata,2713
Shimizu S-Pulse,Nagoya Grampus,2713
Vegalta Sendai,Shimizu S-Pulse,2680
Vegalta Sendai,FC Tokyo,2679
Montedio Yamagata,FC Tokyo,2664
Montedio Yamagata,Vegalta Sendai,2663
FC Tokyo,Montedio Yamagata,2656
Vegalta Sendai,Shonan Bellmare,2649
Sagan Tosu,Montedio Yamagata,2612
Kashima Antlers,Sagan Tosu,2583
Matsumoto Yamaga FC,Shimizu S-Pulse,2555
Vegalta Sendai,Matsumoto Yamaga FC,2546
Matsumoto Yamaga FC,Montedio Yamagata,2542
Matsumoto Yamaga FC,Albirex Niigata,2441
FC Tokyo,Matsumoto Yamaga FC,2436
