home_team,away_team,apt
Cerezo Osaka,Shonan Bellmare,3283
Kashima Antlers,Yokohama F-Marinos,3284
Oita Trinita,Jubilo Iwata,3285
Kashiwa Reysol,Albirex Niigata,3289
Kashiwa Reysol,Vegalta Sendai,3291
Ventforet Kofu,Nagoya Grampus,3294
Cerezo Osaka,Nagoya Grampus,3295
Vegalta Sendai,Urawa Reds,3296
Albirex Niigata,Nagoya Grampus,3298
Urawa Reds,Kawasaki Frontale,3301
Kawasaki Frontale,Cerezo Osaka,3305
Vegalta Sendai,Kashima Antlers,3307
FC Tokyo,Nagoya Grampus,3312
Kawasaki Frontale,Sagan Tosu,3319
Kashiwa Reysol,Shimizu S-Pulse,3323
Kawasaki Frontale,Omiya Ardija,3333
Nagoya Grampus,Sanfrecce Hiroshima,3340
Yokohama F-Marinos,Cerezo Osaka,3341
Kawasaki Frontale,Ventforet Kofu,3342
Kashima Antlers,FC Tokyo,3343
Yokohama F-Marinos,Omiya Ardija,3343
Kawasaki Frontale,Sanfrecce Hiroshima,3347
Omiya Ardija,FC Tokyo,3349
Kashima Antlers,Oita Trinita,3351
Albirex Niigata,Urawa Reds,3353
Ventforet Kofu,Urawa Reds,3361
Shonan Bellmare,Albirex Niigata,3362
Urawa Reds,Yokohama F-Marinos,3365
Kashima Antlers,Shimizu S-Pulse,3370
Oita Trinita,Kashiwa Reysol,3372
Ventforet Kofu,Sagan Tosu,3376
Jubilo Iwata,Cerezo Osaka,3377
Omiya Ardija,Shimizu S-Pulse,3379
Sagan Tosu,Albirex Niigata,3380
Shonan Bellmare,Kawasaki Frontale,3381
Shimizu S-Pulse,Kashiwa Reysol,3381
Cerezo Osaka,Omiya Ardija,3385
Ventforet Kofu,Shimizu S-Pulse,3385
Nagoya Grampus,Oita Trinita,3386
Oita Trinita,Kawasaki Frontale,3388
Sanfrecce Hiroshima,Vegalta Sendai,3392
Omiya Ardija,Oita Trinita,3393
Jubilo Iwata,Kawasaki Frontale,3394
Sagan Tosu,Cerezo Osaka,3396
Vegalta Sendai,Kawasaki Frontale,3397
Shimizu S-Pulse,Ventforet Kofu,3401
Sagan Tosu,Sanfrecce Hiroshima,3404
Sanfrecce Hiroshima,Jubilo Iwata,3405
Oita Trinita,Cerezo Osaka,3407
Omiya Ardija,Shonan Bellmare,3408
Oita Trinita,Ventforet Kofu,3409
Oita Trinita,Nagoya Grampus,3410
Ventforet Kofu,Kawasaki Frontale,3414
Vegalta Sendai,Kashiwa Reysol,3416
Cerezo Osaka,Kawasaki Frontale,3417
Kashiwa Reysol,Oita Trinita,3420
FC Tokyo,Kashiwa Reysol,3423
Kawasaki Frontale,Oita Trinita,3426
FC Tokyo,Cerezo Osaka,3432
FC Tokyo,Yokohama F-Marinos,3433
Kashima Antlers,Omiya Ardija,3434
Cerezo Osaka,Kashima Antlers,3434
Omiya Ardija,Urawa Reds,3440
FC Tokyo,Shonan Bellmare,3446
Cerezo Osaka,Kashiwa Reysol,3448
Kawasaki Frontale,Shonan Bellmare,3449
Kashiwa Reysol,Kawasaki Frontale,3454
Jubilo Iwata,Kashima Antlers,3457
Vegalta Sendai,FC Tokyo,3459
Omiya Ardija,Sagan Tosu,3459
Vegalta Sendai,Albirex Niigata,3464
FC Tokyo,Kashima Antlers,3464
Kashima Antlers,Urawa Reds,3468
Shonan Bellmare,Kashiwa Reysol,3470
Shimizu S-Pulse,Urawa Reds,3470
Kashiwa Reysol,Urawa Reds,3472
Kawasaki Frontale,Vegalta Sendai,3473
Nagoya Grampus,Omiya Ardija,3481
Vegalta Sendai,Sanfrecce Hiroshima,3484
Jubilo Iwata,FC Tokyo,3484
Urawa Reds,Vegalta Sendai,3486
Albirex Niigata,FC Tokyo,3487
Cerezo Osaka,Albirex Niigata,3488
Shimizu S-Pulse,FC Tokyo,3491
Kawasaki Frontale,Albirex Niigata,3494
Kashiwa Reysol,Ventforet Kofu,3496
Ventforet Kofu,Oita Trinita,3499
Nagoya Grampus,Kashiwa Reysol,3503
Yokohama F-Marinos,FC Tokyo,3505
Sanfrecce Hiroshima,Omiya Ardija,3506
Sanfrecce Hiroshima,Sagan Tosu,3507
FC Tokyo,Omiya Ardija,3511
Kashiwa Reysol,Jubilo Iwata,3512
Vegalta Sendai,Jubilo Iwata,3513
Vegalta Sendai,Sagan Tosu,3514
Albirex Niigata,Ventforet Kofu,3515
Albirex Niigata,Oita Trinita,3515
Kawasaki Frontale,Urawa Reds,3517
Ventforet Kofu,Jubilo Iwata,3523
Kashima Antlers,Kashiwa Reysol,3529
Albirex Niigata,Sanfrecce Hiroshima,3531
Urawa Reds,Albirex Niigata,3532
Shimizu S-Pulse,Vegalta Sendai,3533
Kashima Antlers,Vegalta Sendai,3537
Shimizu S-Pulse,Sanfrecce Hiroshima,3538
Sagan Tosu,Jubilo Iwata,3541
FC Tokyo,Sagan Tosu,3545
Cerezo Osaka,Sanfrecce Hiroshima,3549
Ventforet Kofu,Vegalta Sendai,3554
Shonan Bellmare,Shimizu S-Pulse,3562
Jubilo Iwata,Vegalta Sendai,3562
FC Tokyo,Oita Trinita,3570
Omiya Ardija,Cerezo Osaka,3570
Cerezo Osaka,FC Tokyo,3572
Ventforet Kofu,Kashima Antlers,3573
Jubilo Iwata,Oita Trinita,3575
Jubilo Iwata,Omiya Ardija,3576
FC Tokyo,Ventforet Kofu,3577
Oita Trinita,Urawa Reds,3584
Urawa Reds,Ventforet Kofu,3585
Cerezo Osaka,Oita Trinita,3588
Jubilo Iwata,Urawa Reds,3590
Urawa Reds,Oita Trinita,3590
Urawa Reds,Shimizu S-Pulse,3593
FC Tokyo,Jubilo Iwata,3594
Cerezo Osaka,Urawa Reds,3594
Ventforet Kofu,FC Tokyo,3595
Cerezo Osaka,Ventforet Kofu,3600
Kashiwa Reysol,Shonan Bellmare,3602
Shonan Bellmare,Cerezo Osaka,3606
Sanfrecce Hiroshima,Kashima Antlers,3609
Kashiwa Reysol,Sanfrecce Hiroshima,3609
Sanfrecce Hiroshima,Urawa Reds,3618
Omiya Ardija,Kawasaki Frontale,3621
Kashima Antlers,Shonan Bellmare,3622
Yokohama F-Marinos,Urawa Reds,3632
Urawa Reds,FC Tokyo,3638
Omiya Ardija,Ventforet Kofu,3640
Shonan Bellmare,FC Tokyo,3650
Kashima Antlers,Ventforet Kofu,3653
FC Tokyo,Shimizu S-Pulse,3662
Nagoya Grampus,Vegalta Sendai,3672
Sanfrecce Hiroshima,Kawasaki Frontale,3673
FC Tokyo,Urawa Reds,3676
Sagan Tosu,Vegalta Sendai,3680
Shimizu S-Pulse,Kawasaki Frontale,3686
Urawa Reds,Jubilo Iwata,3687
Ventforet Kofu,Omiya Ardija,3688
Ventforet Kofu,Sanfrecce Hiroshima,3693
Sanfrecce Hiroshima,Nagoya Grampus,3697
Kashiwa Reysol,FC Tokyo,3702
Jubilo Iwata,Sanfrecce Hiroshima,3703
Vegalta Sendai,Cerezo Osaka,3703
Jubilo Iwata,Ventforet Kofu,3703
Ventforet Kofu,Yokohama F-Marinos,3704
Sanfrecce Hiroshima,Shonan Bellmare,3706
FC Tokyo,Kawasaki Frontale,3710
Sanfrecce Hiroshima,Albirex Niigata,3715
Nagoya Grampus,Urawa Reds,3724
Nagoya Grampus,Cerezo Osaka,3742
Sagan Tosu,Kawasaki Frontale,3753
Shonan Bellmare,Sanfrecce Hiroshima,3767
Nagoya Grampus,Jubilo Iwata,3769
Omiya Ardija,Sanfrecce Hiroshima,3782
Kashima Antlers,Sanfrecce Hiroshima,3788
Urawa Reds,Shonan Bellmare,3794
Kashima Antlers,Albirex Niigata,3796
Urawa Reds,Cerezo Osaka,3796
Sanfrecce Hiroshima,Oita Trinita,3818
Nagoya Grampus,Shonan Bellmare,3823
Sanfrecce Hiroshima,FC Tokyo,3853
Sanfrecce Hiroshima,Ventforet Kofu,3862
FC Tokyo,Sanfrecce Hiroshima,3892
Urawa Reds,Sanfrecce Hiroshima,3893
Sanfrecce Hiroshima,Kashiwa Reysol,3912
Oita Trinita,Sanfrecce Hiroshima,4091
Sanfrecce Hiroshima,Cerezo Osaka,4096
Cerezo Osaka,Vegalta Sendai,4153
