home_team,away_team,apt
Shonan Bellmare,Oita Trinita,2530
Albirex Niigata,Shimizu S-Pulse,2608
Sagan Tosu,Oita Trinita,2709
Sagan Tosu,Shimizu S-Pulse,2741
Nagoya Grampus,Sagan Tosu,2746
Shimizu S-Pulse,Nagoya Grampus,2769
Yokohama F-Marinos,Kashima Antlers,2775
Sagan Tosu,Kashiwa Reysol,2788
Shimizu S-Pulse,Kashima Antlers,2821
Sagan Tosu,Shonan Bellmare,2821
Oita Trinita,Sagan Tosu,2827
Yokohama F-Marinos,Oita Trinita,2830
Jubilo Iwata,Shimizu S-Pulse,2853
Cerezo Osaka,Yokohama F-Marinos,2881
Jubilo Iwata,Yokohama F-Marinos,2901
Albirex Niigata,Yokohama F-Marinos,2906
Yokohama F-Marinos,Ventforet Kofu,2908
Yokohama F-Marinos,Kawasaki Frontale,2923
Omiya Ardija,Yokohama F-Marinos,2945
Albirex Niigata,Sagan Tosu,2946
Nagoya Grampus,Yokohama F-Marinos,2948
Sagan Tosu,Omiya Ardija,2951
Omiya Ardija,Vegalta Sendai,2957
Sagan Tosu,Yokohama F-Marinos,2964
FC Tokyo,Vegalta Sendai,2969
Jubilo Iwata,Sagan Tosu,2975
Yokohama F-Marinos,Vegalta Sendai,2983
Shimizu S-Pulse,Cerezo Osaka,2991
Ventforet Kofu,Shonan Bellmare,2997
Ventforet Kofu,Albirex Niigata,2998
Jubilo Iwata,Nagoya Grampus,2999
Cerezo Osaka,Sagan Tosu,3007
Vegalta Sendai,Shimizu S-Pulse,3009
Sagan Tosu,Nagoya Grampus,3012
Nagoya Grampus,Kashima Antlers,3016
Urawa Reds,Kashima Antlers,3023
FC Tokyo,Albirex Niigata,3025
Kawasaki Frontale,Shimizu S-Pulse,3027
Albirex Niigata,Kashima Antlers,3035
Shimizu S-Pulse,Shonan Bellmare,3038
Oita Trinita,Omiya Ardija,3039
Yokohama F-Marinos,Jubilo Iwata,3043
Albirex Niigata,Kashiwa Reysol,3047
Yokohama F-Marinos,Nagoya Grampus,3047
Shonan Bellmare,Omiya Ardija,3055
Kashiwa Reysol,Nagoya Grampus,3058
Albirex Niigata,Kawasaki Frontale,3061
Kashiwa Reysol,Sagan Tosu,3062
Yokohama F-Marinos,Albirex Niigata,3067
Jubilo Iwata,Kashiwa Reysol,3073
Shonan Bellmare,Yokohama F-Marinos,3073
Urawa Reds,Kashiwa Reysol,3078
Urawa Reds,Omiya Ardija,3086
Shimizu S-Pulse,Omiya Ardija,3091
Albirex Niigata,Shonan Bellmare,3094
Sagan Tosu,FC Tokyo,3100
Kashiwa Reysol,Yokohama F-Marinos,3102
Omiya Ardija,Kashiwa Reysol,3103
Jubilo Iwata,Albirex Niigata,3105
Sanfrecce Hiroshima,Shimizu S-Pulse,3105
Kawasaki Frontale,Yokohama F-Marinos,3114
Kashiwa Reysol,Omiya Ardija,3115
Shimizu S-Pulse,Albirex Niigata,3118
Omiya Ardija,Jubilo Iwata,3118
Shonan Bellmare,Urawa Reds,3119
Yokohama F-Marinos,Sagan Tosu,3120
Nagoya Grampus,Kawasaki Frontale,3127
Oita Trinita,Shimizu S-Pulse,3128
Ventforet Kofu,Kashiwa Reysol,3131
Yokohama F-Marinos,Shimizu S-Pulse,3132
Shonan Bellmare,Nagoya Grampus,3141
Oita Trinita,Vegalta Sendai,3145
Kawasaki Frontale,FC Tokyo,3146
Kashiwa Reysol,Kashima Antlers,3148
Albirex Niigata,Jubilo Iwata,3148
Kawasaki Frontale,Kashima Antlers,3151
Shimizu S-Pulse,Sagan Tosu,3153
Shonan Bellmare,Kashima Antlers,3154
Sanfrecce Hiroshima,Yokohama F-Marinos,3158
Nagoya Grampus,FC Tokyo,3161
Vegalta Sendai,Oita Trinita,3166
Kawasaki Frontale,Kashiwa Reysol,3166
Omiya Ardija,Nagoya Grampus,3172
Albirex Niigata,Vegalta Sendai,3176
Kashima Antlers,Sagan Tosu,3182
Yokohama F-Marinos,Shonan Bellmare,3185
Shimizu S-Pulse,Oita Trinita,3186
Nagoya Grampus,Albirex Niigata,3187
Ventforet Kofu,Cerezo Osaka,3192
Sagan Tosu,Urawa Reds,3192
Oita Trinita,Kashima Antlers,3194
Jubilo Iwata,Shonan Bellmare,3195
Oita Trinita,Albirex Niigata,3196
Kashima Antlers,Cerezo Osaka,3197
Albirex Niigata,Cerezo Osaka,3197
Albirex Niigata,Omiya Ardija,3198
Urawa Reds,Sagan Tosu,3199
Cerezo Osaka,Shimizu S-Pulse,3200
Kawasaki Frontale,Jubilo Iwata,3200
Yokohama F-Marinos,Sanfrecce Hiroshima,3205
Kashima Antlers,Kawasaki Frontale,3206
Vegalta Sendai,Yokohama F-Marinos,3207
Oita Trinita,FC Tokyo,3214
Sagan Tosu,Kashima Antlers,3221
Vegalta Sendai,Nagoya Grampus,3222
Cerezo Osaka,Jubilo Iwata,3224
Kashiwa Reysol,Cerezo Osaka,3226
Shonan Bellmare,Jubilo Iwata,3227
Nagoya Grampus,Ventforet Kofu,3227
Oita Trinita,Yokohama F-Marinos,3229
Omiya Ardija,Albirex Niigata,3233
Vegalta Sendai,Omiya Ardija,3236
Vegalta Sendai,Ventforet Kofu,3237
Kashima Antlers,Jubilo Iwata,3241
Yokohama F-Marinos,Kashiwa Reysol,3241
Nagoya Grampus,Shimizu S-Pulse,3242
Kashima Antlers,Nagoya Grampus,3243
Sagan Tosu,Ventforet Kofu,3253
Urawa Reds,Nagoya Grampus,3255
Omiya Ardija,Kashima Antlers,3255
Oita Trinita,Shonan Bellmare,3265
Shimizu S-Pulse,Yokohama F-Marinos,3268
Kawasaki Frontale,Nagoya Grampus,3269
Shimizu S-Pulse,Jubilo Iwata,3272
Shonan Bellmare,Ventforet Kofu,3272
Shonan Bellmare,Vegalta Sendai,3272
Shonan Bellmare,Sagan Tosu,3281
Vegalta Sendai,Shonan Bellmare,3282
