home_team,away_team,apt
Vegalta Sendai,Sanfrecce Hiroshima,4205
Sanfrecce Hiroshima,Sagan Tosu,4007
Urawa Reds,Sanfrecce Hiroshima,3993
Kawasaki Frontale,Sanfrecce Hiroshima,3983
Gamba Osaka,Urawa Reds,3978
Kashiwa Reysol,Urawa Reds,3943
Tokushima Vortis,Kawasaki Frontale,3939
Tokushima Vortis,Gamba Osaka,3910
Cerezo Osaka,Sanfrecce Hiroshima,3902
Vissel Kobe,Sanfrecce Hiroshima,3871
Urawa Reds,Ventforet Kofu,3871
Sanfrecce Hiroshima,Kawasaki Frontale,3857
Sanfrecce Hiroshima,Cerezo Osaka,3845
Albirex Niigata,Sanfrecce Hiroshima,3833
Sagan Tosu,Sanfrecce Hiroshima,3829
Sanfrecce Hiroshima,Urawa Reds,3818
FC Tokyo,Ventforet Kofu,3798
Kawasaki Frontale,Tokushima Vortis,3792
Omiya Ardija,Ventforet Kofu,3787
Urawa Reds,FC Tokyo,3783
Tokushima Vortis,Kashiwa Reysol,3782
Shimizu S-Pulse,Sanfrecce Hiroshima,3781
Urawa Reds,Vegalta Sendai,3780
Kawasaki Frontale,Ventforet Kofu,3780
Sanfrecce Hiroshima,Vegalta Sendai,3773
Kawasaki Frontale,Gamba Osaka,3765
Kashiwa Reysol,Omiya Ardija,3759
Kashiwa Reysol,Cerezo Osaka,3756
Sanfrecce Hiroshima,Vissel Kobe,3755
Sanfrecce Hiroshima,Yokohama F-Marinos,3734
Ventforet Kofu,Albirex Niigata,3733
Vegalta Sendai,Kawasaki Frontale,3731
Ventforet Kofu,Yokohama F-Marinos,3728
Sanfrecce Hiroshima,Ventforet Kofu,3722
Kawasaki Frontale,Kashiwa Reysol,3718
Urawa Reds,Shimizu S-Pulse,3714
Yokohama F-Marinos,Sanfrecce Hiroshima,3711
Sanfrecce Hiroshima,Tokushima Vortis,3705
Sanfrecce Hiroshima,Omiya Ardija,3705
Kashiwa Reysol,Gamba Osaka,3701
Kashima Antlers,Sanfrecce Hiroshima,3693
Shimizu S-Pulse,Kawasaki Frontale,3692
Sanfrecce Hiroshima,Albirex Niigata,3691
Vissel Kobe,Kashiwa Reysol,3684
Sanfrecce Hiroshima,Shimizu S-Pulse,3674
Kawasaki Frontale,Yokohama F-Marinos,3674
Vissel Kobe,Ventforet Kofu,3672
