home_team,away_team,apt
Ventforet Kofu,Sanfrecce Hiroshima,3671
FC Tokyo,Sanfrecce Hiroshima,3669
Kashima Antlers,Tokushima Vortis,3668
Sanfrecce Hiroshima,Gamba Osaka,3667
Kashima Antlers,Vegalta Sendai,3661
Kawasaki Frontale,Omiya Ardija,3655
Urawa Reds,Yokohama F-Marinos,3649
Cerezo Osaka,Gamba Osaka,3647
Urawa Reds,Omiya Ardija,3642
Gamba Osaka,Kashima Antlers,3638
Sagan Tosu,Ventforet Kofu,3637
Vegalta Sendai,Gamba Osaka,3635
Ventforet Kofu,FC Tokyo,3635
Gamba Osaka,Sanfrecce Hiroshima,3630
Omiya Ardija,Albirex Niigata,3627
Sagan Tosu,Shimizu S-Pulse,3624
Gamba Osaka,Tokushima Vortis,3622
Vissel Kobe,Yokohama F-Marinos,3620
Kawasaki Frontale,Vegalta Sendai,3613
Urawa Reds,Kawasaki Frontale,3610
Sagan Tosu,Kashiwa Reysol,3608
FC Tokyo,Kawasaki Frontale,3606
Ventforet Kofu,Kawasaki Frontale,3606
Urawa Reds,Kashiwa Reysol,3600
Nagoya Grampus,Omiya Ardija,3597
Ventforet Kofu,Tokushima Vortis,3594
Cerezo Osaka,Vegalta Sendai,3589
Kashima Antlers,Gamba Osaka,3587
Nagoya Grampus,Gamba Osaka,3585
Tokushima Vortis,Vissel Kobe,3583
Albirex Niigata,Ventforet Kofu,3579
Urawa Reds,Gamba Osaka,3578
Albirex Niigata,FC Tokyo,3569
Ventforet Kofu,Urawa Reds,3559
Gamba Osaka,Ventforet Kofu,3555
Ventforet Kofu,Sagan Tosu,3555
Sanfrecce Hiroshima,FC Tokyo,3554
Tokushima Vortis,Urawa Reds,3554
FC Tokyo,Gamba Osaka,3549
Ventforet Kofu,Cerezo Osaka,3549
Omiya Ardija,Cerezo Osaka,3548
Omiya Ardija,Nagoya Grampus,3547
Shimizu S-Pulse,Urawa Reds,3541
Omiya Ardija,Sagan Tosu,3539
Nagoya Grampus,Vegalta Sendai,3539
Kashima Antlers,Cerezo Osaka,3538
Urawa Reds,Nagoya Grampus,3532
Albirex Niigata,Vissel Kobe,3526
Omiya Ardija,Urawa Reds,3525
Nagoya Grampus,Ventforet Kofu,3522
Cerezo Osaka,Kashima Antlers,3522
Vissel Kobe,Tokushima Vortis,3517
Nagoya Grampus,Yokohama F-Marinos,3517
Albirex Niigata,Urawa Reds,3517
Urawa Reds,Sagan Tosu,3515
Cerezo Osaka,Omiya Ardija,3515
Gamba Osaka,Kashiwa Reysol,3513
Kawasaki Frontale,Albirex Niigata,3513
Kashima Antlers,Sagan Tosu,3513
Omiya Ardija,Kawasaki Frontale,3510
Kawasaki Frontale,Kashima Antlers,3505
Nagoya Grampus,Kawasaki Frontale,3505
Tokushima Vortis,Cerezo Osaka,3500
Sanfrecce Hiroshima,Kashima Antlers,3500
Tokushima Vortis,Sanfrecce Hiroshima,3500
Omiya Ardija,Vegalta Sendai,3499
Kawasaki Frontale,Cerezo Osaka,3499
Cerezo Osaka,Sagan Tosu,3495
Kashiwa Reysol,Vissel Kobe,3495
Kashiwa Reysol,Ventforet Kofu,3494
Omiya Ardija,Sanfrecce Hiroshima,3490
Urawa Reds,Kashima Antlers,3488
Sagan Tosu,FC Tokyo,3487
Omiya Ardija,Yokohama F-Marinos,3487
FC Tokyo,Kashiwa Reysol,3481
Nagoya Grampus,Tokushima Vortis,3478
Yokohama F-Marinos,Tokushima Vortis,3476
Kawasaki Frontale,Nagoya Grampus,3473
Gamba Osaka,Vegalta Sendai,3461
Shimizu S-Pulse,Kashiwa Reysol,3460
Omiya Ardija,Kashiwa Reysol,3460
Vissel Kobe,Shimizu S-Pulse,3458
Ventforet Kofu,Kashiwa Reysol,3453
Kashiwa Reysol,Albirex Niigata,3447
Urawa Reds,Cerezo Osaka,3445
Gamba Osaka,Shimizu S-Pulse,3444
Ventforet Kofu,Shimizu S-Pulse,3441
Albirex Niigata,Cerezo Osaka,3438
FC Tokyo,Vegalta Sendai,3433
Kawasaki Frontale,Urawa Reds,3433
Albirex Niigata,Kashiwa Reysol,3429
Albirex Niigata,Gamba Osaka,3428
Yokohama F-Marinos,FC Tokyo,3424
Urawa Reds,Albirex Niigata,3424
Urawa Reds,Vissel Kobe,3423
Ventforet Kofu,Vissel Kobe,3412
Kawasaki Frontale,Vissel Kobe,3408
Sanfrecce Hiroshima,Kashiwa Reysol,3408
Kashiwa Reysol,Yokohama F-Marinos,3404
Yokohama F-Marinos,Urawa Reds,3404
Vissel Kobe,Albirex Niigata,3403
Vissel Kobe,Omiya Ardija,3402
Gamba Osaka,Vissel Kobe,3401
Albirex Niigata,Kawasaki Frontale,3399
Tokushima Vortis,FC Tokyo,3393
Vissel Kobe,Urawa Reds,3388
Kashima Antlers,Vissel Kobe,3388
Nagoya Grampus,Cerezo Osaka,3387
Vegalta Sendai,Vissel Kobe,3386
Cerezo Osaka,Albirex Niigata,3383
Vissel Kobe,Gamba Osaka,3382
FC Tokyo,Cerezo Osaka,3377
Yokohama F-Marinos,Omiya Ardija,3373
Nagoya Grampus,Shimizu S-Pulse,3363
Vissel Kobe,Nagoya Grampus,3359
Vegalta Sendai,Kashiwa Reysol,3358
Gamba Osaka,Albirex Niigata,3355
Vegalta Sendai,Tokushima Vortis,3354
Tokushima Vortis,Kashima Antlers,3342
Vissel Kobe,Cerezo Osaka,3341
Cerezo Osaka,Vissel Kobe,3341
Yokohama F-Marinos,Sagan Tosu,3339
Cerezo Osaka,Yokohama F-Marinos,3339
Kashiwa Reysol,Sagan Tosu,3327
Cerezo Osaka,Shimizu S-Pulse,3322
Nagoya Grampus,Sanfrecce Hiroshima,3322
Kawasaki Frontale,Shimizu S-Pulse,3321
Nagoya Grampus,Urawa Reds,3315
Yokohama F-Marinos,Cerezo Osaka,3310
Vissel Kobe,Vegalta Sendai,3309
Ventforet Kofu,Nagoya Grampus,3307
Omiya Ardija,Gamba Osaka,3306
Yokohama F-Marinos,Vegalta Sendai,3303
Yokohama F-Marinos,Shimizu S-Pulse,3301
Kashima Antlers,Omiya Ardija,3295
Omiya Ardija,Vissel Kobe,3294
Kashiwa Reysol,Kashima Antlers,3294
Tokushima Vortis,Yokohama F-Marinos,3293
Vissel Kobe,FC Tokyo,3286
Shimizu S-Pulse,Gamba Osaka,3282
Yokohama F-Marinos,Kashima Antlers,3281
Yokohama F-Marinos,Ventforet Kofu,3280
Kashima Antlers,Albirex Niigata,3278
Cerezo Osaka,Kawasaki Frontale,3278
Kashiwa Reysol,Shimizu S-Pulse,3278
Kashiwa Reysol,FC Tokyo,3276
Kashiwa Reysol,Tokushima Vortis,3269
Vegalta Sendai,Ventforet Kofu,3268
Ventforet Kofu,Gamba Osaka,3268
Omiya Ardija,Tokushima Vortis,3267
FC Tokyo,Urawa Reds,3264
Cerezo Osaka,Urawa Reds,3262
Kashima Antlers,Urawa Reds,3260
Shimizu S-Pulse,Vissel Kobe,3257
Vegalta Sendai,Urawa Reds,3254
FC Tokyo,Vissel Kobe,3253
Kashima Antlers,Nagoya Grampus,3251
Kawasaki Frontale,Sagan Tosu,3251
Yokohama F-Marinos,Gamba Osaka,3245
Tokushima Vortis,Omiya Ardija,3240
Albirex Niigata,Kashima Antlers,3238
Yokohama F-Marinos,Kawasaki Frontale,3236
Kashiwa Reysol,Kawasaki Frontale,3231
Kashima Antlers,Kawasaki Frontale,3231
Sagan Tosu,Gamba Osaka,3228
Sagan Tosu,Kawasaki Frontale,3222
Gamba Osaka,Omiya Ardija,3219
Nagoya Grampus,Sagan Tosu,3216
Sanfrecce Hiroshima,Nagoya Grampus,3215
FC Tokyo,Omiya Ardija,3210
Kashiwa Reysol,Vegalta Sendai,3203
Sagan Tosu,Nagoya Grampus,3203
FC Tokyo,Tokushima Vortis,3203
Kashima Antlers,Kashiwa Reysol,3203
Shimizu S-Pulse,Omiya Ardija,3197
Ventforet Kofu,Omiya Ardija,3191
Vissel Kobe,Kashima Antlers,3186
Tokushima Vortis,Albirex Niigata,3181
FC Tokyo,Yokohama F-Marinos,3181
Cerezo Osaka,FC Tokyo,3180
Shimizu S-Pulse,Sagan Tosu,3176
Tokushima Vortis,Sagan Tosu,3176
Kashima Antlers,Ventforet Kofu,3173
Kashiwa Reysol,Nagoya Grampus,3164
Sagan Tosu,Cerezo Osaka,3160
FC Tokyo,Shimizu S-Pulse,3159
Omiya Ardija,Shimizu S-Pulse,3156
Albirex Niigata,Tokushima Vortis,3153
Shimizu S-Pulse,Yokohama F-Marinos,3147
Gamba Osaka,FC Tokyo,3147
Gamba Osaka,Cerezo Osaka,3142
Gamba Osaka,Sagan Tosu,3141
Shimizu S-Pulse,Ventforet Kofu,3141
Gamba Osaka,Kawasaki Frontale,3140
Vegalta Sendai,FC Tokyo,3129
Vegalta Sendai,Albirex Niigata,3124
Kashima Antlers,Yokohama F-Marinos,3122
Ventforet Kofu,Kashima Antlers,3118
Shimizu S-Pulse,FC Tokyo,3112
Vissel Kobe,Kawasaki Frontale,3109
Albirex Niigata,Omiya Ardija,3108
Omiya Ardija,FC Tokyo,3108
Yokohama F-Marinos,Nagoya Grampus,3107
Albirex Niigata,Yokohama F-Marinos,3105
Gamba Osaka,Nagoya Grampus,3105
Vegalta Sendai,Nagoya Grampus,3103
Vegalta Sendai,Yokohama F-Marinos,3097
Sagan Tosu,Albirex Niigata,3094
Cerezo Osaka,Tokushima Vortis,3092
Tokushima Vortis,Vegalta Sendai,3090
FC Tokyo,Kashima Antlers,3085
Sagan Tosu,Vissel Kobe,3085
Vegalta Sendai,Cerezo Osaka,3084
Nagoya Grampus,Kashiwa Reysol,3082
Vegalta Sendai,Kashima Antlers,3081
Shimizu S-Pulse,Nagoya Grampus,3079
Yokohama F-Marinos,Albirex Niigata,3079
Gamba Osaka,Yokohama F-Marinos,3077
Sagan Tosu,Yokohama F-Marinos,3070
Ventforet Kofu,Vegalta Sendai,3060
Shimizu S-Pulse,Tokushima Vortis,3059
Vissel Kobe,Sagan Tosu,3057
Cerezo Osaka,Ventforet Kofu,3057
Nagoya Grampus,Vissel Kobe,3055
Yokohama F-Marinos,Kashiwa Reysol,3055
Shimizu S-Pulse,Albirex Niigata,3054
Albirex Niigata,Nagoya Grampus,3053
Yokohama F-Marinos,Vissel Kobe,3039
Vegalta Sendai,Sagan Tosu,3034
Albirex Niigata,Shimizu S-Pulse,3034
Shimizu S-Pulse,Cerezo Osaka,3023
Tokushima Vortis,Nagoya Grampus,3022
Kawasaki Frontale,FC Tokyo,3019
Nagoya Grampus,Albirex Niigata,3018
Shimizu S-Pulse,Kashima Antlers,3013
Cerezo Osaka,Kashiwa Reysol,3012
Omiya Ardija,Kashima Antlers,3007
Shimizu S-Pulse,Vegalta Sendai,3002
Sagan Tosu,Kashima Antlers,3000
Kashima Antlers,Shimizu S-Pulse,2995
Nagoya Grampus,FC Tokyo,2984
Albirex Niigata,Sagan Tosu,2945
Cerezo Osaka,Nagoya Grampus,2937
Kashiwa Reysol,Sanfrecce Hiroshima,2916
Nagoya Grampus,Kashima Antlers,2901
Sagan Tosu,Tokushima Vortis,2895
FC Tokyo,Albirex Niigata,2895
Sagan Tosu,Urawa Reds,2894
Tokushima Vortis,Shimizu S-Pulse,2853
Tokushima Vortis,Ventforet Kofu,2845
FC Tokyo,Nagoya Grampus,2840
Albirex Niigata,Vegalta Sendai,2801
FC Tokyo,Sagan Tosu,2781
Vegalta Sendai,Shimizu S-Pulse,2776
Vegalta Sendai,Omiya Ardija,2769
Sagan Tosu,Omiya Ardija,2741
Kashima Antlers,FC Tokyo,2709
Urawa Reds,Tokushima Vortis,2621
Sagan Tosu,Vegalta Sendai,2604
