Manager,Club,GP,W,D,L,GF,GA,GD,Pts,PPG,xGF,xGA,xGD
Leandro Damián Benítez,Estudiantes,3,3,0,0,5,0,5,9,3.000,5.732,1.294,4.438
Ricardo Caruso Lombardi,Tigre,3,2,0,1,4,2,2,6,2.000,5.464,2.268,3.197
Hugo Garelli,San Martín (SJ),3,1,1,1,4,8,-4,4,1.333,2.769,4.620,-1.851
Juan Pablo Vojvoda,Newell`s,3,0,1,2,2,5,-3,1,0.333,2.443,2.854,-0.411
Luciano Precone,Atlético Tucumán,2,1,1,0,2,1,1,4,2.000,1.874,2.440,-0.566
Juan Barbas,Olimpo,2,1,0,1,3,2,1,3,1.500,1.960,3.572,-1.612
Néstor Apuzzo,Huracán,2,1,0,1,1,1,0,3,1.500,1.887,3.580,-1.694
Eduardo Magnín,Unión,2,0,1,1,1,2,-1,1,0.500,2.552,2.964,-0.413
Leonardo Fernández,Rosario Central,1,1,0,0,2,0,2,3,3.000,0.376,0.821,-0.445
Claudio Úbeda,Racing Club,1,0,1,0,1,1,0,1,1.000,0.624,0.311,0.313
Diego José Erroz,Atlético Tucumán,1,0,1,0,1,1,0,1,1.000,1.159,0.863,0.296
Ricardo Zielinski,Atlético Tucumán,1,0,1,0,1,1,0,1,1.000,0.432,2.162,-1.730
Fabián Castro,Tigre,1,0,0,1,0,1,-1,0,0.000,1.170,2.428,-1.258
Alberto Fanesi,Vélez,1,0,0,1,0,3,-3,0,0.000,0.059,3.690,-3.631
Juan Carlos Pírez,Sarmiento,1,0,0,1,1,2,-1,0,0.000,0.524,0.901,-0.377
Leonardo Lemos,Quilmes,1,0,0,1,0,2,-2,0,0.000,0.865,1.906,-1.041
